exp		duration	reads		writes		mbwritten	mbread																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
fl_ronly	268.07		936585		5387		117		90781
fl_rheavy	417.35		940016		5567552  	301915		90939
fl_balanced	1811.98		946502		20613113	851316		90793																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
fl_wheavy	1855.80		944800		7005632		1397017		90772		
lsm_ronly	443.48		905925		57685		50827		77747
lsm_rheavy	1159.54		915945		401583		369802		78330
lsm_balanced	5570.03		908275		2065625		1891496		77343
lsm_wheavy	10431.60	919786		3780517		3463510		78350
wal_ronly	1683.44		1345415		12493		457		89248
war_rheavy	2134.01		1345764		39554902	1295226		89271
wal_balanced	2533.75		1348239		26668004	1854249		89277
wal_wheavy	2772.57		1353430		25772764	2371557		89328

