Linux 3.13.0-68-generic (ds-server2) 	04/09/2016 	_x86_64_	(24 CPU)

03:04:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:04:39 PM  all    0.79    0.00    4.00    0.17    0.00    0.00    0.00    0.00    0.00   95.04
03:04:40 PM  all    0.67    0.00    2.01    2.84    0.00    0.00    0.00    0.00    0.00   94.49
03:04:41 PM  all    0.50    0.00    0.92    3.44    0.00    0.00    0.00    0.00    0.00   95.14
03:04:42 PM  all    0.38    0.00    1.76    3.47    0.00    0.00    0.00    0.00    0.00   94.39
03:04:43 PM  all    0.50    0.00    1.76    3.47    0.00    0.00    0.00    0.00    0.00   94.27
03:04:44 PM  all    0.46    0.00    1.92    3.43    0.00    0.00    0.00    0.00    0.00   94.19
03:04:45 PM  all    0.50    0.00    1.80    3.55    0.00    0.00    0.00    0.00    0.00   94.15
03:04:46 PM  all    0.50    0.00    1.80    3.47    0.00    0.00    0.00    0.00    0.00   94.23
03:04:47 PM  all    0.42    0.00    1.84    3.43    0.00    0.00    0.00    0.00    0.00   94.31
03:04:48 PM  all    0.42    0.00    1.60    3.44    0.00    0.00    0.00    0.00    0.00   94.54
03:04:49 PM  all    0.42    0.00    1.63    3.48    0.00    0.00    0.00    0.00    0.00   94.47
03:04:50 PM  all    0.42    0.00    1.55    3.56    0.00    0.00    0.00    0.00    0.00   94.47
03:04:51 PM  all    0.63    0.00    1.68    3.43    0.00    0.00    0.00    0.00    0.00   94.26
03:04:52 PM  all    0.54    0.00    1.80    3.43    0.00    0.00    0.00    0.00    0.00   94.23
03:04:53 PM  all    0.29    0.00    1.00    3.43    0.00    0.00    0.00    0.00    0.00   95.27
03:04:54 PM  all    0.50    0.00    1.09    3.39    0.00    0.04    0.00    0.00    0.00   94.98
03:04:55 PM  all    0.46    0.00    1.92    3.55    0.00    0.00    0.00    0.00    0.00   94.07
03:04:56 PM  all    0.42    0.00    1.17    3.38    0.00    0.00    0.00    0.00    0.00   95.03
03:04:57 PM  all    0.42    0.00    1.09    3.39    0.00    0.00    0.00    0.00    0.00   95.10
03:04:58 PM  all    0.42    0.00    0.96    3.44    0.00    0.00    0.00    0.00    0.00   95.18
03:04:59 PM  all    0.46    0.00    1.76    3.43    0.00    0.00    0.00    0.00    0.00   94.35
03:05:00 PM  all    0.38    0.00    1.76    3.52    0.00    0.00    0.00    0.00    0.00   94.35
03:05:01 PM  all    0.42    0.00    0.88    3.36    0.00    0.00    0.00    0.00    0.00   95.34
03:05:02 PM  all    0.42    0.00    1.84    3.35    0.00    0.00    0.00    0.00    0.00   94.39
03:05:03 PM  all    0.42    0.00    1.84    3.22    0.00    0.00    0.00    0.00    0.00   94.52
03:05:04 PM  all    0.46    0.00    1.92    3.18    0.00    0.00    0.00    0.00    0.00   94.44
03:05:05 PM  all    0.46    0.00    1.84    3.34    0.00    0.00    0.00    0.00    0.00   94.36
03:05:06 PM  all    0.46    0.00    1.05    3.18    0.00    0.00    0.00    0.00    0.00   95.31
03:05:07 PM  all    0.38    0.00    1.01    3.23    0.00    0.00    0.00    0.00    0.00   95.39
03:05:08 PM  all    0.46    0.00    1.09    3.22    0.00    0.00    0.00    0.00    0.00   95.23
03:05:09 PM  all    0.21    0.00    1.63    3.27    0.00    0.00    0.00    0.00    0.00   94.89
03:05:10 PM  all    0.46    0.00    1.09    3.35    0.00    0.00    0.00    0.00    0.00   95.10
03:05:11 PM  all    0.46    0.00    1.09    3.22    0.00    0.00    0.00    0.00    0.00   95.23
03:05:12 PM  all    0.42    0.00    1.71    3.39    0.00    0.00    0.00    0.00    0.00   94.48
03:05:13 PM  all    0.42    0.00    0.96    3.43    0.00    0.00    0.00    0.00    0.00   95.19
03:05:14 PM  all    0.33    0.00    1.59    3.47    0.00    0.00    0.00    0.00    0.00   94.60
03:05:15 PM  all    0.42    0.00    1.76    3.34    0.00    0.04    0.00    0.00    0.00   94.44
03:05:16 PM  all    0.54    0.00    1.09    3.22    0.00    0.00    0.00    0.00    0.00   95.15
03:05:17 PM  all    0.38    0.00    1.09    3.22    0.00    0.00    0.00    0.00    0.00   95.31
03:05:18 PM  all    0.46    0.00    1.05    3.18    0.00    0.00    0.00    0.00    0.00   95.31
