# dirty_pages redo_length page_writes xct_end updates
19255 0 0 2930 42955
67236 11 188 6783.5 148934
97604 76 1326 8240.67 154876
120046 144 0 9029.5 163353
134289 210 1569 9447.4 158093
145286 279 1749 9801 164717
154034 349 1931 10095.9 165709
161076 419 2254 10326.9 166193
166379 486 2611 10366.9 152234
170978 549 2430 10370.2 148999
175842 618 2463 10495.4 165318
180407 690 2572 10614.2 170139
184560 754 2075 10636.7 152176
188251 811 824 10574.6 135257
191223 871 2907 10542.8 142099
194463 937 2575 10567.3 154288
197277 2025 2505 10549.1 142265
199681 2085 2687 10520.1 141775
202292 2150 2678 10539.2 153940
204542 2210 2524 10519.5 143120
206781 2273 2456 10900.8 148497
209002 2337 2369 10908.8 152175
212182 2400 99 10889.2 151602
213997 2466 2444 10835.6 144624
216173 2537 2614 10868.1 168158
218056 2604 2461 10853.2 159910
219667 2670 2524 10822.5 157132
221459 2740 2628 10818.6 168333
222938 2807 2662 10848.8 158066
224467 2878 2717 10924.7 169313
226075 2950 2579 10946.5 171168
227474 3025 2670 10940.5 167598
229880 3091 1032 10949.1 156063
231082 3158 1755 11031.3 158721
232478 3231 2827 11142.8 173982
233635 3301 2650 11188.1 167701
234553 3367 2657 11232.8 156286
235590 3435 2716 11308.4 162734
236594 3508 2643 11369 172171
237450 3578 2661 11413.9 154585
238354 3647 2662 11466 162698
239126 3713 2639 11483.1 157200
241244 3781 57 11524 163536
242178 3853 2645 11616.6 169838
242926 3922 2775 11606.9 164952
243579 3989 2737 11610.5 158691
244384 4066 2759 11655.2 169937
244813 4126 2753 11566 142610
245490 4189 2624 11533.2 149280
246094 4255 2597 11493 157693
246809 4322 2597 11447.8 159015
247449 4391 2674 11426 161786
249481 4457 0 11434 157411
250038 4527 2865 11447.4 164999
250601 4599 2862 11387.3 157609
251112 4669 2898 11376.5 164567
251692 4736 2886 11383.1 160153
252175 4800 2823 11339.5 150718
252754 4870 2891 11319 164777
253247 4939 2918 11352.4 164521
253651 5009 2983 11352.5 164162
255564 5078 70 11377.1 163720
255928 5146 2888 11317.4 146512
256300 5211 2933 11262.2 155471
256633 5271 2798 11191.6 140806
257101 5338 2664 11193.4 159483
257498 5406 2749 11149.5 159722
258023 5475 2797 11228.3 163369
258376 5543 2862 11272.6 160694
258807 5616 2866 11285 159842
260437 5682 1062 11272.7 155806
260791 5746 1756 11245 152464
261095 5812 2841 11239.9 157159
261346 5875 2786 11170.9 147359
261674 5942 2768 11183.1 160217
262134 6013 2773 11197.4 167160
262451 6083 2855 11218.2 165115
262780 6158 2981 11267.4 162675
263004 6224 2984 11232.2 154605
264443 6286 1078 11173.2 148447
264886 6352 1808 11146.4 154648
265285 6418 2746 11117.5 157477
265673 6487 2704 11174.5 163035
266031 6559 2814 11221 169749
266281 6627 2920 11285.8 161341
266346 6698 3048 11260.8 153805
266677 6767 2882 11269.7 163208
266964 6835 2859 11249.7 160922
268334 6898 1115 11202.4 149093
268678 6966 1878 11207.4 162428
268975 7034 2828 11222 159682
269276 7106 2788 11298.6 171995
269452 7179 2889 11299 157568
269578 7246 2922 11337.9 157616
269832 7313 2833 11327.3 158573
270167 7385 2805 11333.2 170263
270278 7453 2938 11320.8 160806
270369 7516 2923 11267.6 150110
272063 7586 18 11308.1 164319
272408 7655 2811 11371.9 164723
272543 7729 2840 11378.8 159563
272722 7797 2966 11402.1 162244
272859 7865 2892 11385.7 158445
272995 7932 2864 11348.2 160653
273049 7996 2877 11301.8 151485
273331 8064 2761 11318.8 159662
273539 8131 2697 11314.3 160525
275122 8203 1080 11353.3 170047
275310 8275 1707 11375.8 154292
275264 8339 2974 11341.6 153174
275482 8406 2870 11339.2 158363
275720 8476 2720 11307.3 165605
275749 8539 2787 11291.5 150919
275878 8607 2917 11305.7 159203
276138 8675 2699 11320.9 161536
276273 8744 2781 11300.5 162835
277075 8816 2108 11286.1 157225
277831 8883 809 11315.9 156292
278093 8953 2883 11312.5 166640
278112 9016 2844 11247.5 149812
278211 9082 2914 11242.7 156276
278383 9149 2867 11224.1 158397
278600 9218 2797 11241.1 162410
278830 9288 2771 11261.5 165711
278784 9357 2938 11268 148978
278875 9421 2856 11239.7 150603
280496 9491 31 11257.4 166091
280747 9560 2714 11232.9 161685
280864 9627 2877 11244.8 159925
280904 9695 3020 11266.4 159996
281144 9764 2919 11279.5 162680
281391 9841 2870 11282.7 168106
281335 9907 3089 11287.4 155010
281424 9969 3017 11238.3 147333
281639 10037 2801 11232 159596
283201 10104 242 11217.1 159916
283445 10173 2607 11236.7 161502
283623 10242 2968 11257.9 162438
283731 10307 2970 11220.2 154846
283696 10376 3017 11219.4 148571
283888 10441 2878 11202.8 152083
284104 10504 2699 11176.8 148432
284411 10572 2700 11179.5 162482
284584 10643 2856 11182.5 166103
285969 10709 1101 11205.5 155919
286213 10777 1914 11243 163102
286482 10848 2942 11243.5 167109
286637 10918 2888 11254.8 164964
286589 10990 3059 11239.9 154271
286659 11056 3021 11235.9 156306
286745 11123 2875 11227.6 158986
287006 11194 2905 11233.2 167877
287016 11261 2967 11256 159211
288436 11330 1080 11313.6 161472
288768 11402 1863 11349.9 170188
288937 11471 2873 11371 164461
288863 11536 2988 11332.1 152862
288893 11606 2991 11290.7 151178
289052 11674 2876 11305.8 160112
289169 11742 2821 11356.4 161562
289174 11808 2939 11367.4 155082
289250 11875 2963 11394.2 157691
290809 11947 1106 11419.9 170930
290802 12004 1764 11310.6 135353
290720 12066 2943 11267.3 145574
290801 12128 2743 11156.8 129742
290939 12191 2588 11107.1 150327
291196 12256 2571 11062.9 152906
291249 12320 2658 11059.8 152639
291424 12384 2683 11039.6 151577
291650 12454 2659 11052.5 163719
291685 12518 2841 11003.8 152758
293152 12587 74 11004.4 160780
293411 12664 2837 11024.4 168074
293434 12727 2821 10944.4 147960
293408 12792 2951 10903.5 153022
293503 12854 2828 10889.6 148626
293484 12915 2693 10853.7 143098
293692 12979 2660 10825.2 152345
294074 13053 2576 10860.9 174688
294114 13123 2837 10900.9 165597
294256 13194 2850 10887.6 152027
295479 13256 218 10794.4 146026
295538 13321 2915 10860.6 154784
295636 13385 2747 10887.3 150903
295680 13446 2740 10940.9 142692
295762 13506 2734 10913 142862
295979 13573 2666 10934.8 159214
296035 13635 2682 10900.9 144672
296077 13701 2736 10864.1 140786
296253 13765 2651 10819.9 151936
297843 13840 1050 10897.9 175255
298067 13904 1558 10872.1 153035
297982 13967 2931 10801.9 147663
298130 14032 2925 10825.5 154053
298261 14098 2758 10834.1 156086
298309 14160 2820 10820.9 145408
298096 14216 2775 10736.2 118138
298359 14280 2656 10736.6 150846
298530 14345 2546 10669.6 152486
299877 14408 1086 10610.6 149769
