Linux 3.13.0-68-generic (ds-server2) 	04/09/2016 	_x86_64_	(24 CPU)

12:00:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:01:00 PM  all    1.04    0.00    2.96    1.54    0.00    0.00    0.00    0.00    0.00   94.45
12:01:01 PM  all    0.42    0.00    0.84    3.55    0.00    0.00    0.00    0.00    0.00   95.20
12:01:02 PM  all    0.50    0.00    1.54    3.55    0.00    0.00    0.00    0.00    0.00   94.41
12:01:03 PM  all    0.38    0.00    1.46    3.60    0.00    0.00    0.00    0.00    0.00   94.56
12:01:04 PM  all    0.46    0.00    1.63    3.67    0.00    0.00    0.00    0.00    0.00   94.24
12:01:05 PM  all    0.46    0.00    1.51    3.64    0.00    0.00    0.00    0.00    0.00   94.40
12:01:06 PM  all    0.42    0.00    1.46    3.72    0.00    0.00    0.00    0.00    0.00   94.40
12:01:07 PM  all    0.17    0.00    1.63    3.72    0.00    0.00    0.00    0.00    0.00   94.49
12:01:08 PM  all    0.42    0.00    1.51    3.73    0.00    0.00    0.00    0.00    0.00   94.35
12:01:09 PM  all    0.42    0.00    1.00    3.80    0.00    0.00    0.00    0.00    0.00   94.78
12:01:10 PM  all    0.33    0.00    0.84    3.68    0.00    0.00    0.00    0.00    0.00   95.15
12:01:11 PM  all    0.38    0.00    0.92    3.68    0.00    0.00    0.00    0.00    0.00   95.03
12:01:12 PM  all    0.46    0.00    0.84    3.64    0.00    0.00    0.00    0.00    0.00   95.06
12:01:13 PM  all    0.42    0.00    1.67    3.64    0.00    0.00    0.00    0.00    0.00   94.27
12:01:14 PM  all    0.42    0.00    1.63    3.68    0.00    0.04    0.00    0.00    0.00   94.22
12:01:15 PM  all    0.46    0.00    0.92    3.48    0.00    0.00    0.00    0.00    0.00   95.14
12:01:16 PM  all    0.46    0.00    1.71    3.55    0.00    0.00    0.00    0.00    0.00   94.27
12:01:17 PM  all    0.42    0.00    1.72    3.48    0.00    0.00    0.00    0.00    0.00   94.39
12:01:18 PM  all    0.46    0.00    1.68    3.52    0.00    0.00    0.00    0.00    0.00   94.35
12:01:19 PM  all    0.50    0.00    1.67    3.72    0.00    0.00    0.00    0.00    0.00   94.10
12:01:20 PM  all    0.42    0.00    1.51    3.64    0.00    0.00    0.00    0.00    0.00   94.44
12:01:21 PM  all    0.29    0.00    1.63    3.60    0.00    0.00    0.00    0.00    0.00   94.48
