# dirty_pages redo_length page_writes xct_end updates
3759 0 0 471 7134
54560 0 0 5229 139676
88755 47 431 6896.33 145352
112551 112 586 7872.75 153001
128627 173 539 8373.6 145450
140542 233 443 8672.83 144805
149937 290 94 8823.86 136913
158004 353 561 9040.62 150698
165277 420 644 9300.56 159587
171812 492 597 9506.8 161902
178270 562 103 9701.18 165251
184082 631 522 9867.83 165583
189037 698 605 9975.38 157576
193731 766 607 10070.6 160476
198731 836 265 10195.8 167553
203728 910 341 10338.2 174940
208023 2009 555 10411.1 165360
212182 2078 580 10487.9 165158
215858 2141 523 10503.5 149503
219754 2209 57 10555.9 161671
223158 2275 582 11090.3 155215
226573 2343 622 11167.8 162476
229793 2411 612 11236.2 161915
233394 2485 126 11321.2 174456
236260 2554 427 11340.2 151392
238995 2620 559 11394.6 158929
241805 2689 594 11488.1 162278
244473 2753 419 11502.2 152138
247123 2818 195 11485.9 155471
249642 2885 570 11480.7 160379
252043 2952 594 11464.5 158818
254639 3022 613 11471.6 165620
256990 3086 27 11407.7 140097
259131 3151 524 11390.4 155322
261373 3218 587 11362.4 159846
263683 3291 633 11349.6 173036
265851 3355 255 11312.9 151778
268040 3420 355 11276.1 154890
268718 3461 1248 11083.8 96404
270945 3535 396 11080.8 162237
273076 3600 202 11077.9 154339
274983 3663 520 11036.6 150939
276896 3728 567 11000.5 153364
278559 3789 710 10890.8 145966
280838 3861 47 10953.8 170968
282609 3924 553 10920.8 151101
284433 3990 588 10897.1 157335
286269 4063 578 10913.2 155884
288199 4132 233 10940.8 164426
290299 4204 426 11001.5 171994
292148 4275 595 11027.6 167753
293993 4347 603 11041.8 170672
295971 4414 375 11102.6 158698
297933 4481 153 11116.9 158841
299687 4550 575 11121.5 162978
301281 4623 576 11067 156559
302853 4688 566 11065.9 152219
304762 4752 129 11055.4 153205
306407 4817 462 11251.4 153961
308140 4887 603 11255.4 165127
309760 4956 603 11273.4 162362
311560 5023 331 11304.2 158386
313345 5098 248 11336.1 162000
314952 5166 602 11395.4 161501
316605 5236 582 11382.1 165353
318195 5305 553 11428 162977
320090 5373 14 11441.3 161425
321592 5442 596 11461.8 162955
323128 5511 602 11457.4 162825
324589 5577 593 11391.6 156662
326288 5653 208 11370.4 162997
327995 5723 407 11351.8 165731
329491 5792 610 11370.3 163581
330952 5861 593 11380.5 161940
332286 5919 389 11295.3 137067
333902 5987 336 11309 160524
335373 6055 556 11345.6 162055
336863 6122 546 11358.5 157705
338124 6190 526 11320.9 142985
339744 6251 35 11251.8 144053
341242 6318 536 11238 157576
342490 6380 538 11195.1 147938
343832 6444 557 11149.5 150957
345320 6513 368 11149.9 162767
346893 6579 212 11120.1 155924
347754 6633 958 10991 127617
349020 6702 512 10934.9 144256
350578 6768 317 10920.9 157829
352057 6833 225 10888.2 154379
353360 6895 515 10851.4 145701
354695 6963 582 10852.1 161599
356098 7034 607 10855.6 167441
357816 7105 70 10865.2 167380
359163 7170 491 10850.5 154921
360441 7240 526 10881 146208
361740 7305 589 10844.6 152133
363037 7370 393 10806.9 153898
364468 7430 169 10764.6 142605
365675 7494 565 10797 152006
367111 7567 616 10895.1 170917
368466 7636 559 10917 164046
370227 7709 90 11010.1 172628
371535 7782 494 11027.3 151795
372893 7853 604 11039 168008
374141 7917 578 11029.5 152435
375680 7988 323 11174.1 166630
377083 8055 259 11225.6 158119
378339 8120 554 11206 156068
379597 8188 582 11224 160341
380817 8261 581 11249 153427
382459 8331 23 11266.9 163952
383898 8406 596 11306.2 178428
385172 8472 548 11279.5 157556
386352 8532 489 11224.5 141089
387581 8593 366 11212.8 144248
389141 8662 172 11264.8 165064
390441 8732 630 11316.5 164440
391632 8805 565 11343.5 152103
392862 8869 558 11346.5 152747
394392 8935 74 11296 155507
395620 8998 480 11247.2 150314
396092 9043 917 11003.6 106586
397198 9104 532 10962.4 144226
398725 9170 70 10927.2 154846
400120 9239 517 10953.5 162996
401274 9310 524 10886.4 146245
402565 9375 537 10866 153745
403783 9435 421 10822.8 142924
405203 9499 182 10794.6 150325
406464 9563 538 10781.5 151576
407835 9632 587 10763 161799
409109 9704 639 10742.9 171061
410673 9772 53 10761.9 160281
411846 9844 502 10782.9 148233
413006 9906 556 10797.4 147351
414165 9970 582 10747.8 150858
415666 10037 359 10714.4 158131
417107 10101 186 10709.4 151598
418386 10168 543 10728.9 157866
419699 10236 558 10738 159867
421017 10307 630 10802 166976
422439 10378 82 10944.4 145122
423655 10439 420 10955.5 146106
424804 10503 562 10932.6 149449
426068 10570 595 10923.1 160001
427469 10640 422 10981.6 164730
429002 10709 165 11005 163468
430253 10777 610 11079.9 160872
431566 10847 639 11135.5 164654
432669 10918 501 11112.8 145683
434177 10984 84 11093 156414
435483 11051 463 11041 158304
436688 11115 574 11000.8 151380
437706 11173 495 10949.3 135107
438836 11233 467 10928.4 141993
440344 11298 71 10942.2 155307
441637 11369 617 10971 166866
442772 11432 567 10969.6 150413
443837 11503 539 10920.6 142543
445222 11567 205 10892 153336
446557 11634 353 10855.6 156918
447685 11697 543 10870.9 149744
448867 11761 537 10890.2 152368
450058 11826 541 10903.1 151937
451647 11896 25 10918 164935
452836 11962 552 10887.6 156299
454146 12031 612 10892.4 163878
455252 12104 534 10836 146912
456553 12168 301 10788.2 152062
457882 12230 263 10804.8 146038
458935 12292 539 10768 146313
460133 12357 572 10759 153243
461248 12418 536 10730.6 144013
462711 12483 89 10799.1 153675
463819 12541 398 10787 137205
464965 12615 552 10770.1 150087
466048 12679 582 10714.1 150883
467280 12743 467 10712.6 150957
468674 12806 62 10725 148743
