Linux 3.13.0-68-generic (ds-server2) 	04/09/2016 	_x86_64_	(24 CPU)

02:28:02 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:28:03 PM  all    0.75    0.00    4.84    0.21    0.00    0.00    0.00    0.00    0.00   94.20
02:28:04 PM  all    0.63    0.00    1.42    2.76    0.00    0.00    0.00    0.00    0.00   95.20
02:28:05 PM  all    0.50    0.00    1.59    3.39    0.00    0.00    0.00    0.00    0.00   94.51
02:28:06 PM  all    0.42    0.00    1.67    3.47    0.00    0.00    0.00    0.00    0.00   94.43
02:28:07 PM  all    0.46    0.00    0.84    3.44    0.00    0.00    0.00    0.00    0.00   95.26
02:28:08 PM  all    0.42    0.00    1.76    3.47    0.00    0.00    0.00    0.00    0.00   94.35
02:28:09 PM  all    0.38    0.00    1.72    3.56    0.00    0.00    0.00    0.00    0.00   94.34
02:28:10 PM  all    0.42    0.00    1.00    3.43    0.00    0.00    0.00    0.00    0.00   95.15
02:28:11 PM  all    0.50    0.00    1.80    3.43    0.00    0.00    0.00    0.00    0.00   94.27
02:28:12 PM  all    0.50    0.00    1.17    3.39    0.00    0.00    0.00    0.00    0.00   94.94
02:28:13 PM  all    0.46    0.00    1.63    3.44    0.00    0.04    0.00    0.00    0.00   94.43
02:28:14 PM  all    0.38    0.00    1.51    3.56    0.00    0.00    0.00    0.00    0.00   94.55
02:28:15 PM  all    0.50    0.00    1.80    3.43    0.00    0.00    0.00    0.00    0.00   94.28
02:28:16 PM  all    0.46    0.00    0.96    3.39    0.00    0.00    0.00    0.00    0.00   95.19
02:28:17 PM  all    0.25    0.00    1.67    3.63    0.00    0.00    0.00    0.00    0.00   94.45
02:28:18 PM  all    0.46    0.00    1.59    3.64    0.00    0.00    0.00    0.00    0.00   94.31
02:28:19 PM  all    0.34    0.00    0.71    3.81    0.00    0.00    0.00    0.00    0.00   95.14
02:28:20 PM  all    0.50    0.00    0.96    3.51    0.00    0.00    0.00    0.00    0.00   95.03
02:28:21 PM  all    0.54    0.00    0.84    3.47    0.00    0.00    0.00    0.00    0.00   95.15
02:28:22 PM  all    0.42    0.00    0.84    3.51    0.00    0.00    0.00    0.00    0.00   95.23
02:28:23 PM  all    0.50    0.00    1.55    3.43    0.00    0.00    0.00    0.00    0.00   94.52
02:28:24 PM  all    0.46    0.00    1.80    3.35    0.00    0.00    0.00    0.00    0.00   94.40
02:28:25 PM  all    0.46    0.00    1.13    3.22    0.00    0.00    0.00    0.00    0.00   95.19
02:28:26 PM  all    0.54    0.00    1.00    3.22    0.00    0.00    0.00    0.00    0.00   95.23
02:28:27 PM  all    0.50    0.00    1.09    3.18    0.00    0.00    0.00    0.00    0.00   95.23
02:28:28 PM  all    0.50    0.00    1.84    3.38    0.00    0.00    0.00    0.00    0.00   94.28
