# dirty_pages redo_length page_writes xct_end updates
9157 0 0 1259 18801
59220 0 0 5751.5 143901
90288 5 58 7062.33 134291
113334 68 602 7967 150861
130203 133 593 8553.4 153757
142629 196 580 8915.33 150789
152227 261 568 9157.29 147853
160588 325 615 9365.25 151227
167398 386 592 9480.89 144831
173706 448 590 9593.9 147919
179604 514 611 9730.82 155855
184977 578 583 9812.67 151506
189990 641 590 9887.23 149819
194782 710 583 9956.07 154561
199144 773 592 10001.5 149147
203752 841 577 10085.4 159565
207918 1930 539 10127.7 152944
211796 1991 534 10146.3 144972
215190 2051 526 10144 143260
218784 2115 554 10176.8 150638
222114 2179 558 10651.2 151270
225571 2249 580 10692.5 155587
229024 2316 605 10777.1 157655
231953 2377 589 10766.4 145860
234819 2439 622 10748.9 148455
237595 2503 606 10742.5 151364
240280 2563 534 10720.6 143478
243038 2624 553 10705.2 144504
245613 2692 543 10709.5 150070
246594 2731 900 10503.2 90651
249346 2795 563 10489.6 154085
252163 2866 623 10548.4 169033
254792 2932 588 10565.5 155422
256917 2988 524 10495.8 132776
259202 3050 568 10481.6 146893
259903 3094 1042 10242.3 91350
262204 3156 569 10228.9 147580
264397 3216 537 10215.4 142674
266601 3277 555 10225.8 145854
268600 3337 541 10191.9 142580
270745 3401 578 10195.1 151899
271998 3453 981 10083.7 122866
274292 3518 549 10068.7 155516
276222 3585 510 10054 144606
278234 3649 560 10071.8 152823
280068 3710 533 10045 143617
281781 3766 531 10023.8 134650
283115 3820 672 9943.35 126081
284911 3881 544 9935.45 146931
286737 3941 522 10118 142202
288530 4008 540 10088 143715
290392 4073 597 10039.3 153229
292137 4134 567 9997.9 143448
293711 4193 539 10028.7 139875
295360 4252 519 10007 139853
297021 4313 526 10195.6 145400
298688 4374 520 10187.2 145034
300345 4444 573 10201.6 147554
301836 4502 575 10176 137858
303496 4565 563 10201 149238
305037 4626 561 10171.1 143686
306523 4684 519 10214.8 136680
308169 4748 555 10193.7 151931
309784 4810 551 10199 146152
311340 4871 557 10162.2 145432
312807 4936 524 10143.3 137376
314384 4999 561 10175.5 147658
315989 5062 557 10277.8 150653
317511 5124 581 10274.9 144706
319071 5187 530 10291.6 148916
320670 5251 534 10318.5 151180
322101 5311 521 10277.3 143101
323516 5379 540 10277.4 144274
324862 5438 542 10274.8 140433
326265 5496 505 10257.7 135670
327584 5552 508 10217.2 134153
328905 5613 557 10202.7 143193
330234 5673 571 10188.4 142706
331603 5733 545 10203.6 141636
333032 5794 557 10179 143195
334122 5856 683 10130.1 129720
335566 5919 548 10171 149602
336958 5980 495 10144.9 142487
338362 6043 527 10160.4 149844
339907 6110 614 10216.9 159132
341251 6168 511 10217 137061
342686 6234 582 10254 155698
344059 6305 558 10236.2 149036
345492 6371 597 10274.4 156447
346874 6433 568 10275 145901
347056 6497 1731 10266 150382
348689 6561 142 10296 149889
349824 6622 578 10295 146240
351057 6682 520 10285 140648
352259 6741 511 10307.2 140750
353517 6808 505 10327.1 140515
354117 6859 892 10248.5 121023
355285 6919 808 10236 139329
356815 6982 568 10257.4 150049
358099 7040 520 10244.8 137797
359444 7102 542 10303.6 145498
360696 7160 523 10262.5 137613
361873 7223 577 10218.9 130059
362748 7277 874 10131.2 125840
364174 7341 594 10099.3 152775
365417 7400 568 10109 138435
366633 7461 599 10067.1 143516
367961 7523 555 10053.9 149013
369367 7588 598 10041.9 153300
370708 7651 532 10050 149114
371971 7718 499 10009.2 138436
373217 7779 560 9981.9 144098
374573 7844 594 10013.1 154508
375697 7905 564 10030.9 144646
376981 7969 575 10054.4 150250
378278 8035 608 10116.1 157722
379658 8104 631 10269 163760
380918 8173 544 10292.3 147778
382206 8238 566 10288.7 147889
383626 8308 687 10392.7 167282
385081 8379 617 10465.6 166866
386454 8445 623 10537.3 157584
387776 8511 563 10622 156174
389217 8580 623 10759.4 163989
390613 8651 682 10821.4 168492
391986 8719 606 10897.9 159429
393259 8793 591 10929.9 154333
394558 8860 671 10982.5 159664
395966 8928 641 11015 161463
397171 8993 633 11023.6 152369
398435 9058 602 11090.3 155008
399846 9127 627 11150 163548
401205 9195 587 11174.9 159661
402582 9263 636 11235.9 159447
403567 9328 675 11187.4 133592
404947 9393 561 11176.1 153510
406303 9462 656 11168 161491
407520 9523 586 11161.6 144093
408683 9585 582 11163 147463
410041 9655 658 11147.7 163963
410747 9690 339 10861.6 83555
411982 9763 590 10836.9 149411
413362 9829 603 10842.9 156011
414729 9897 635 10839.4 161018
416080 9966 639 10817.5 162388
417227 10025 524 10745.8 139827
418473 10090 561 10744.6 154218
419795 10159 599 10753.5 161943
421164 10231 673 10789.9 170268
422458 10306 567 10794.5 153351
423764 10371 636 10792.4 154824
425037 10436 603 10769 153583
426440 10509 685 10804.9 171679
427798 10576 600 10794.1 157104
428952 10635 545 10817.2 140519
430136 10696 581 10779.1 143560
431401 10761 582 10749.6 152759
432525 10817 494 10704.4 133039
433671 10884 485 10653.8 135144
434827 10943 508 10560.8 137728
436016 11006 544 10784.2 148983
437169 11064 553 10729.6 138330
438400 11126 577 10703.6 146980
439647 11191 576 10663.6 153287
440814 11253 547 10607.2 145667
442053 11316 560 10642.9 151029
443226 11389 584 10625 149367
444369 11451 548 10561 144113
445610 11514 579 10483.4 149543
446728 11569 513 10402.1 131363
447963 11633 640 10381.5 150010
449252 11698 558 10385.5 154788
450659 11769 587 10370.1 165849
451973 11836 586 10371.9 158398
453228 11907 528 10381.5 143810
454392 11967 543 10375 141864
455537 12029 571 10349.8 147523
456686 12087 527 10367 136675
457920 12153 601 10443 154719
459096 12213 550 10454.5 143012
460318 12279 579 10464.4 154929
461576 12343 575 10525.9 153170
462737 12414 527 10500.3 143402
463998 12480 597 10513.1 154484
465247 12543 556 10522.2 148461
466447 12606 575 10520.8 150519
467580 12667 595 10500 142901
468818 12731 595 10522.1 151665
470030 12793 560 10511.8 146037
471249 12857 585 10588 152413
472266 12922 505 10516 128884
473559 12987 580 10503 152893
474803 13051 578 10443.4 150293
475949 13112 581 10400.8 144680
477141 13175 594 10412.5 148401
478292 13235 537 10416.6 143664
479529 13300 582 10445.1 152137
480706 13361 536 10477.4 144438
481873 13432 526 10425.3 141228
483146 13499 631 10493.8 160128
484324 13562 574 10486.9 148081
485583 13630 628 10519.5 161453
486843 13694 601 10549.3 151433
488019 13755 550 10515.1 142627
489296 13821 588 10539.5 156456
490488 13881 549 10499 141076
491552 13949 532 10469.9 135724
492676 14011 620 10452.2 145321
493931 14075 604 10468.8 152397
495148 14138 558 10449.3 148756
496298 14196 503 10477.8 136578
497577 14263 579 10500.6 157607
498749 14326 578 10496.3 147650
499840 14394 502 10452.5 133535
500946 14455 596 10442.4 145123
502163 14517 574 10453.2 146628
503505 14585 629 10472.8 159928
504772 14648 560 10473.2 147259
505959 14711 603 10506.7 149136
507147 14772 567 10444.9 144533
508367 14837 612 10460.9 153642
509470 14905 499 10357.2 132114
510656 14967 563 10350.4 145609
511827 15027 536 10349.9 143778
512999 15089 544 10323.1 146340
514062 15145 558 10300.6 131645
515294 15209 580 10355.1 150079
516403 15268 531 10337.7 138095
517655 15333 600 10351.8 154255
518760 15404 542 10329.9 139287
519979 15467 614 10363.5 148368
521214 15528 581 10322 144767
522442 15595 624 10349.8 156912
523663 15657 572 10399.8 146968
524858 15717 563 10385.8 141014
526013 15780 543 10395.4 147949
527267 15845 555 10382.4 155015
528299 15912 474 10316.8 129472
529391 15971 566 10285.1 139502
530410 16030 556 10270 138355
530662 16092 2758 10243.9 146100
531973 16153 273 10296.4 145363
532953 16215 624 10298 147797
534031 16282 650 10334.7 157126
535087 16347 620 10351 154044
536065 16420 592 10383.3 143634
537037 16483 621 10367 147345
538034 16547 636 10403.5 152645
539192 16614 602 10408.3 157746
540220 16676 569 10421.5 143884
541211 16736 569 10401.8 142752
542187 16796 577 10377.1 140796
543230 16860 624 10359.1 151801
544144 16929 589 10311.8 133589
545134 16989 595 10325.5 142344
546179 17052 634 10322.5 147467
547313 17119 670 10340.5 158744
548264 17178 586 10380.7 140782
549365 17243 610 10416.9 152310
550393 17304 592 10434.2 144500
551407 17375 549 10399.8 139379
552489 17437 566 10398.6 145603
553506 17498 612 10379.1 142743
554504 17558 586 10329.1 143057
555561 17622 618 10325.2 151643
556542 17681 601 10321.8 139900
557575 17741 571 10302.1 141151
558582 17801 590 10269.1 142272
559540 17872 568 10200 136974
560556 17933 640 10197 143092
561601 18000 770 10262.9 159072
562671 18063 669 10292 149479
563710 18128 715 10292.5 151687
564627 18184 617 10289.4 133015
565664 18246 662 10291.7 145768
566801 18308 631 10292.2 148390
567725 18377 566 10199 132025
568753 18434 594 10184.5 134164
569820 18495 637 10152.9 142594
570809 18554 633 10136.4 140532
571984 18619 611 10185.4 152813
573089 18680 627 10174.5 144233
574304 18747 679 10242.5 159851
575544 18815 659 10306.9 158924
576665 18891 639 10301 150685
577875 18956 635 10346.3 152885
578970 19018 619 10375.9 147109
580043 19080 623 10394.5 146419
581294 19147 662 10470.6 157716
582336 19205 573 10447.3 137801
583459 19270 655 10415.7 153241
584545 19335 700 10437.6 154024
585535 19406 588 10384.1 136776
586491 19465 625 10401 138110
587585 19529 690 10423.5 152420
588619 19591 666 10415.8 147461
589738 19656 680 10479.4 152146
590854 19721 724 10540.3 153417
591882 19779 593 10529.8 139307
593066 19841 568 10558 146863
594147 19914 560 10507 139457
595309 19974 572 10512.6 143612
596429 20033 556 10428.4 138017
597651 20098 632 10412.8 154255
598821 20164 689 10433.4 155358
599902 20224 638 10398.1 142714
600913 20280 562 10348 132329
602017 20341 578 10326.3 143254
603111 20415 606 10271.9 142814
604294 20480 676 10329.9 154106
605393 20541 638 10303.1 144680
606518 20605 690 10299.1 150782
607702 20669 620 10347 151055
608810 20730 618 10371 144504
610028 20795 607 10378.3 153997
611357 20862 620 10424.9 157809
612488 20936 610 10391.2 142208
613631 20997 604 10366.9 144560
614817 21063 643 10419 154227
615997 21126 614 10425.4 151261
617253 21194 651 10503.9 159398
618380 21257 627 10516.5 149743
619665 21329 714 10621.1 168317
620764 21393 666 10610.4 151866
621765 21465 609 10541.5 137383
622893 21527 606 10549.5 146485
624007 21588 583 10586.5 144555
625159 21649 598 10603.2 143411
626133 21703 497 10549 128068
627213 21761 555 10480.1 135203
628123 21812 487 10400.5 121070
629411 21880 654 10424.4 159674
630231 21941 473 10284.2 110805
631195 21995 528 10212.9 126346
632039 22044 510 10080.2 115968
632895 22093 518 9933.2 117470
634130 22161 659 9988 160635
634741 22213 855 9900.65 122164
635984 22278 647 9910.05 154905
637059 22339 597 9892.6 144116
637807 22395 428 9672.05 97263
638948 22457 593 9665.3 145703
639955 22511 509 9514.5 127379
640913 22568 630 9461.95 136300
642047 22632 670 9518.55 149128
643000 22688 611 9476.55 134335
643968 22745 583 9433.5 132498
645107 22807 615 9439.75 147237
646080 22859 498 9415.4 122925
646944 22917 432 9313.35 103444
648067 22980 621 9402.95 148247
649223 23044 658 9379 150936
650176 23096 553 9423.05 122776
651395 23159 611 9509.75 149064
652461 23218 589 9586.6 138878
653528 23274 522 9639.15 132187
654719 23335 555 9593.8 144909
655564 23400 531 9582.85 117401
656693 23462 592 9551.2 147983
657743 23519 599 9520.05 134144
658727 23575 577 9642.8 131121
659675 23629 580 9583.05 129650
660623 23686 643 9604 133289
661457 23742 676 9582.85 132121
662383 23798 675 9512.6 132756
