Linux 3.13.0-68-generic (ds-server2) 	04/09/2016 	_x86_64_	(24 CPU)

11:38:08 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:38:09 AM  all    1.09    0.00    2.96    1.34    0.00    0.00    0.00    0.00    0.00   94.61
11:38:10 AM  all    0.21    0.00    1.55    3.52    0.00    0.00    0.00    0.00    0.00   94.72
11:38:11 AM  all    0.25    0.00    1.47    3.39    0.00    0.00    0.00    0.00    0.00   94.89
11:38:12 AM  all    0.21    0.00    1.55    3.35    0.00    0.00    0.00    0.00    0.00   94.89
11:38:13 AM  all    0.17    0.00    1.00    3.34    0.00    0.00    0.00    0.00    0.00   95.48
11:38:14 AM  all    0.08    0.00    1.63    3.39    0.00    0.00    0.00    0.00    0.00   94.89
11:38:15 AM  all    0.17    0.00    1.55    3.47    0.00    0.00    0.00    0.00    0.00   94.81
11:38:16 AM  all    0.25    0.00    0.96    3.34    0.00    0.00    0.00    0.00    0.00   95.45
11:38:17 AM  all    0.25    0.00    1.55    3.35    0.00    0.00    0.00    0.00    0.00   94.85
11:38:18 AM  all    0.13    0.00    0.84    3.35    0.00    0.00    0.00    0.00    0.00   95.68
11:38:19 AM  all    0.13    0.00    0.92    3.35    0.00    0.00    0.00    0.00    0.00   95.60
11:38:20 AM  all    0.21    0.00    1.67    3.35    0.00    0.00    0.00    0.00    0.00   94.77
11:38:21 AM  all    0.21    0.00    1.75    3.51    0.00    0.00    0.00    0.00    0.00   94.53
11:38:22 AM  all    0.25    0.00    0.84    3.31    0.00    0.00    0.00    0.00    0.00   95.60
11:38:23 AM  all    0.13    0.00    1.67    3.39    0.00    0.00    0.00    0.00    0.00   94.81
11:38:24 AM  all    0.21    0.00    1.67    3.35    0.00    0.00    0.00    0.00    0.00   94.77
11:38:25 AM  all    0.21    0.00    1.63    3.39    0.00    0.00    0.00    0.00    0.00   94.77
11:38:26 AM  all    0.21    0.00    1.80    3.47    0.00    0.00    0.00    0.00    0.00   94.53
11:38:27 AM  all    0.25    0.00    1.79    3.38    0.00    0.04    0.00    0.00    0.00   94.53
11:38:28 AM  all    0.21    0.00    1.51    3.35    0.00    0.00    0.00    0.00    0.00   94.93
11:38:29 AM  all    0.17    0.00    1.55    3.35    0.00    0.00    0.00    0.00    0.00   94.93
11:38:30 AM  all    0.21    0.00    1.63    3.35    0.00    0.00    0.00    0.00    0.00   94.81
11:38:31 AM  all    0.17    0.00    0.88    3.48    0.00    0.00    0.00    0.00    0.00   95.48
11:38:32 AM  all    0.13    0.00    1.00    3.35    0.00    0.00    0.00    0.00    0.00   95.52
11:38:33 AM  all    0.13    0.00    1.72    3.35    0.00    0.00    0.00    0.00    0.00   94.81
11:38:34 AM  all    0.17    0.00    1.59    3.35    0.00    0.00    0.00    0.00    0.00   94.89
11:38:35 AM  all    0.17    0.00    0.84    3.39    0.00    0.00    0.00    0.00    0.00   95.61
11:38:36 AM  all    0.08    0.00    1.55    3.65    0.00    0.00    0.00    0.00    0.00   94.72
11:38:37 AM  all    0.21    0.00    0.92    3.52    0.00    0.00    0.00    0.00    0.00   95.35
11:38:38 AM  all    0.13    0.00    1.09    3.47    0.00    0.00    0.00    0.00    0.00   95.32
11:38:39 AM  all    0.13    0.00    1.09    3.39    0.00    0.00    0.00    0.00    0.00   95.39
11:38:40 AM  all    0.13    0.00    1.68    3.43    0.00    0.00    0.00    0.00    0.00   94.77
11:38:41 AM  all    0.25    0.00    1.63    3.56    0.00    0.04    0.00    0.00    0.00   94.51
11:38:42 AM  all    0.13    0.00    1.68    3.48    0.00    0.00    0.00    0.00    0.00   94.72
11:38:43 AM  all    0.21    0.00    1.00    3.43    0.00    0.00    0.00    0.00    0.00   95.35
11:38:44 AM  all    0.08    0.00    1.84    3.47    0.00    0.00    0.00    0.00    0.00   94.60
11:38:45 AM  all    0.08    0.00    1.72    3.48    0.00    0.00    0.00    0.00    0.00   94.72
11:38:46 AM  all    0.17    0.00    1.76    3.52    0.00    0.00    0.00    0.00    0.00   94.56
11:38:47 AM  all    0.29    0.00    1.59    3.48    0.00    0.00    0.00    0.00    0.00   94.64
11:38:48 AM  all    0.08    0.00    1.72    3.48    0.00    0.00    0.00    0.00    0.00   94.72
11:38:49 AM  all    0.25    0.00    0.92    3.43    0.00    0.00    0.00    0.00    0.00   95.40
11:38:50 AM  all    0.13    0.00    1.80    3.47    0.00    0.00    0.00    0.00    0.00   94.60
11:38:51 AM  all    0.21    0.00    0.92    3.52    0.00    0.00    0.00    0.00    0.00   95.35
11:38:52 AM  all    0.21    0.00    1.72    3.47    0.00    0.00    0.00    0.00    0.00   94.60
11:38:53 AM  all    0.21    0.00    1.76    3.43    0.00    0.00    0.00    0.00    0.00   94.60
11:38:54 AM  all    0.21    0.00    0.92    3.43    0.00    0.00    0.00    0.00    0.00   95.44
11:38:55 AM  all    0.17    0.00    1.80    3.39    0.00    0.00    0.00    0.00    0.00   94.64
11:38:56 AM  all    0.13    0.00    1.88    3.60    0.00    0.04    0.00    0.00    0.00   94.36
11:38:57 AM  all    0.13    0.00    1.01    3.44    0.00    0.00    0.00    0.00    0.00   95.43
11:38:58 AM  all    0.17    0.00    0.96    3.47    0.00    0.00    0.00    0.00    0.00   95.40
11:38:59 AM  all    0.13    0.00    0.88    3.44    0.00    0.00    0.00    0.00    0.00   95.56
11:39:00 AM  all    0.21    0.00    1.88    3.43    0.00    0.00    0.00    0.00    0.00   94.49
11:39:01 AM  all    0.08    0.00    1.05    3.48    0.00    0.00    0.00    0.00    0.00   95.39
11:39:02 AM  all    0.13    0.00    1.80    3.43    0.00    0.00    0.00    0.00    0.00   94.64
