# dirty_pages redo_length page_writes xct_end updates
7605 0 0 1024 15383
56430 0 0 5449 137676
87080 0 0 6681.67 127323
110675 0 0 7544.75 142320
127313 0 0 8007.4 140386
140904 0 0 8477.5 151541
151358 0 0 8785.71 149937
159740 0 0 8978.88 145251
166687 0 0 9115.22 142740
173738 0 0 9351.3 161163
180089 0 0 9550.45 162223
185803 0 0 9673.67 154142
191224 0 0 9788.77 157048
196598 0 0 9948.21 168367
201073 0 0 9991.67 149968
205624 0 0 10060.3 155744
210025 0 0 10133.4 158451
214145 0 0 10196.2 156674
218145 0 0 10280.2 164833
221861 0 0 10331.1 157317
225377 0 0 10836.5 155637
228980 0 0 10929.9 165088
232182 0 0 11003.5 150645
235266 0 0 11044 151736
238452 0 0 11136.4 165137
241850 0 0 11219.2 175000
244963 0 0 11294.4 168799
247652 1911 5120 11349.3 160217
250207 1980 14336 11414 163597
252667 2050 15360 11434 166983
255191 2121 14336 11455.8 168825
257635 2190 15360 11485.1 164353
260032 2261 15360 11523.1 169008
262362 2334 14336 11532.4 173376
264510 2401 15360 11575 161186
266728 2475 14336 11592.6 161493
269076 2548 15360 11644.5 174144
271238 2617 15360 11666 163822
272840 2671 14336 11531.6 128696
274908 2737 15360 11527.5 157460
277038 2807 15360 11554.8 165507
279131 2876 14336 11549.1 163907
281117 2944 15360 11592.5 163337
282791 3007 14336 11527.6 134154
284666 3074 15360 11500.5 158971
286731 3145 15360 11477.9 168119
288441 3205 14336 11386.9 141522
290317 3271 15360 11371.9 155395
292110 3337 15360 11357.8 156542
294012 3406 14336 11349 165198
295981 3477 15360 11350.9 169888
297711 3550 15360 11317.9 155541
299531 3616 14336 11284.8 156858
301345 3686 15360 11260.9 165637
303125 3753 14336 11245 157709
304884 3819 15360 11234.5 157082
306616 3886 15360 11179.7 158277
308470 3957 14336 11194.5 167439
310143 4022 15360 11274.6 152597
311669 4091 15360 11233.5 146205
313478 4163 15360 11249.1 170298
315271 4233 14336 11255.8 166159
316955 4300 15360 11245.4 158409
318629 4369 15360 11344.8 163653
320290 4436 14336 11353.6 159190
321914 4505 15360 11330.3 162816
323585 4576 15360 11416.5 167835
325106 4646 14336 11390.9 149811
326660 4713 15360 11387.8 158883
328279 4781 14336 11364.4 158454
329935 4850 15360 11340.1 163514
331452 4916 15360 11344 155966
333072 4986 15360 11369.1 165937
334757 5059 14336 11394.5 173159
336177 5124 15360 11383.8 154906
337669 5196 15360 11362 152331
339167 5263 14336 11355.6 158059
340776 5333 15360 11342.2 165191
