Linux 3.13.0-68-generic (ds-server2) 	04/09/2016 	_x86_64_	(24 CPU)

12:19:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:19:21 PM  all    0.83    0.00    3.29    0.04    0.00    0.00    0.00    0.00    0.00   95.83
12:19:22 PM  all    0.38    0.00    1.88    3.14    0.00    0.04    0.00    0.00    0.00   94.56
12:19:23 PM  all    0.38    0.00    0.42    3.43    0.00    0.00    0.00    0.00    0.00   95.77
12:19:24 PM  all    0.34    0.00    1.68    3.48    0.00    0.00    0.00    0.00    0.00   94.51
12:19:25 PM  all    0.42    0.00    0.59    3.47    0.00    0.00    0.00    0.00    0.00   95.53
12:19:26 PM  all    0.34    0.00    1.72    3.48    0.00    0.00    0.00    0.00    0.00   94.47
12:19:27 PM  all    0.34    0.00    0.38    3.60    0.00    0.00    0.00    0.00    0.00   95.68
12:19:28 PM  all    0.38    0.00    1.63    3.48    0.00    0.00    0.00    0.00    0.00   94.51
12:19:29 PM  all    0.38    0.00    0.42    3.56    0.00    0.00    0.00    0.00    0.00   95.65
12:19:30 PM  all    0.33    0.00    1.51    3.68    0.00    0.04    0.00    0.00    0.00   94.44
12:19:31 PM  all    0.25    0.00    0.38    3.60    0.00    0.00    0.00    0.00    0.00   95.77
12:19:32 PM  all    0.50    0.00    1.50    3.68    0.00    0.00    0.00    0.00    0.00   94.32
12:19:33 PM  all    0.33    0.00    0.33    3.73    0.00    0.00    0.00    0.00    0.00   95.60
12:19:34 PM  all    0.42    0.00    1.59    3.68    0.00    0.00    0.00    0.00    0.00   94.32
12:19:35 PM  all    0.38    0.00    0.29    3.64    0.00    0.00    0.00    0.00    0.00   95.69
12:19:36 PM  all    0.21    0.00    1.67    3.60    0.00    0.00    0.00    0.00    0.00   94.52
12:19:37 PM  all    0.21    0.00    0.38    3.51    0.00    0.00    0.00    0.00    0.00   95.90
12:19:38 PM  all    0.42    0.00    1.59    3.52    0.00    0.00    0.00    0.00    0.00   94.47
12:19:39 PM  all    0.46    0.00    0.50    3.26    0.00    0.00    0.00    0.00    0.00   95.78
12:19:40 PM  all    0.42    0.00    0.84    3.27    0.00    0.00    0.00    0.00    0.00   95.47
12:19:41 PM  all    0.42    0.00    1.09    3.26    0.00    0.00    0.00    0.00    0.00   95.23
