# dirty_pages redo_length page_writes xct_end updates
52 0 0 18 98
53999 0 0 5134 145280
89228 38 361 6929 148305
114369 107 645 8130.5 165429
131814 176 605 8837.2 164776
144908 250 631 9341 169651
154400 316 589 9588.29 156804
162786 385 628 9852.12 165509
168937 444 550 9853.11 140069
175269 509 575 9949.8 154574
180684 572 563 10007.5 149066
186142 636 557 10067.9 151403
191175 706 584 10152.4 157214
195901 771 578 10210.5 153911
200363 835 580 10243.2 150738
204389 895 496 10228.9 142554
208132 1976 490 10202.6 136045
211891 2038 502 10206.1 145957
215926 2106 604 10272.1 161037
219408 2171 551 10304 153010
222718 2238 542 10830.8 147292
225871 2298 560 10830.5 143093
228812 2355 509 10793.1 136074
231629 2413 521 10697 138385
234017 2471 702 10596.8 136124
236757 2533 384 10524.6 148333
239335 2594 548 10486 145093
241807 2653 534 10406.5 141218
244302 2718 510 10417.4 141925
247060 2785 569 10434.4 158981
249329 2842 507 10385.5 135908
251531 2901 529 10351 139287
253975 2965 583 10334.2 152386
256349 3029 576 10321.1 152273
258710 3093 580 10325.8 153234
260904 3157 577 10361.8 152753
263162 3227 585 10416.1 151987
265139 3288 554 10409.4 143962
267133 3348 555 10346.9 144331
269205 3410 560 10328 146941
271250 3473 558 10339.3 149183
273551 3546 621 10441.1 173886
275641 3614 586 10513.9 162352
277767 3689 625 10602.3 163706
279542 3753 741 10663.4 153017
281561 3825 800 10743.8 169544
283605 3895 649 10821 168007
285495 3961 589 10867.4 154758
287448 4026 595 10914 155398
289336 4093 706 10914 158981
291291 4163 666 11019.1 163731
293107 4237 635 11081 160852
295111 4306 594 11121 163854
297173 4380 622 11203.5 174194
299054 4448 596 11234 160851
300838 4513 588 11246.5 154166
302586 4579 608 11257 156710
304498 4652 650 11351.2 172171
306076 4716 584 11375.7 152103
307826 4789 591 11397.6 154532
309615 4859 639 11449 165111
311504 4931 668 11437.2 170822
313294 5000 637 11464 163502
314920 5066 599 11436.6 156251
316666 5135 615 11476 163768
318171 5199 608 11412.7 150084
319974 5273 612 11435.5 175014
321420 5342 553 11408 146575
323021 5408 594 11416.7 156818
324728 5480 656 11463.1 169507
326198 5548 695 11443.9 161627
327807 5617 628 11459.4 164065
329336 5685 622 11434.9 159369
331046 5758 685 11433.3 174941
332640 5827 633 11437.6 163013
333986 5897 602 11411.6 146101
335532 5964 583 11420.6 159177
337033 6032 579 11390.6 159702
338542 6097 566 11406 154400
340128 6167 648 11438.1 164503
341584 6235 662 11415.9 160437
343218 6306 640 11415.8 169344
344712 6375 630 11400.1 162618
346092 6447 598 11390.6 153496
347606 6515 619 11373.9 159480
349045 6584 675 11412.2 163306
350465 6649 604 11343 152039
351878 6714 584 11366 153635
353415 6781 578 11373 158937
355025 6852 600 11369.2 169685
356464 6919 581 11359.6 157739
357646 6986 590 11271 139100
358866 7044 537 11196.7 137773
360242 7108 583 11115 151651
361563 7172 586 11078.8 151690
362820 7232 553 11059 140885
364226 7298 632 11044.1 156962
365719 7368 639 11059.7 166210
366979 7431 568 11033.4 148984
368243 7498 535 10943.2 138742
369495 7558 540 10880.2 142899
370851 7624 580 10840 156623
372154 7687 532 10795.2 149002
373426 7748 513 10760.2 144185
374658 7810 558 10715.5 146312
375946 7875 577 10681 153298
377189 7935 522 10642.6 142796
378365 8004 528 10589.7 141078
379637 8065 548 10531.4 144155
380849 8128 606 10463 150749
382131 8193 591 10449.3 153199
383444 8256 576 10487.5 149141
384784 8322 581 10559.4 156445
386056 8384 548 10549.9 148367
387308 8446 532 10531.3 147025
388508 8513 488 10504.8 135563
389755 8577 559 10496 151508
390881 8636 530 10414.2 140862
392015 8695 537 10389.7 138700
393280 8761 614 10462.1 157087
394586 8826 587 10503.6 155109
395920 8892 576 10490.5 155193
397063 8958 507 10439 134072
398316 9021 578 10464.4 150416
399654 9090 631 10511.4 161759
401052 9163 677 10584.1 174192
402383 9232 612 10651 162398
403667 9297 582 10701.4 153633
405018 9364 552 10759.6 158727
406444 9435 614 10827.6 167772
407677 9511 608 10839.1 158033
409058 9580 627 10889.8 163041
410400 9650 643 10912.4 164892
411772 9721 649 10981.1 167644
412818 9777 563 10934.6 133541
414185 9843 603 11004 153560
415563 9913 670 11062.3 166794
417025 9982 613 11135.5 163815
418194 10054 557 11152.3 147130
419550 10122 594 11162.9 160469
420879 10190 593 11183.6 160769
421420 10263 1975 11241 170525
422670 8858 402 11298 151111
423664 8925 762 11322.9 157893
424850 8995 695 11342.3 166207
426081 9064 663 11308.9 163611
427216 9141 676 11297.9 158862
428361 9206 660 11298.7 152269
429471 9270 700 11280.9 152285
430850 9341 668 11278.9 166438
432040 9410 702 11306.4 162790
433291 9477 628 11290.1 157629
434495 9546 636 11286.5 162557
435784 9618 705 11296.7 170875
437052 9687 681 11403.2 164242
438265 9764 665 11412.4 157599
439564 9834 703 11407.2 166195
440764 9899 642 11378.1 154085
441905 9964 692 11411.2 152469
443123 10028 647 11377.4 153041
444441 10096 657 11385.7 160681
445798 10170 665 11392 173299
447035 10240 679 11444.5 167441
448286 10308 658 11454.1 161215
449534 10386 632 11434 159544
450900 10460 687 11464 173605
452087 10526 660 11447.7 156257
453231 10588 613 11424.8 147168
454240 10650 688 11394.1 146916
455386 10716 718 11348.5 156769
456614 10785 717 11336 161456
457801 10854 750 11357.9 163799
459003 10922 749 11360.9 161369
460059 10994 694 11273.4 144497
461105 11053 646 11194.9 140625
462258 11113 586 11140 141434
463375 11175 562 11055.2 145155
464526 11237 628 11029.1 147072
465792 11303 637 11027.1 156359
467130 11372 676 11059.5 162837
468517 11442 703 11073.6 166657
469788 11518 618 11003.4 153584
471000 11578 583 10919.7 140335
472110 11638 619 10862.8 143111
473204 11697 578 10787 140217
474516 11761 611 10708.6 150874
475761 11825 619 10695.2 150446
476949 11888 597 10705.2 149716
478084 11950 596 10703.3 145608
479246 12023 698 10689.5 152455
480281 12084 626 10616.1 138202
481412 12146 634 10547.9 146250
482573 12212 713 10520.5 155069
483698 12276 696 10537.6 152171
484829 12338 664 10559.5 147616
485990 12403 695 10598.4 151220
487086 12464 646 10606.5 144050
488376 12532 714 10655.4 161749
489536 12603 597 10610.5 142625
490750 12663 537 10540.9 141428
491993 12724 536 10453.9 143235
493269 12787 569 10440.5 148150
494326 12845 602 10423.8 137360
495511 12904 555 10408.5 140264
496717 12966 598 10435.7 145593
497994 13032 648 10451 155820
499115 13101 565 10404.6 137598
500314 13163 616 10390.8 145098
501459 13223 587 10383.8 142549
502680 13287 614 10375.1 150141
