Linux 3.13.0-68-generic (ds-server2) 	04/09/2016 	_x86_64_	(24 CPU)

02:09:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:09:44 PM  all    1.00    0.00    3.21    0.71    0.00    0.00    0.00    0.00    0.00   95.08
02:09:45 PM  all    0.58    0.00    1.67    3.42    0.00    0.00    0.00    0.00    0.00   94.32
02:09:46 PM  all    0.42    0.00    0.34    3.23    0.00    0.00    0.00    0.00    0.00   96.02
02:09:47 PM  all    0.25    0.00    1.63    3.47    0.00    0.00    0.00    0.00    0.00   94.64
02:09:48 PM  all    0.21    0.00    0.46    3.47    0.00    0.04    0.00    0.00    0.00   95.82
02:09:49 PM  all    0.38    0.00    1.67    3.64    0.00    0.00    0.00    0.00    0.00   94.32
02:09:50 PM  all    0.33    0.00    0.50    3.51    0.00    0.00    0.00    0.00    0.00   95.66
02:09:51 PM  all    0.38    0.00    1.55    3.51    0.00    0.00    0.00    0.00    0.00   94.56
02:09:52 PM  all    0.38    0.00    0.50    3.43    0.00    0.00    0.00    0.00    0.00   95.70
02:09:53 PM  all    0.42    0.00    1.63    3.51    0.00    0.00    0.00    0.00    0.00   94.44
02:09:54 PM  all    0.38    0.00    0.54    3.31    0.00    0.00    0.00    0.00    0.00   95.77
02:09:55 PM  all    0.46    0.00    1.75    3.30    0.00    0.00    0.00    0.00    0.00   94.49
02:09:56 PM  all    0.34    0.00    0.46    3.27    0.00    0.00    0.00    0.00    0.00   95.94
02:09:57 PM  all    0.50    0.00    0.88    3.27    0.00    0.00    0.00    0.00    0.00   95.35
02:09:58 PM  all    0.29    0.00    0.38    3.23    0.00    0.00    0.00    0.00    0.00   96.10
02:09:59 PM  all    0.50    0.00    1.55    3.64    0.00    0.00    0.00    0.00    0.00   94.31
02:10:00 PM  all    0.33    0.00    0.38    3.47    0.00    0.00    0.00    0.00    0.00   95.82
02:10:01 PM  all    0.54    0.00    1.59    3.51    0.00    0.00    0.00    0.00    0.00   94.36
02:10:02 PM  all    0.42    0.00    0.33    3.51    0.00    0.00    0.00    0.00    0.00   95.74
02:10:03 PM  all    0.17    0.00    1.63    3.51    0.00    0.00    0.00    0.00    0.00   94.69
02:10:04 PM  all    0.29    0.00    0.38    3.59    0.00    0.00    0.00    0.00    0.00   95.74
02:10:05 PM  all    0.46    0.00    1.59    3.47    0.00    0.00    0.00    0.00    0.00   94.48
02:10:06 PM  all    0.34    0.00    0.34    3.31    0.00    0.00    0.00    0.00    0.00   96.02
02:10:07 PM  all    0.42    0.00    1.55    3.30    0.00    0.04    0.00    0.00    0.00   94.69
02:10:08 PM  all    0.38    0.00    0.46    3.39    0.00    0.00    0.00    0.00    0.00   95.77
02:10:09 PM  all    0.50    0.00    1.76    3.56    0.00    0.00    0.00    0.00    0.00   94.18
02:10:10 PM  all    0.38    0.00    0.46    3.43    0.00    0.04    0.00    0.00    0.00   95.69
02:10:11 PM  all    0.46    0.00    0.96    3.39    0.00    0.00    0.00    0.00    0.00   95.18
02:10:12 PM  all    0.29    0.00    0.46    3.27    0.00    0.00    0.00    0.00    0.00   95.97
02:10:13 PM  all    0.50    0.00    1.84    3.22    0.00    0.00    0.00    0.00    0.00   94.43
02:10:14 PM  all    0.42    0.00    0.63    3.34    0.00    0.00    0.00    0.00    0.00   95.61
