# dirty_pages redo_length page_writes xct_end updates
10247 0 0 1454 21168
62027 0 0 6138 151229
91672 45 442 7298 134923
114324 109 607 8153 151239
131602 178 609 8816 164134
144789 247 629 9317.17 166198
154514 317 607 9606.43 159510
162659 383 598 9808 157363
169659 449 616 9954.78 156881
176360 518 629 10127.9 162622
182377 587 628 10268.1 163973
187796 653 598 10336.4 157170
193077 723 629 10435.2 164146
197454 788 588 10436.1 145871
202180 857 622 10504.1 160896
206752 926 569 10574.2 164450
210957 2015 542 10600.8 154517
214813 2079 531 10609.9 152002
218865 2150 638 10686.5 167855
222714 2222 616 10757.2 171317
226253 2295 601 11260.9 162068
229771 2366 651 11312.9 167938
232460 2427 831 11345.5 144230
235675 2496 627 11391 163268
238740 2566 631 11410.1 167102
241705 2632 568 11383.4 157523
244622 2700 551 11385.1 161781
246515 2758 930 11321 138536
249356 2830 238 11328.2 158324
251887 2901 620 11341.8 167762
254388 2970 612 11345.5 165116
256737 3033 557 11323.7 148443
258969 3098 610 11293.8 155992
261047 3161 563 11302.3 149401
263376 3231 655 11332.8 168508
265432 3297 595 11303 155874
267414 3367 598 11284.4 151497
269411 3432 585 11298.5 154818
271621 3502 598 11283 165295
273715 3569 562 11251.5 161417
275742 3636 555 11232.9 157680
277875 3707 631 11245.2 170816
279757 3776 710 11310 163113
281679 3851 628 11312 162680
283383 3916 602 11272.5 156326
285252 3986 618 11294.2 165280
287215 4060 655 11345.7 175888
288988 4130 620 11430 164819
290674 4195 602 11421.5 155031
292513 4263 569 11397 161694
294338 4336 645 11428.8 172300
295985 4407 556 11434.9 152146
297621 4472 539 11420.4 153043
299208 4538 585 11446.6 157795
300948 4608 609 11430.9 163777
302577 4674 570 11433.5 157786
304143 4739 591 11449.7 154301
305840 4812 646 11507 171631
307495 4880 601 11491.7 160535
308936 4948 557 11427.1 144374
310483 5014 616 11420.5 155991
312185 5082 502 11384.9 159345
314162 5150 132 11377.5 163205
315605 5215 519 11334.2 152307
317042 5282 543 11341.9 158139
318493 5353 634 11355.7 169267
320014 5426 631 11349.1 172276
321306 5496 567 11294.1 147933
322637 5566 631 11324.9 166042
324064 5637 626 11344.2 167325
325451 5706 606 11311 164390
326789 5773 608 11343.4 159586
328195 5844 616 11395.2 165799
329584 5914 631 11435.7 167382
331012 5985 602 11442.6 167671
332318 6058 544 11440.1 154709
333604 6125 620 11448.7 157920
333563 6164 1212 11171 92331
335075 6238 649 11212.9 173497
336525 6307 605 11285.7 163731
337842 6370 543 11267 148332
339273 6443 663 11305.5 173395
340505 6517 628 11286.7 156345
341876 6587 623 11334.5 165679
343246 6656 619 11348 162863
344599 6728 647 11344.8 168466
346059 6799 594 11333 170032
347363 6863 544 11341 150102
348804 6932 566 11335.2 164127
350208 7001 603 11317.1 164037
351461 7075 596 11290.7 154952
352678 7137 542 11239.7 147175
353671 7198 716 11174.6 145449
354825 7264 674 11120.4 153989
356318 7331 466 11097.5 160613
358120 7401 177 11133.7 164199
359481 7469 616 11151.9 161996
360801 7536 582 11375.7 158227
362246 7612 571 11323.5 159299
363698 7680 576 11318.6 161047
365051 7747 581 11350.8 157704
366439 7815 614 11321.8 162012
367715 7884 617 11341.8 162293
368941 7948 573 11290 152693
370270 8015 561 11271 157436
371658 8083 589 11251.5 161875
373019 8160 606 11219.3 161006
374413 8229 599 11261.8 164477
375769 8300 650 11275.8 167044
377078 8367 578 11269 160059
378492 8436 571 11282.1 162818
379820 8503 550 11317 158533
381132 8569 585 11349.8 155886
382478 8637 618 11381.1 162401
383743 8711 579 11361.9 153040
384953 8774 564 11300.6 149185
386208 8841 585 11285.9 158687
387502 8905 565 11269.5 153266
388700 8970 592 11254.5 153761
389904 9030 529 11177.9 140620
391026 9090 517 11112.9 143208
392252 9152 527 11057 145672
393452 9222 545 11002.8 144317
394626 9283 500 10981.5 145123
395817 9344 529 10929 143147
397079 9409 587 10901.4 155205
398319 9475 564 10883.9 155495
399478 9534 512 10799.4 139587
400608 9593 521 10699.7 139771
401863 9665 538 10654.9 147161
403266 9730 432 10620.3 153457
404786 9791 131 10579.5 143797
405995 9853 562 10553.1 148290
407194 9917 560 10510 150235
408485 9985 594 10526.5 161255
409707 10046 516 10509.8 143588
410952 10108 508 10468 147236
412091 10175 466 10404.1 134552
413361 10239 581 10394.1 151216
414534 10302 541 10410.4 148355
415681 10360 526 10406.1 137853
416877 10422 535 10393.9 146840
418193 10492 654 10468.8 166827
419481 10557 563 10489.1 151520
420913 10627 625 10580.5 166358
422150 10701 583 10571 153567
423477 10770 615 10604.4 162361
424806 10838 579 10678 159636
426091 10905 574 10737.2 157448
427413 10971 533 10766.5 156425
428783 11038 561 10794.5 158824
430160 11108 612 10866 164614
431507 11176 586 10905.5 161150
432883 11244 599 10944 160699
434195 11322 613 10949.4 162800
435471 11389 606 10995.8 156608
436841 11460 635 11078.7 168598
438123 11526 594 11156.1 155127
439441 11591 578 11170.2 153427
440549 11648 509 11132.4 136000
441852 11711 514 11158.6 148569
443208 11779 546 11217 161266
444560 11852 607 11236.3 172659
445673 11926 566 11231.5 149672
446921 11995 599 11214.7 164123
448076 12063 606 11240.8 160267
449394 12130 423 11222.4 158438
450939 12198 229 11227.5 160253
452242 12266 623 11252.6 161186
453463 12333 593 11254.9 158964
454754 12401 613 11249.3 159134
455913 12477 612 11215.5 155930
457202 12545 556 11212.7 160042
458522 12615 580 11230.9 164744
459819 12684 587 11237.8 164700
461049 12751 609 11243.3 158381
462289 12817 571 11192.9 156521
463490 12885 595 11204.4 159598
464692 12950 552 11193.2 154083
465916 13014 542 11250.9 152246
466990 13084 515 11219.9 138856
468207 13151 636 11215.5 158274
469520 13221 618 11189 165174
470821 13289 597 11235.3 162514
472080 13353 542 11189.9 150985
473440 13423 599 11214.1 165935
474779 13495 644 11249.9 169721
476154 13567 610 11280.3 170048
477277 13637 523 11202 140174
478640 13707 591 11223.6 163317
479997 13775 579 11232.3 163032
481172 13839 569 11210.2 149315
482419 13904 583 11192.1 153976
483642 13968 554 11136.5 149942
485014 14038 626 11149.9 166742
486411 14108 586 11173.3 165550
487586 14178 482 11113 138623
488930 14247 570 11118.6 162401
490227 14316 618 11160.6 163450
491451 14379 554 11145.6 148462
492656 14441 536 11166.4 145042
494049 14513 606 11204.5 171071
495867 14585 67 11216.9 169356
497268 14656 613 11228.9 167531
498464 14732 564 11236 152711
499709 14794 567 11171.3 146830
500939 14861 636 11134.5 158323
502290 14929 575 11093.9 159344
503599 14997 575 11173.2 162290
504909 15064 565 11160.1 156800
506305 15138 645 11209.7 174094
507633 15208 623 11276.5 165235
508922 15284 564 11273.6 153237
510133 15350 586 11292.5 154983
511459 15420 618 11292.8 167043
512772 15489 589 11284.5 162736
514030 15557 586 11356.1 157923
515270 15623 599 11335.9 154925
516568 15691 598 11326 161525
517838 15755 523 11342.5 150538
519136 15823 550 11399.2 159823
520317 15896 510 11315.5 144389
521568 15967 655 11317.4 167715
522720 16029 562 11250.5 147261
523889 16093 579 11249 149455
525145 16161 614 11301.8 161947
526426 16233 673 11342.6 170223
527586 16296 551 11302 148324
528876 16364 594 11287 159840
530059 16441 572 11265.6 152906
531271 16506 559 11190.5 153634
532547 16572 553 11147.1 155793
533655 16631 529 11100.4 139957
535061 16699 548 11118 159859
536495 16771 591 11127.5 170150
537778 16839 598 11109.6 158852
539125 16908 609 11127.8 164876
540807 16984 60 11121.7 153603
542075 17053 550 11104.8 157693
