Linux 3.13.0-68-generic (ds-server2) 	04/09/2016 	_x86_64_	(24 CPU)

05:47:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:47:09 PM  all    0.71    0.00    2.04    2.42    0.00    0.00    0.00    0.00    0.00   94.83
05:47:10 PM  all    0.54    0.00    1.80    3.09    0.00    0.04    0.00    0.00    0.00   94.52
05:47:11 PM  all    0.54    0.00    1.71    3.51    0.00    0.00    0.00    0.00    0.00   94.23
05:47:12 PM  all    0.38    0.00    1.84    3.55    0.00    0.00    0.00    0.00    0.00   94.23
05:47:13 PM  all    0.38    0.00    0.88    3.52    0.00    0.00    0.00    0.00    0.00   95.22
05:47:14 PM  all    0.42    0.00    1.51    3.60    0.00    0.00    0.00    0.00    0.00   94.47
05:47:15 PM  all    0.42    0.00    1.59    3.60    0.00    0.00    0.00    0.00    0.00   94.40
05:47:16 PM  all    0.42    0.00    1.80    3.51    0.00    0.00    0.00    0.00    0.00   94.27
05:47:17 PM  all    0.42    0.00    0.84    3.52    0.00    0.00    0.00    0.00    0.00   95.22
05:47:18 PM  all    0.50    0.00    0.92    3.48    0.00    0.00    0.00    0.00    0.00   95.10
05:47:19 PM  all    0.50    0.00    1.80    3.56    0.00    0.00    0.00    0.00    0.00   94.14
05:47:20 PM  all    0.46    0.00    0.92    3.52    0.00    0.00    0.00    0.00    0.00   95.10
05:47:21 PM  all    0.50    0.00    0.88    3.51    0.00    0.00    0.00    0.00    0.00   95.11
05:47:22 PM  all    0.46    0.00    1.05    3.51    0.00    0.00    0.00    0.00    0.00   94.98
05:47:23 PM  all    0.50    0.00    0.84    3.52    0.00    0.00    0.00    0.00    0.00   95.14
05:47:24 PM  all    0.42    0.00    0.92    5.20    0.00    0.04    0.00    0.00    0.00   93.42
05:47:25 PM  all    0.17    0.00    2.05    5.10    0.00    0.00    0.00    0.00    0.00   92.69
05:47:26 PM  all    0.25    0.00    0.42    3.52    0.00    0.00    0.00    0.00    0.00   95.81
05:47:27 PM  all    0.42    0.00    1.72    3.48    0.00    0.00    0.00    0.00    0.00   94.39
05:47:28 PM  all    0.50    0.00    0.50    3.51    0.00    0.00    0.00    0.00    0.00   95.48
05:47:29 PM  all    0.59    0.00    1.51    3.56    0.00    0.00    0.00    0.00    0.00   94.34
05:47:30 PM  all    0.42    0.00    1.55    3.60    0.00    0.00    0.00    0.00    0.00   94.43
05:47:31 PM  all    0.38    0.00    1.72    3.47    0.00    0.00    0.00    0.00    0.00   94.43
05:47:32 PM  all    0.54    0.00    1.51    3.52    0.00    0.00    0.00    0.00    0.00   94.43
05:47:33 PM  all    0.34    0.00    1.64    3.52    0.00    0.00    0.00    0.00    0.00   94.51
05:47:34 PM  all    0.38    0.00    0.38    3.60    0.00    0.00    0.00    0.00    0.00   95.65
05:47:35 PM  all    0.46    0.00    1.84    3.51    0.00    0.00    0.00    0.00    0.00   94.19
05:47:36 PM  all    0.42    0.00    0.46    3.51    0.00    0.00    0.00    0.00    0.00   95.61
05:47:37 PM  all    0.42    0.00    1.68    3.52    0.00    0.00    0.00    0.00    0.00   94.38
05:47:38 PM  all    0.50    0.00    0.42    3.52    0.00    0.00    0.00    0.00    0.00   95.56
05:47:39 PM  all    0.38    0.00    1.72    3.60    0.00    0.00    0.00    0.00    0.00   94.31
05:47:40 PM  all    0.34    0.00    0.29    3.56    0.00    0.00    0.00    0.00    0.00   95.81
05:47:41 PM  all    0.33    0.00    1.09    3.51    0.00    0.00    0.00    0.00    0.00   95.07
05:47:42 PM  all    0.38    0.00    0.88    3.52    0.00    0.00    0.00    0.00    0.00   95.22
05:47:43 PM  all    0.42    0.00    1.76    3.52    0.00    0.00    0.00    0.00    0.00   94.31
05:47:44 PM  all    0.33    0.00    0.42    3.60    0.00    0.00    0.00    0.00    0.00   95.65
05:47:45 PM  all    0.42    0.00    1.63    3.60    0.00    0.00    0.00    0.00    0.00   94.35
05:47:46 PM  all    0.42    0.00    0.54    3.51    0.00    0.00    0.00    0.00    0.00   95.53
05:47:47 PM  all    0.54    0.00    1.75    3.55    0.00    0.00    0.00    0.00    0.00   94.15
05:47:48 PM  all    0.42    0.00    0.34    3.52    0.00    0.00    0.00    0.00    0.00   95.73
05:47:49 PM  all    0.38    0.00    0.92    3.56    0.00    0.00    0.00    0.00    0.00   95.14
05:47:50 PM  all    0.42    0.00    1.71    3.55    0.00    0.00    0.00    0.00    0.00   94.31
05:47:51 PM  all    0.38    0.00    0.46    3.51    0.00    0.00    0.00    0.00    0.00   95.65
05:47:52 PM  all    0.46    0.00    1.68    3.48    0.00    0.00    0.00    0.00    0.00   94.38
05:47:53 PM  all    0.42    0.00    0.34    3.52    0.00    0.00    0.00    0.00    0.00   95.73
05:47:54 PM  all    0.46    0.00    1.59    3.60    0.00    0.00    0.00    0.00    0.00   94.34
05:47:55 PM  all    0.33    0.00    0.50    3.55    0.00    0.00    0.00    0.00    0.00   95.61
05:47:56 PM  all    0.46    0.00    1.63    3.51    0.00    0.00    0.00    0.00    0.00   94.39
05:47:57 PM  all    0.21    0.00    0.38    3.48    0.00    0.00    0.00    0.00    0.00   95.94
05:47:58 PM  all    0.54    0.00    1.51    3.52    0.00    0.00    0.00    0.00    0.00   94.43
05:47:59 PM  all    0.38    0.00    0.46    3.56    0.00    0.00    0.00    0.00    0.00   95.60
05:48:00 PM  all    0.46    0.00    0.92    3.52    0.00    0.00    0.00    0.00    0.00   95.10
05:48:01 PM  all    0.46    0.00    1.55    3.51    0.00    0.00    0.00    0.00    0.00   94.48
