# dirty_pages redo_length page_writes xct_end updates
4424 0 0 545 8526
56181 0 0 5432 144245
91116 27 987 7234 153644
111868 18 2099 7949 144533
127072 80 2280 8440.6 146599
139500 146 2181 8919.83 159549
149616 212 0 9222 155613
156965 277 2231 9456.25 156247
163700 348 2502 9737 167765
169480 418 2489 9951.5 167788
173861 485 2548 10016.5 150673
178677 558 2739 10195.8 173404
182780 624 2707 10278 156099
186523 692 2800 10358.5 160197
189959 758 2922 10415.4 156859
193129 825 2789 10457.9 157349
197667 1918 63 10523.4 164114
200409 1983 2694 10545.7 153194
202760 2050 2940 10547.7 150642
205469 2121 2823 10619.5 167423
207846 2188 2555 11160.1 158710
210247 2256 2601 11221.3 161630
212349 2326 2732 11259.9 166007
214261 2392 2766 11308.3 156965
216174 2461 2634 11381 165242
218035 2535 2619 11410.5 165305
221215 2607 1049 11470.4 170810
222739 2674 1616 11477.6 158442
223615 2728 2769 11334.1 128629
225269 2799 2632 11343.3 170644
226752 2863 2306 11359 151698
228103 2930 2386 11312.5 159023
229271 2997 2664 11307.4 158539
229409 3043 2657 11089.2 98284
230856 3111 2493 11099.1 161028
232427 3181 2093 11142.6 167388
234636 3251 1111 11154.8 166432
235909 3322 1189 11204.5 167907
236931 3391 2677 11261.6 164730
236835 3429 2730 10982.5 90889
237861 3498 2603 10999.6 164789
239074 3568 2103 10967.5 153504
239777 3633 2340 10938.9 154414
240759 3701 2609 10967.3 161209
241061 3754 2612 10821.7 126423
241990 3826 2591 10836.6 170568
243974 3895 1124 10798 162818
245083 3970 1412 10870 177183
245789 4044 2684 10993.6 162583
246228 4108 2942 10930.5 151856
246554 4165 2944 10862 135845
247130 4226 2648 10823 146254
247773 4289 2495 10787.8 148348
248432 4354 2538 10982.3 153659
248879 4416 2691 10934.3 146887
249398 4480 2693 10870.8 150181
251179 4549 36 10817.5 149361
251866 4615 2562 10779.6 156059
252212 4673 2612 10678.9 136801
252772 4736 2615 10897.5 150738
253481 4803 2546 10874.1 157294
253935 4869 2667 10882.6 157744
254357 4934 2792 10871.8 153206
254833 5001 2740 10850 158742
255019 5066 2832 10901.3 140598
255539 5132 2711 10852.6 157494
257339 5197 0 10817.4 153850
257647 5261 2700 10713.5 150621
258146 5328 2707 10697 158576
258613 5397 2692 10736.9 164528
258826 5459 2845 10774.9 146035
259049 5526 2877 10763 145007
259349 5588 2756 10758.8 146899
259816 5652 2656 10756.7 151910
260229 5720 2682 10796.6 159698
261055 5782 2066 10780 147610
262237 5848 636 10786.6 154781
262690 5916 2682 10807.5 161886
262927 5983 2766 10856.1 152347
262994 6044 2860 10799.8 136005
263437 6112 2764 10803.6 160630
263589 6169 2669 10725.5 134723
263701 6230 2836 10704.6 144164
264221 6296 2638 10691.4 155576
264551 6362 2527 10755.5 157645
266086 6426 53 10722.9 150095
266353 6493 2690 10703.5 146079
266566 6555 2649 10682.7 144575
266755 6615 2630 10635.5 143873
267063 6678 2612 10585.5 148489
267337 6741 2584 10595.5 147838
267654 6805 2578 10620 151734
267958 6872 2646 10660.4 158491
268129 6939 2794 10680.4 158491
268755 7001 2140 10591.8 132390
269561 7063 715 10594.3 146647
269923 7128 2618 10595.7 153634
270238 7195 2516 10576 158357
270340 7258 2710 10572.8 149620
270613 7324 2705 10642.9 157182
270950 7392 2658 10647.5 161152
271071 7462 2774 10705 150151
271025 7518 2860 10653.4 132108
271247 7579 2662 10615 144617
272639 7641 1082 10573.5 147794
273024 7704 1382 10574.6 149318
273240 7767 2556 10588.8 150280
273504 7834 2622 10642.2 156650
273783 7901 2593 10691.4 159670
273917 7970 2677 10693.1 149098
274004 8031 2748 10676.5 143936
274245 8096 2620 10683.1 153845
274340 8157 2661 10648.6 145619
274568 8224 2643 10646.4 158734
275968 8290 1091 10725.4 156582
276275 8359 1582 10778.9 162540
276503 8433 2679 10800.8 160026
276553 8498 2848 10791 153761
276560 8558 2860 10765.7 144034
276656 8619 2729 10717.8 142884
276757 8679 2656 10651 141463
277012 8743 2525 10654.5 151864
277249 8811 2597 10752.1 161268
277410 8883 2696 10805.8 156652
278862 8948 64 10829.6 154331
279044 9014 2756 10844.8 154838
279144 9075 2809 10835.1 145976
279255 9139 2709 10805.8 151375
279400 9203 2717 10773.6 150479
279671 9271 2701 10815 160669
279870 9338 2740 10862.7 158762
279966 9408 2781 10850 150485
280067 9473 2811 10871.6 153873
280822 9538 2110 10850.5 154258
281660 9601 728 10820.4 147895
281775 9665 2755 10786.6 151873
281943 9728 2719 10749.4 149535
282190 9794 2667 10750.5 155518
282321 9865 2747 10783.5 153126
282392 9927 2787 10802.5 145401
282543 9989 2749 10825.5 147230
282759 10055 2718 10832.6 154462
282879 10118 2724 10793.1 149319
284205 10178 1384 10736.2 143127
284610 10247 1407 10771.8 163211
284885 10316 2705 10798.1 162584
284826 10382 2787 10771.9 140378
284858 10444 2974 10761.5 147499
285141 10508 2715 10760.1 150421
285281 10572 2664 10718.1 151048
285237 10630 2803 10652.1 138152
285402 10689 2729 10621 139005
285708 10758 2568 10645.5 162094
287240 10827 91 10679.1 162719
287338 10897 2684 10694.5 151679
287509 10968 2931 10756.6 167891
287664 11034 2844 10766.8 153496
287728 11099 2859 10757.1 154683
287798 11160 2862 10737.5 145827
287898 11223 2776 10735.5 148164
288136 11292 2721 10786.5 163984
288321 11361 2740 10819.5 163263
289064 11430 2153 10859 161548
289787 11500 764 10890.4 150628
289845 11565 2955 10853.7 154196
290040 11633 2845 10854.1 161503
290162 11701 2762 10921.4 159866
290185 11764 2870 10923.1 149292
290318 11829 2820 10941.1 155079
290451 11895 2785 10965 155128
290558 11963 2841 11041.7 160780
290576 12035 2881 11096.1 155391
291953 12099 67 11053.5 149175
292092 12165 2776 11027.2 156525
292305 12231 2743 11042.5 156467
292334 12293 2693 10956.8 147648
292487 12359 2752 10968.8 156152
292614 12426 2714 10989 157314
292729 12494 2789 11044.9 162737
292806 12565 2824 11060.2 149630
292794 12627 2853 11007.6 149213
293477 12692 2131 10967 153749
294333 12757 651 10945.8 154425
294376 12820 2736 10917.8 146790
294427 12882 2748 10901.3 148752
294573 12947 2686 10867.4 152225
294785 13013 2656 10861.5 157484
294764 13081 2740 10853 145448
294906 13145 2738 10836.8 150787
295094 13212 2673 10834.5 158059
295086 13275 2758 10796 148265
296402 13336 1053 10759.5 144629
296637 13402 1724 10783.5 155050
296931 13470 2691 10810.8 161462
297045 13542 2768 10804 153349
297071 13608 2912 10833.1 155228
297165 13671 2862 10807.4 150597
297258 13735 2766 10770.5 150494
297392 13798 2740 10722.4 148587
297395 13861 2759 10713.1 148138
297674 13929 2681 10760.1 160452
299094 13994 86 10776 154532
299156 14063 2689 10752.1 147600
299209 14125 2879 10764.4 146819
299387 14191 2796 10775.8 153875
299435 14253 2721 10765 148007
299607 14316 2722 10735.5 149038
299639 14380 2789 10749.8 149343
299879 14448 2802 10785.5 161147
299970 14520 2798 10778 154762
300758 14585 2129 10778.3 152161
301400 14648 909 10798 150084
301606 14711 2882 10770.7 149015
301781 14778 2735 10754.5 157075
301838 14838 2811 10719 142690
302040 14906 2853 10736.5 159790
302385 14977 2792 10794.6 166497
302350 15046 2942 10795.4 147185
302379 15107 3028 10785.5 144833
302466 15170 2848 10782.6 146991
303936 15232 41 10740.5 149064
304092 15294 2711 10711.1 146911
304222 15358 2743 10726.5 151024
304519 15425 2706 10765.5 157498
304722 15493 2740 10787.5 158797
304782 15561 2841 10777.9 145037
304821 15624 2906 10777.8 149100
304991 15688 2787 10795.6 150684
305088 15752 2799 10762.8 150101
305849 15816 2116 10755.9 152058
306811 15880 639 10761.8 149642
306940 15946 2775 10778.2 156119
307009 16016 2899 10778.4 147176
307138 16078 2812 10741.9 148053
307095 16135 2796 10709.4 134804
307356 16199 2669 10671.5 149720
307692 16268 2594 10662.9 162705
307694 16334 2844 10693.6 155311
307836 16402 2921 10742.5 160204
308707 16471 2097 10788.8 162725
309410 16538 760 10767.6 141870
309387 16601 2951 10771.8 148246
309549 16662 2785 10738.9 143704
309629 16724 2646 10702 147485
309796 16786 2644 10661.5 147456
309961 16852 2649 10695.2 154467
310014 16914 2778 10693.1 147543
310124 16987 2829 10689.4 154939
310155 17051 2844 10691.7 151245
311609 17115 10 10686.9 152028
311780 17177 2712 10668.6 145133
311852 17238 2687 10624.7 144869
311951 17300 2708 10623.2 148227
312268 17370 2593 10682.9 163942
312293 17434 2715 10744 152639
312220 17500 2877 10715 139565
312311 17562 2720 10654.6 146574
312460 17627 2613 10647.7 151671
313131 17695 2103 10647.4 159748
314056 17758 536 10610.2 149537
314075 17824 2815 10660.6 157166
314201 17891 2821 10704.9 159037
314342 17959 2729 10770.7 159757
314251 18025 2828 10735.5 139156
314559 18095 2720 10800.8 165513
314593 18159 2762 10788 152574
314446 18222 2985 10787 146657
314552 18283 2753 10762.1 145533
316009 18351 41 10786.8 160717
316342 18421 2556 10842.1 166002
316390 18495 2718 10881.2 159115
316383 18560 2909 10909.9 151759
316444 18624 2895 10917.4 151874
316601 18689 2727 10884 155831
316573 18749 2737 10839 139989
316680 18812 2744 10870.6 150121
316936 18881 2580 10932.9 163377
317026 18951 2774 10969.5 165568
318370 19017 0 10904.6 139962
318213 19076 2929 10857.3 138291
318317 19138 2734 10815.9 148133
318489 19201 2520 10771.5 148522
318486 19259 2606 10689.2 136477
318598 19321 2659 10716 146251
318905 19388 2479 10695.1 159708
319029 19459 2594 10722.4 157513
318876 19522 2883 10695.5 141015
320159 19585 1096 10704.4 149089
320517 19650 1634 10683.8 154264
320632 19714 2570 10630.6 151459
320546 19773 2773 10578.2 140304
320656 19839 2748 10591.9 155075
320950 19908 2601 10638.1 162962
320963 19979 2699 10615.5 149446
320693 20037 3015 10607.3 137423
320905 20101 2751 10620.6 152657
321386 20163 2105 10563.5 146004
322393 20229 499 10530.1 155360
322623 20297 2673 10597.3 160945
322743 20362 2682 10663.5 154223
322836 20429 2844 10706.4 158778
322836 20500 2836 10707.8 148650
322957 20563 2746 10741 149433
323046 20623 2626 10736.5 143467
323100 20685 2682 10684.6 145446
323196 20746 2658 10636.8 146417
323779 20808 2072 10656.9 146625
324695 20875 587 10682.1 156870
324893 20948 2637 10687.7 155601
324904 21011 2691 10684.5 150150
325021 21076 2754 10717.2 152528
325066 21136 2708 10674.5 142868
325249 21201 2628 10639 151738
325362 21266 2658 10656.9 154022
325479 21331 2712 10725.5 155932
325529 21398 2829 10744.4 157251
326773 21467 1078 10736.8 145319
326807 21526 1746 10681.2 139325
326896 21588 2750 10630.6 145322
327057 21653 2597 10624.1 153331
327235 21720 2582 10624 158071
327408 21787 2664 10656.5 158824
327570 21854 2753 10691.4 159502
327623 21919 2835 10721.3 153370
327590 21986 2852 10716.6 142094
327571 22047 2779 10704.5 142692
328926 22110 50 10720.4 150707
329218 22175 2519 10706.5 152228
329204 22235 2592 10659.1 141593
329380 22304 2735 10700.4 162746
329528 22369 2677 10707.4 154440
329567 22443 2745 10751.7 156728
329611 22507 2816 10750 151749
329707 22570 2698 10728.6 147647
329761 22632 2644 10693.5 147839
329765 22693 2647 10648.4 143584
331210 22758 11 10675.4 152913
331414 22825 2582 10744 160028
331497 22890 2685 10778 153721
331512 22960 2744 10748 147214
331696 23027 2692 10755 159449
331801 23092 2679 10748.5 155104
331776 23154 2789 10709.4 146452
331759 23215 2763 10678 142756
331951 23280 2599 10714.6 154725
333361 23349 1050 10780.9 162137
333456 23417 1516 10760.1 144289
333334 23478 2839 10732.8 144395
333552 23544 2679 10783.5 155548
333810 23612 2531 10777.2 161771
333840 23679 2728 10791.1 157281
