Linux 3.13.0-68-generic (ds-server2) 	04/09/2016 	_x86_64_	(24 CPU)

04:03:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:03:51 PM  all    1.17    0.00    3.25    1.17    0.00    0.00    0.00    0.00    0.00   94.41
04:03:52 PM  all    0.59    0.00    1.76    3.39    0.00    0.00    0.00    0.00    0.00   94.27
04:03:53 PM  all    0.63    0.00    1.51    3.48    0.00    0.00    0.00    0.00    0.00   94.39
04:03:54 PM  all    0.54    0.00    0.80    3.35    0.00    0.00    0.00    0.00    0.00   95.31
04:03:55 PM  all    0.50    0.00    1.63    3.39    0.00    0.00    0.00    0.00    0.00   94.48
04:03:56 PM  all    0.17    0.00    1.71    3.43    0.00    0.00    0.00    0.00    0.00   94.69
04:03:57 PM  all    0.63    0.00    1.59    3.38    0.00    0.00    0.00    0.00    0.00   94.40
04:03:58 PM  all    0.54    0.00    1.71    3.34    0.00    0.00    0.00    0.00    0.00   94.40
04:03:59 PM  all    0.50    0.00    1.75    3.47    0.00    0.04    0.00    0.00    0.00   94.24
04:04:00 PM  all    0.54    0.00    1.76    3.35    0.00    0.00    0.00    0.00    0.00   94.35
04:04:01 PM  all    0.38    0.00    1.59    3.40    0.00    0.00    0.00    0.00    0.00   94.63
04:04:02 PM  all    0.46    0.00    1.76    3.34    0.00    0.00    0.00    0.00    0.00   94.44
04:04:03 PM  all    0.42    0.00    0.96    3.35    0.00    0.00    0.00    0.00    0.00   95.27
04:04:04 PM  all    0.71    0.00    1.67    3.47    0.00    0.00    0.00    0.00    0.00   94.15
04:04:05 PM  all    0.54    0.00    0.96    3.39    0.00    0.00    0.00    0.00    0.00   95.10
04:04:06 PM  all    0.50    0.00    0.71    3.40    0.00    0.00    0.00    0.00    0.00   95.39
04:04:07 PM  all    0.54    0.00    1.79    3.34    0.00    0.00    0.00    0.00    0.00   94.32
04:04:08 PM  all    0.50    0.00    1.75    3.38    0.00    0.00    0.00    0.00    0.00   94.36
04:04:09 PM  all    0.50    0.00    0.84    3.43    0.00    0.04    0.00    0.00    0.00   95.18
04:04:10 PM  all    0.25    0.00    1.76    3.34    0.00    0.00    0.00    0.00    0.00   94.65
04:04:11 PM  all    0.50    0.00    0.84    3.39    0.00    0.00    0.00    0.00    0.00   95.27
04:04:12 PM  all    0.42    0.00    0.92    3.35    0.00    0.00    0.00    0.00    0.00   95.31
04:04:13 PM  all    0.50    0.00    0.92    3.35    0.00    0.00    0.00    0.00    0.00   95.23
04:04:14 PM  all    0.54    0.00    1.55    3.48    0.00    0.00    0.00    0.00    0.00   94.43
04:04:15 PM  all    0.54    0.00    1.80    3.47    0.00    0.00    0.00    0.00    0.00   94.19
04:04:16 PM  all    0.54    0.00    1.76    3.51    0.00    0.00    0.00    0.00    0.00   94.18
04:04:17 PM  all    0.50    0.00    0.96    3.52    0.00    0.00    0.00    0.00    0.00   95.02
04:04:18 PM  all    0.42    0.00    1.64    3.48    0.00    0.00    0.00    0.00    0.00   94.46
04:04:19 PM  all    0.54    0.00    1.80    5.61    0.00    0.00    0.00    0.00    0.00   92.04
04:04:20 PM  all    0.46    0.00    0.96    3.47    0.00    0.00    0.00    0.00    0.00   95.10
04:04:21 PM  all    0.38    0.00    1.84    3.55    0.00    0.00    0.00    0.00    0.00   94.23
04:04:22 PM  all    0.50    0.00    1.67    3.52    0.00    0.00    0.00    0.00    0.00   94.31
04:04:23 PM  all    0.46    0.00    1.67    3.51    0.00    0.00    0.00    0.00    0.00   94.35
04:04:24 PM  all    0.17    0.00    0.84    3.69    0.00    0.00    0.00    0.00    0.00   95.31
04:04:25 PM  all    0.54    0.00    1.72    3.52    0.00    0.00    0.00    0.00    0.00   94.22
04:04:26 PM  all    0.59    0.00    0.84    3.52    0.00    0.00    0.00    0.00    0.00   95.06
04:04:27 PM  all    0.50    0.00    1.63    3.56    0.00    0.00    0.00    0.00    0.00   94.31
04:04:28 PM  all    0.54    0.00    1.55    3.52    0.00    0.00    0.00    0.00    0.00   94.39
04:04:29 PM  all    0.54    0.00    1.00    3.72    0.00    0.00    0.00    0.00    0.00   94.73
04:04:30 PM  all    0.59    0.00    1.59    3.51    0.00    0.00    0.00    0.00    0.00   94.31
04:04:31 PM  all    0.50    0.00    0.96    3.47    0.00    0.00    0.00    0.00    0.00   95.06
04:04:32 PM  all    0.54    0.00    1.63    3.52    0.00    0.00    0.00    0.00    0.00   94.31
04:04:33 PM  all    0.34    0.00    1.72    3.52    0.00    0.00    0.00    0.00    0.00   94.43
04:04:34 PM  all    0.54    0.00    1.67    3.64    0.00    0.00    0.00    0.00    0.00   94.14
04:04:35 PM  all    0.54    0.00    1.68    3.52    0.00    0.00    0.00    0.00    0.00   94.26
04:04:36 PM  all    0.59    0.00    1.00    3.47    0.00    0.00    0.00    0.00    0.00   94.94
04:04:37 PM  all    0.46    0.00    0.84    3.51    0.00    0.00    0.00    0.00    0.00   95.19
04:04:38 PM  all    0.33    0.00    1.00    3.47    0.00    0.00    0.00    0.00    0.00   95.19
04:04:39 PM  all    0.54    0.00    1.63    3.60    0.00    0.00    0.00    0.00    0.00   94.22
04:04:40 PM  all    0.54    0.00    1.59    3.52    0.00    0.00    0.00    0.00    0.00   94.34
04:04:41 PM  all    0.46    0.00    1.72    3.52    0.00    0.00    0.00    0.00    0.00   94.31
04:04:42 PM  all    0.63    0.00    1.76    3.47    0.00    0.00    0.00    0.00    0.00   94.15
04:04:43 PM  all    0.50    0.00    1.76    3.47    0.00    0.00    0.00    0.00    0.00   94.27
04:04:44 PM  all    0.54    0.00    1.05    3.43    0.00    0.00    0.00    0.00    0.00   94.98
04:04:45 PM  all    0.54    0.00    1.46    3.39    0.00    0.00    0.00    0.00    0.00   94.60
04:04:46 PM  all    0.54    0.00    1.88    3.47    0.00    0.00    0.00    0.00    0.00   94.11
04:04:47 PM  all    0.54    0.00    1.17    3.42    0.00    0.00    0.00    0.00    0.00   94.87
04:04:48 PM  all    0.46    0.00    1.09    3.43    0.00    0.00    0.00    0.00    0.00   95.02
04:04:49 PM  all    0.59    0.00    1.64    3.56    0.00    0.00    0.00    0.00    0.00   94.21
04:04:50 PM  all    0.54    0.00    1.00    3.43    0.00    0.00    0.00    0.00    0.00   95.02
