# dirty_pages redo_length page_writes xct_end updates
14145 0 0 2077 30263
62614 0 0 6195.5 144180
94410 10 100 7628.33 145749
116885 76 607 8512.5 157206
132667 141 573 8956.6 150373
144695 206 596 9297.67 154143
153625 267 545 9432.43 144962
161512 328 567 9576.88 145072
168160 390 576 9682.89 148169
174473 454 580 9803.7 151541
180178 519 579 9905.18 153637
185304 584 549 9938.67 145040
190412 650 610 10028.5 157625
195152 715 573 10095.3 153756
199485 778 565 10124.1 148544
203743 842 549 10151.2 149610
207772 1928 522 10176.9 148116
211940 1998 573 10265.4 166042
215390 2064 509 10266.5 145002
218720 2125 555 10262.9 143613
221780 2183 541 10655.3 137824
225010 2246 574 10675.7 149677
228487 2314 628 10734.6 161867
231138 2373 628 10673.2 139840
233768 2432 675 10640.9 141276
236698 2504 621 10649.1 158046
239472 2567 579 10680.1 150485
242090 2628 514 10668.9 145209
244851 2695 562 10706.6 158470
245844 2736 976 10507.2 97223
248533 2799 557 10501.8 151256
251069 2864 553 10527.6 152773
253627 2933 604 10555.5 165639
256065 3006 592 10575.3 160198
258393 3076 638 10633.5 165624
260611 3146 621 10692.5 167172
263036 3215 408 10738.1 163582
265431 3283 222 10726.6 163632
267534 3353 626 10795.9 166012
268028 3400 1355 10679.9 110758
270156 3469 607 10762.1 164318
272149 3538 518 10757.1 150931
274095 3603 563 10723.4 155026
276127 3672 650 10806.5 163261
278077 3741 650 10898.1 165005
279723 3806 715 10882.2 152940
281579 3872 590 10898 156337
283417 3937 574 10920.9 154761
285305 4006 605 10940.4 164208
287023 4076 588 11125.2 150162
288797 4144 613 11160.4 161899
290574 4211 613 11182.5 159327
292449 4281 569 11182.7 166142
294331 4352 615 11215.8 167772
296144 4418 545 11182.2 154448
297651 4477 566 11092 140725
299317 4544 596 11073.6 155046
300842 4609 522 10997.2 141113
302381 4673 583 10950.5 152055
303964 4737 566 11088 149886
305450 4796 556 11013.8 140410
306948 4857 528 10989.7 145471
308527 4922 615 10988.4 152987
310144 4989 601 10968.8 158015
311644 5061 584 10907.4 152403
313124 5125 550 10902.5 151627
314702 5191 545 10895 156941
316162 5253 551 10877.2 147884
317640 5316 584 10815.6 149060
319124 5379 593 10815.3 149117
321061 5447 241 10803.5 159188
322736 5511 358 10777.2 150915
324015 5578 533 10702.8 142750
325307 5640 538 10616.2 146303
326598 5704 604 10607.3 151737
327986 5772 654 10685.7 161416
329185 5837 668 10670.9 152866
330596 5907 597 10752 165655
332013 5977 591 10797.9 165544
333457 6047 554 10845 164541
334855 6121 545 10893.6 157260
336061 6183 611 10918.6 148618
337299 6250 647 10925.5 157698
338592 6316 576 10915.1 154885
339901 6380 567 10918.8 152386
341148 6446 582 10932 155751
342589 6519 641 10990.9 171030
343746 6586 699 11035.4 158690
345015 6659 581 11056.1 154917
346316 6729 652 11111 165000
347719 6799 587 11133.5 165439
349013 6862 516 11129.4 149005
350303 6929 622 11179.7 158509
351686 7000 630 11262 168766
353092 7072 658 11331.5 170406
354393 7141 623 11337.7 162838
355614 7213 563 11331.8 151872
356832 7281 648 11320.4 161030
358169 7348 584 11300.1 158878
359447 7415 589 11277.5 157759
360743 7480 540 11269.3 153191
362152 7550 630 11331 166310
363476 7618 580 11340.9 160170
364800 7683 537 11339.5 153932
366075 7756 494 11345.6 152146
367998 7828 69 11393.1 170690
369342 7897 628 11362.5 164040
370655 7961 584 11339.6 151929
371916 8025 590 11330.4 151293
373271 8095 640 11331.2 166120
374610 8163 638 11318.4 161274
375891 8229 612 11340.7 156891
377164 8301 564 11316.8 149042
378309 8366 672 11262 153537
379533 8428 519 11161.2 146692
380795 8490 520 11099.8 147681
382015 8551 549 11072.5 145053
383213 8613 552 11023.6 146722
384574 8681 585 11030.5 161820
385853 8744 558 11001.3 146754
387045 8815 577 10980.5 147855
388206 8877 564 10917.5 147952
389436 8941 576 10886 150264
390488 8998 518 10810.4 133880
391690 9061 558 10793.1 149670
392987 9128 574 10750.4 158009
394123 9188 537 10678.2 143761
395433 9253 559 10683.3 153422
396590 9321 530 10640.1 138225
397779 9383 602 10584.5 146654
398987 9444 533 10522.6 143516
400115 9502 519 10456.1 138167
401310 9565 552 10443.6 149170
402487 9625 545 10403 142026
403721 9691 617 10443 155917
404938 9753 584 10448 146893
406135 9825 549 10456.4 146544
407312 9886 549 10452.6 144460
408552 9949 555 10414.5 149468
409865 10014 551 10433.6 153505
410801 10069 570 10369.4 129836
412516 10137 71 10401 159045
413756 10203 580 10428 157996
414869 10261 507 10437.5 135111
415976 10329 517 10409 138785
417211 10389 525 10359.1 141577
418522 10454 569 10399 154122
419811 10519 581 10383.4 152932
420976 10578 533 10383.6 138456
422274 10644 606 10405.5 156385
423645 10712 628 10464.6 161295
424884 10776 558 10514.1 150911
426153 10849 507 10521 147878
427386 10911 510 10543.8 146219
428737 10979 636 10561.8 160132
430093 11049 617 10630.5 165844
431389 11115 662 10661.8 156681
432810 11186 610 10728.3 169124
434236 11256 593 10774.4 165898
435553 11324 576 10797.5 160276
436812 11387 559 10871 149365
438054 11461 574 10835.3 150812
439278 11525 595 10809.8 151051
440389 11585 560 10837.7 143686
441586 11648 564 10860.5 148953
442904 11717 582 10932.5 162463
444257 11784 546 10943.8 159596
445447 11848 575 10940.5 149681
446748 11915 594 11022.1 159829
448046 11982 585 11021.9 156259
449127 12052 542 10956 143177
450154 12113 544 10935.5 144069
451207 12176 605 10932.6 148458
452286 12241 591 10952.9 153001
453472 12307 581 10934.8 156089
454657 12375 602 10909.8 161773
456011 12442 414 10917.9 157443
457662 12509 156 10891.2 158109
458823 12582 566 10841.5 147382
460054 12647 591 10816.6 155188
461307 12713 587 10838 156236
462439 12777 576 10847.8 150009
463652 12842 605 10858.1 153322
464928 12907 615 10893.4 154849
466097 12971 602 10905 150600
467300 13036 580 10871.1 153704
468575 13112 573 10851.9 153149
469794 13179 615 10880.2 158966
471058 13246 572 10872 158336
472285 13311 583 10870 154483
473617 13379 553 10929.5 159709
474861 13443 515 10944.1 151176
476127 13509 560 10971.2 157412
477303 13571 531 10943.9 145366
478361 13636 487 10852.9 127802
479619 13704 607 10852 159516
480726 13767 595 10817.5 148553
481991 13834 605 10817.5 158367
483249 13897 574 10822.8 150171
484384 13963 643 10826.2 154509
485753 14032 607 10853 163812
487299 14107 594 10939 175654
488570 14182 530 10929.9 151455
489968 14251 571 10957 163003
491138 14314 603 10950 149259
492455 14385 630 10991.9 166032
493686 14451 582 11002.4 156039
494907 14514 560 10972.2 149138
496201 14580 591 10959.5 155547
497542 14648 619 10979.8 161050
498826 14724 549 10953.5 152991
500241 14794 636 11012.1 166245
502057 14864 36 11042.8 163863
503420 14932 549 11100.5 160839
504709 14994 540 11160.8 145057
505944 15057 567 11129.5 150252
507265 15127 617 11195.9 163467
508562 15196 638 11228 164425
509837 15264 604 11267.6 160198
510914 15333 539 11213 136163
512117 15397 585 11165.1 148885
513415 15466 628 11127.2 163414
514725 15533 597 11148.1 157101
515952 15598 582 11119 154681
517249 15667 624 11166 162350
518561 15737 677 11167.2 163710
519857 15803 521 11171.5 155919
520914 15871 471 11116.1 133199
522094 15932 524 11077.1 143150
523309 15998 604 11058.7 155268
524465 16061 597 11052 148563
525752 16130 594 11030.9 163046
527059 16198 590 11016.5 161155
528384 16267 601 11024.1 162954
529718 16339 622 11101.8 170144
530725 16409 563 11051.1 137979
531877 16474 617 10995 152638
533206 16546 597 11004 169298
534441 16612 546 10979.1 155694
535734 16679 561 11055.2 159035
536894 16743 566 11049.8 149358
538263 16813 603 11049.1 166489
539693 16884 607 11087.5 167363
540924 16959 566 11072.1 148324
542132 17023 595 11025.9 149782
543405 17090 616 10997.5 157603
544647 17154 597 10988 151891
546336 17221 94 11067.2 158152
547710 17292 562 11151.8 167093
549165 17367 611 11231.8 178815
550518 17435 553 11271.4 159478
551616 17506 527 11195.4 138707
552935 17576 646 11208.2 165330
554302 17650 655 11238.9 174718
555551 17717 620 11202.9 158188
556797 17785 648 11282.6 160423
557938 17849 642 11280.9 151126
559208 17916 586 11251.4 158839
560479 17983 574 11264.2 157220
561780 18051 607 11269.4 162297
562959 18126 544 11258.6 145709
564347 18197 594 11271 169778
565705 18270 591 11270 170844
566846 18333 557 11271 149810
568021 18399 634 11300.6 156082
