Linux 3.13.0-68-generic (ds-server2) 	04/09/2016 	_x86_64_	(24 CPU)

04:36:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:36:44 PM  all    1.08    0.00    1.58    1.88    0.00    0.00    0.00    0.00    0.00   95.46
04:36:45 PM  all    0.13    0.00    0.88    3.52    0.00    0.00    0.00    0.00    0.00   95.48
04:36:46 PM  all    0.13    0.00    0.46    3.38    0.00    0.00    0.00    0.00    0.00   96.03
04:36:47 PM  all    0.21    0.00    1.51    3.35    0.00    0.00    0.00    0.00    0.00   94.93
04:36:48 PM  all    0.08    0.00    0.50    3.47    0.00    0.00    0.00    0.00    0.00   95.94
04:36:49 PM  all    0.21    0.00    1.38    3.39    0.00    0.04    0.00    0.00    0.00   94.97
04:36:50 PM  all    0.17    0.00    0.46    3.34    0.00    0.00    0.00    0.00    0.00   96.03
04:36:51 PM  all    0.17    0.00    0.84    3.39    0.00    0.00    0.00    0.00    0.00   95.61
04:36:52 PM  all    0.17    0.00    0.25    3.35    0.00    0.00    0.00    0.00    0.00   96.23
04:36:53 PM  all    0.17    0.00    1.67    3.35    0.00    0.00    0.00    0.00    0.00   94.81
04:36:54 PM  all    0.25    0.00    0.38    3.43    0.00    0.00    0.00    0.00    0.00   95.94
04:36:55 PM  all    0.17    0.00    1.51    3.52    0.00    0.00    0.00    0.00    0.00   94.81
04:36:56 PM  all    0.13    0.00    0.50    3.47    0.00    0.00    0.00    0.00    0.00   95.90
04:36:57 PM  all    0.13    0.00    1.47    3.52    0.00    0.00    0.00    0.00    0.00   94.88
04:36:58 PM  all    0.08    0.00    0.59    3.47    0.00    0.00    0.00    0.00    0.00   95.86
04:36:59 PM  all    0.17    0.00    1.76    3.60    0.00    0.00    0.00    0.00    0.00   94.48
04:37:00 PM  all    0.13    0.00    0.46    3.51    0.00    0.00    0.00    0.00    0.00   95.90
04:37:01 PM  all    0.17    0.00    1.63    3.51    0.00    0.00    0.00    0.00    0.00   94.69
04:37:02 PM  all    0.08    0.00    0.42    3.52    0.00    0.00    0.00    0.00    0.00   95.98
04:37:03 PM  all    0.13    0.00    0.80    3.48    0.00    0.00    0.00    0.00    0.00   95.60
04:37:04 PM  all    0.17    0.00    0.46    3.56    0.00    0.00    0.00    0.00    0.00   95.81
04:37:05 PM  all    0.17    0.00    1.00    3.51    0.00    0.00    0.00    0.00    0.00   95.32
04:37:06 PM  all    0.17    0.00    0.29    3.51    0.00    0.00    0.00    0.00    0.00   96.03
04:37:07 PM  all    0.04    0.00    1.47    3.52    0.00    0.00    0.00    0.00    0.00   94.96
04:37:08 PM  all    0.25    0.00    0.42    3.47    0.00    0.00    0.00    0.00    0.00   95.86
04:37:09 PM  all    0.13    0.00    1.05    3.60    0.00    0.00    0.00    0.00    0.00   95.23
04:37:10 PM  all    0.17    0.00    1.59    3.51    0.00    0.00    0.00    0.00    0.00   94.73
04:37:11 PM  all    0.17    0.00    1.71    3.51    0.00    0.00    0.00    0.00    0.00   94.60
04:37:12 PM  all    0.08    0.00    1.63    3.52    0.00    0.00    0.00    0.00    0.00   94.77
04:37:13 PM  all    0.13    0.00    1.72    3.52    0.00    0.00    0.00    0.00    0.00   94.64
04:37:14 PM  all    0.17    0.00    1.59    3.60    0.00    0.00    0.00    0.00    0.00   94.64
04:37:15 PM  all    0.17    0.00    1.59    3.55    0.00    0.00    0.00    0.00    0.00   94.69
04:37:16 PM  all    0.13    0.00    1.67    3.51    0.00    0.00    0.00    0.00    0.00   94.69
04:37:17 PM  all    0.17    0.00    1.63    3.56    0.00    0.00    0.00    0.00    0.00   94.64
04:37:18 PM  all    0.13    0.00    1.55    3.52    0.00    0.00    0.00    0.00    0.00   94.81
04:37:19 PM  all    0.17    0.00    0.88    3.60    0.00    0.00    0.00    0.00    0.00   95.35
04:37:20 PM  all    0.21    0.00    1.05    4.89    0.00    0.00    0.00    0.00    0.00   93.85
04:37:21 PM  all    0.17    0.00    1.88    5.28    0.00    0.00    0.00    0.00    0.00   92.67
04:37:22 PM  all    0.17    0.00    1.00    3.47    0.00    0.00    0.00    0.00    0.00   95.36
04:37:23 PM  all    0.21    0.00    1.80    3.55    0.00    0.00    0.00    0.00    0.00   94.44
04:37:24 PM  all    0.17    0.00    1.51    3.61    0.00    0.00    0.00    0.00    0.00   94.72
04:37:25 PM  all    0.13    0.00    1.63    3.52    0.00    0.00    0.00    0.00    0.00   94.72
04:37:26 PM  all    0.21    0.00    0.84    3.52    0.00    0.00    0.00    0.00    0.00   95.43
04:37:27 PM  all    0.04    0.00    1.68    3.52    0.00    0.00    0.00    0.00    0.00   94.76
04:37:28 PM  all    0.17    0.00    1.51    3.52    0.00    0.00    0.00    0.00    0.00   94.80
04:37:29 PM  all    0.17    0.00    0.84    3.60    0.00    0.00    0.00    0.00    0.00   95.39
04:37:30 PM  all    0.17    0.00    1.55    3.52    0.00    0.00    0.00    0.00    0.00   94.77
04:37:31 PM  all    0.25    0.00    0.96    3.48    0.00    0.00    0.00    0.00    0.00   95.31
04:37:32 PM  all    0.17    0.00    0.88    3.48    0.00    0.00    0.00    0.00    0.00   95.48
04:37:33 PM  all    0.21    0.00    0.92    3.52    0.00    0.00    0.00    0.00    0.00   95.35
04:37:34 PM  all    0.21    0.00    0.84    3.56    0.00    0.00    0.00    0.00    0.00   95.39
04:37:35 PM  all    0.04    0.00    1.17    3.51    0.00    0.00    0.00    0.00    0.00   95.28
04:37:36 PM  all    0.25    0.00    1.59    3.51    0.00    0.00    0.00    0.00    0.00   94.64
