# dirty_pages redo_length page_writes xct_end updates
13451 0 0 1969 28650
61147 0 0 6026 140280
95134 0 0 7672 154055
117964 0 0 8549.5 157057
133118 0 0 8869.2 140681
144639 0 0 9050.5 141786
154501 0 0 9318.29 153235
162665 0 0 9504 152893
169608 0 0 9645.78 150927
176025 0 0 9759.7 152444
181910 0 0 9879.91 156284
187137 0 0 9885.83 138397
191879 0 0 9901.85 143263
196536 0 0 9960.79 150625
201350 0 0 10047.3 157125
205693 0 0 10090.9 148871
209519 0 0 10082.1 141290
213567 0 0 10140.3 158035
217367 0 0 10173 151645
220780 0 0 10180.9 145267
224184 0 0 10613.5 149802
227869 0 0 10690.2 162132
231316 0 0 10718 162791
234638 0 0 10737 162873
237542 0 0 10750.4 146678
240533 0 0 10819.6 160587
243707 0 0 10879.5 170695
246499 0 0 10898.8 158891
249104 1955 6144 10913.8 157810
251509 2023 14336 10948.9 162662
253989 2093 15360 10982.8 166503
256309 2158 15360 11040.5 155890
258668 2224 15360 11092 155989
260949 2291 15360 11119.1 160690
263280 2362 15360 11153 168111
265186 2427 15360 11117.9 141162
267376 2493 14336 11185.2 156685
269577 2562 15360 11207 164371
271781 2633 15360 11265 168079
273693 2698 15360 11296 155587
275660 2764 14336 11321.8 156668
277858 2835 15360 11337.1 168565
279833 2902 15360 11331.6 159371
281629 2970 14336 11269.2 146571
283530 3036 15360 11309 158159
285310 3102 15360 11296.1 156802
287228 3171 14336 11264.1 161980
289085 3236 15360 11254.8 155517
290901 3300 15360 11231.4 152253
292670 3366 14336 11213.2 155957
294553 3435 15360 11207.7 163330
296294 3506 15360 11189.6 152625
298251 3576 14336 11222.5 165582
300076 3643 15360 11231.6 160142
301912 3713 14336 11214 166137
303564 3775 15360 11232.6 146355
305424 3845 15360 11252.9 166103
307149 3912 14336 11238.5 157945
308966 3982 15360 11233.4 167023
310518 4050 15360 11190.9 143376
312303 4119 14336 11212.1 161467
313893 4183 15360 11160.5 152295
315676 4253 15360 11178.5 166566
317313 4318 14336 11207.5 154215
318897 4382 15360 11186.1 152374
320546 4451 15360 11211.2 162898
322246 4522 14336 11239.2 168182
323768 4596 15360 11243 157151
325342 4662 14336 11270.9 156809
326899 4727 15360 11268.9 153929
328544 4796 15360 11264.9 162623
330097 4863 14336 11283.5 157657
331657 4929 15360 11245.7 157069
333235 4996 15360 11238.5 157838
334856 5065 14336 11242.9 164215
336350 5137 15360 11266.5 151488
337924 5205 15360 11251 160176
339500 5274 14336 11265.5 163555
341143 5344 15360 11262.2 165386
342510 5406 14336 11279.8 146704
344059 5475 15360 11279.9 163567
345560 5542 15360 11303.5 158826
347147 5615 14336 11297.5 165769
348594 5686 15360 11302.9 156129
350112 5753 15360 11322 158236
351701 5826 14336 11360.4 172621
353264 5898 15360 11361.4 170079
354653 5963 15360 11352.9 153863
356220 6034 14336 11396.9 169272
357786 6104 15360 11436.1 166041
359304 6174 14336 11442.9 165273
360667 6248 15360 11432.8 155225
362107 6315 15360 11444.2 159178
363579 6385 14336 11471 166577
365052 6456 15360 11481.8 166520
366420 6521 15360 11486.5 153413
367865 6589 15360 11491.6 160788
369320 6660 14336 11504.7 167084
370851 6732 15360 11525 170920
372015 6797 14336 11483.5 134040
373426 6864 15360 11467.2 157779
