Linux 3.13.0-68-generic (ds-server2) 	04/10/2016 	_x86_64_	(24 CPU)

03:24:45 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:24:46 PM  all    1.09    0.00    3.05    1.34    0.00    0.00    0.00    0.00    0.00   94.53
03:24:47 PM  all    0.59    0.00    1.55    4.02    0.00    0.00    0.00    0.00    0.00   93.84
03:24:48 PM  all    0.50    0.00    1.42    8.14    0.00    0.00    0.00    0.00    0.00   89.95
03:24:49 PM  all    0.13    0.00    0.58    8.10    0.00    0.00    0.00    0.00    0.00   91.19
03:24:50 PM  all    0.13    0.00    1.34    8.15    0.00    0.00    0.00    0.00    0.00   90.39
03:24:51 PM  all    0.08    0.00    1.42    8.10    0.00    0.00    0.00    0.00    0.00   90.39
03:24:52 PM  all    0.17    0.00    1.42    8.22    0.00    0.00    0.00    0.00    0.00   90.20
03:24:53 PM  all    0.17    0.00    0.58    7.18    0.00    0.00    0.00    0.00    0.00   92.06
03:24:54 PM  all    0.08    0.00    1.34    3.97    0.00    0.00    0.00    0.00    0.00   94.61
03:24:55 PM  all    0.08    0.00    1.34    3.97    0.00    0.00    0.00    0.00    0.00   94.61
03:24:56 PM  all    0.08    0.00    1.38    3.97    0.00    0.00    0.00    0.00    0.00   94.57
03:24:57 PM  all    0.17    0.00    1.42    4.05    0.00    0.00    0.00    0.00    0.00   94.37
03:24:58 PM  all    0.13    0.00    0.63    4.01    0.00    0.00    0.00    0.00    0.00   95.24
03:24:59 PM  all    0.04    0.00    1.30    3.93    0.00    0.00    0.00    0.00    0.00   94.73
03:25:00 PM  all    0.08    0.00    1.34    3.97    0.00    0.00    0.00    0.00    0.00   94.61
03:25:01 PM  all    0.04    0.00    0.63    4.01    0.00    0.00    0.00    0.00    0.00   95.32
03:25:02 PM  all    0.13    0.00    0.63    3.93    0.00    0.00    0.00    0.00    0.00   95.32
03:25:03 PM  all    0.17    0.00    1.38    4.05    0.00    0.00    0.00    0.00    0.00   94.41
03:25:04 PM  all    0.04    0.00    0.63    3.97    0.00    0.00    0.00    0.00    0.00   95.37
03:25:05 PM  all    0.17    0.00    0.63    3.93    0.00    0.00    0.00    0.00    0.00   95.28
03:25:06 PM  all    0.25    0.00    1.88    4.52    0.00    0.04    0.00    0.00    0.00   93.31
03:25:07 PM  all    0.25    0.00    2.52    5.38    0.00    0.00    0.00    0.00    0.00   91.84
03:25:08 PM  all    0.50    0.00    2.48    5.21    0.00    0.00    0.00    0.00    0.00   91.80
03:25:09 PM  all    0.25    0.00    1.34    4.45    0.00    0.00    0.00    0.00    0.00   93.95
03:25:10 PM  all    0.42    0.00    1.84    3.51    0.00    0.00    0.00    0.00    0.00   94.23
03:25:11 PM  all    0.46    0.00    1.63    3.56    0.00    0.04    0.00    0.00    0.00   94.30
03:25:12 PM  all    0.59    0.00    1.63    3.51    0.00    0.00    0.00    0.00    0.00   94.27
03:25:13 PM  all    0.42    0.00    1.26    3.98    0.00    0.00    0.00    0.00    0.00   94.35
03:25:14 PM  all    0.34    0.00    2.69    5.16    0.00    0.00    0.00    0.00    0.00   91.82
03:25:15 PM  all    0.34    0.00    2.74    5.39    0.00    0.00    0.00    0.00    0.00   91.54
03:25:16 PM  all    0.29    0.00    2.27    6.69    0.00    0.00    0.00    0.00    0.00   90.75
03:25:17 PM  all    0.38    0.00    2.49    5.35    0.00    0.00    0.00    0.00    0.00   91.79
03:25:18 PM  all    0.13    0.00    2.77    5.46    0.00    0.04    0.00    0.00    0.00   91.60
03:25:19 PM  all    0.34    0.00    2.39    5.54    0.00    0.04    0.00    0.00    0.00   91.68
03:25:20 PM  all    0.21    0.00    2.60    5.50    0.00    0.00    0.00    0.00    0.00   91.69
03:25:21 PM  all    0.29    0.00    2.73    5.26    0.00    0.00    0.00    0.00    0.00   91.71
03:25:22 PM  all    0.46    0.00    2.61    5.21    0.00    0.00    0.00    0.00    0.00   91.72
03:25:23 PM  all    0.25    0.00    2.57    5.45    0.00    0.00    0.00    0.00    0.00   91.73
03:25:24 PM  all    0.38    0.00    1.94    5.05    0.00    0.00    0.00    0.00    0.00   92.63
03:25:25 PM  all    0.50    0.00    1.77    5.30    0.00    0.04    0.00    0.00    0.00   92.39
03:25:26 PM  all    0.38    0.00    2.14    5.33    0.00    0.00    0.00    0.00    0.00   92.15
03:25:27 PM  all    0.21    0.00    1.48    5.57    0.00    0.00    0.00    0.00    0.00   92.75
03:25:28 PM  all    0.25    0.00    2.65    5.42    0.00    0.00    0.00    0.00    0.00   91.68
03:25:29 PM  all    0.21    0.00    2.56    5.17    0.00    0.00    0.00    0.00    0.00   92.06
03:25:30 PM  all    0.21    0.00    1.97    4.23    0.00    0.00    0.00    0.00    0.00   93.59
03:25:31 PM  all    0.58    0.00    1.59    3.63    0.00    0.00    0.00    0.00    0.00   94.19
03:25:32 PM  all    0.46    0.00    0.88    3.60    0.00    0.00    0.00    0.00    0.00   95.07
03:25:33 PM  all    0.46    0.00    1.63    3.64    0.00    0.00    0.00    0.00    0.00   94.27
03:25:34 PM  all    0.59    0.00    1.85    4.11    0.00    0.00    0.00    0.00    0.00   93.45
03:25:35 PM  all    0.46    0.00    2.52    5.13    0.00    0.00    0.00    0.00    0.00   91.88
03:25:36 PM  all    0.34    0.00    2.01    5.20    0.00    0.00    0.00    0.00    0.00   92.45
03:25:37 PM  all    0.38    0.00    1.81    5.27    0.00    0.00    0.00    0.00    0.00   92.54
03:25:38 PM  all    0.29    0.00    2.77    5.42    0.00    0.00    0.00    0.00    0.00   91.51
03:25:39 PM  all    0.42    0.00    1.85    5.26    0.00    0.00    0.00    0.00    0.00   92.47
03:25:40 PM  all    0.29    0.00    2.06    5.25    0.00    0.00    0.00    0.00    0.00   92.39
03:25:41 PM  all    0.42    0.00    1.97    5.29    0.00    0.04    0.00    0.00    0.00   92.27
03:25:42 PM  all    0.21    0.00    2.57    5.13    0.00    0.00    0.00    0.00    0.00   92.09
03:25:43 PM  all    0.25    0.00    1.93    5.38    0.00    0.00    0.00    0.00    0.00   92.43
03:25:44 PM  all    0.42    0.00    2.52    5.30    0.00    0.00    0.00    0.00    0.00   91.76
03:25:45 PM  all    0.25    0.00    1.97    5.25    0.00    0.00    0.00    0.00    0.00   92.52
03:25:46 PM  all    0.38    0.00    2.82    5.25    0.00    0.00    0.00    0.00    0.00   91.55
03:25:47 PM  all    0.21    0.00    2.77    5.25    0.00    0.00    0.00    0.00    0.00   91.76
03:25:48 PM  all    0.38    0.00    2.22    5.20    0.00    0.00    0.00    0.00    0.00   92.20
03:25:49 PM  all    0.21    0.00    2.06    5.30    0.00    0.00    0.00    0.00    0.00   92.43
03:25:50 PM  all    0.38    0.00    2.44    5.39    0.00    0.00    0.00    0.00    0.00   91.79
03:25:51 PM  all    0.38    0.00    2.48    5.39    0.00    0.00    0.00    0.00    0.00   91.75
03:25:52 PM  all    0.34    0.00    2.81    5.29    0.00    0.00    0.00    0.00    0.00   91.56
03:25:53 PM  all    0.38    0.00    2.57    5.35    0.00    0.00    0.00    0.00    0.00   91.71
03:25:54 PM  all    0.46    0.00    2.18    5.07    0.00    0.00    0.00    0.00    0.00   92.29
03:25:55 PM  all    0.38    0.00    1.89    5.33    0.00    0.04    0.00    0.00    0.00   92.36
03:25:56 PM  all    0.34    0.00    2.69    5.30    0.00    0.00    0.00    0.00    0.00   91.67
03:25:57 PM  all    0.21    0.00    2.81    5.24    0.00    0.00    0.00    0.00    0.00   91.74
03:25:58 PM  all    0.25    0.00    2.65    5.18    0.00    0.00    0.00    0.00    0.00   91.91
03:25:59 PM  all    0.34    0.00    2.65    5.34    0.00    0.00    0.00    0.00    0.00   91.68
03:26:00 PM  all    0.34    0.00    2.53    5.22    0.00    0.00    0.00    0.00    0.00   91.91
03:26:01 PM  all    0.38    0.00    2.14    5.29    0.00    0.04    0.00    0.00    0.00   92.15
03:26:02 PM  all    0.21    0.00    2.86    5.38    0.00    0.04    0.00    0.00    0.00   91.51
03:26:03 PM  all    0.34    0.00    2.73    5.42    0.00    0.00    0.00    0.00    0.00   91.51
03:26:04 PM  all    0.29    0.00    1.81    5.27    0.00    0.00    0.00    0.00    0.00   92.63
03:26:05 PM  all    0.34    0.00    2.61    5.30    0.00    0.00    0.00    0.00    0.00   91.75
03:26:06 PM  all    0.38    0.00    2.56    5.38    0.00    0.04    0.00    0.00    0.00   91.64
03:26:07 PM  all    0.21    0.00    2.74    5.31    0.00    0.00    0.00    0.00    0.00   91.75
03:26:08 PM  all    0.38    0.00    2.69    5.34    0.00    0.00    0.00    0.00    0.00   91.59
03:26:09 PM  all    0.42    0.00    2.60    5.08    0.00    0.00    0.00    0.00    0.00   91.90
03:26:10 PM  all    0.21    0.00    1.94    5.18    0.00    0.00    0.00    0.00    0.00   92.67
03:26:11 PM  all    0.25    0.00    2.57    5.30    0.00    0.00    0.00    0.00    0.00   91.88
03:26:12 PM  all    0.25    0.00    1.64    4.70    0.00    0.00    0.00    0.00    0.00   93.41
03:26:13 PM  all    0.46    0.00    1.67    3.64    0.00    0.00    0.00    0.00    0.00   94.22
03:26:14 PM  all    0.50    0.00    1.51    3.56    0.00    0.00    0.00    0.00    0.00   94.43
03:26:15 PM  all    0.79    0.00    1.09    3.51    0.00    0.00    0.00    0.00    0.00   94.61
03:26:16 PM  all    0.38    0.00    1.76    3.60    0.00    0.00    0.00    0.00    0.00   94.26
03:26:17 PM  all    0.59    0.00    2.36    5.35    0.00    0.00    0.00    0.00    0.00   91.69
03:26:18 PM  all    0.25    0.00    2.28    5.44    0.00    0.00    0.00    0.00    0.00   92.03
03:26:19 PM  all    0.34    0.00    2.81    5.33    0.00    0.00    0.00    0.00    0.00   91.53
03:26:20 PM  all    0.25    0.00    2.57    5.34    0.00    0.00    0.00    0.00    0.00   91.84
03:26:21 PM  all    0.34    0.00    1.77    5.35    0.00    0.00    0.00    0.00    0.00   92.54
03:26:22 PM  all    0.34    0.00    2.57    5.30    0.00    0.00    0.00    0.00    0.00   91.80
03:26:23 PM  all    0.42    0.00    2.53    5.47    0.00    0.00    0.00    0.00    0.00   91.58
03:26:24 PM  all    0.29    0.00    2.81    5.20    0.00    0.04    0.00    0.00    0.00   91.65
03:26:25 PM  all    0.29    0.00    2.69    5.17    0.00    0.00    0.00    0.00    0.00   91.84
03:26:26 PM  all    0.42    0.00    2.81    5.37    0.00    0.00    0.00    0.00    0.00   91.40
03:26:27 PM  all    0.25    0.00    2.40    5.48    0.00    0.00    0.00    0.00    0.00   91.86
03:26:28 PM  all    0.42    0.00    2.73    5.37    0.00    0.04    0.00    0.00    0.00   91.44
03:26:29 PM  all    0.29    0.00    1.89    5.35    0.00    0.00    0.00    0.00    0.00   92.47
03:26:30 PM  all    0.34    0.00    2.52    5.34    0.00    0.00    0.00    0.00    0.00   91.80
03:26:31 PM  all    0.38    0.00    2.48    5.42    0.00    0.00    0.00    0.00    0.00   91.72
03:26:32 PM  all    0.21    0.00    2.73    5.25    0.00    0.00    0.00    0.00    0.00   91.81
03:26:33 PM  all    0.50    0.00    2.35    5.34    0.00    0.00    0.00    0.00    0.00   91.81
03:26:34 PM  all    0.21    0.00    2.81    5.38    0.00    0.00    0.00    0.00    0.00   91.60
03:26:35 PM  all    0.34    0.00    2.48    5.39    0.00    0.04    0.00    0.00    0.00   91.75
03:26:36 PM  all    0.46    0.00    2.61    5.30    0.00    0.04    0.00    0.00    0.00   91.59
03:26:37 PM  all    0.42    0.00    2.27    5.20    0.00    0.00    0.00    0.00    0.00   92.11
03:26:38 PM  all    0.29    0.00    2.36    5.31    0.00    0.00    0.00    0.00    0.00   92.04
03:26:39 PM  all    0.38    0.00    2.48    5.42    0.00    0.00    0.00    0.00    0.00   91.72
03:26:40 PM  all    0.21    0.00    2.73    5.30    0.00    0.00    0.00    0.00    0.00   91.76
03:26:41 PM  all    0.50    0.00    2.02    5.30    0.00    0.00    0.00    0.00    0.00   92.18
03:26:42 PM  all    0.38    0.00    1.85    5.31    0.00    0.00    0.00    0.00    0.00   92.46
03:26:43 PM  all    0.42    0.00    1.77    5.46    0.00    0.00    0.00    0.00    0.00   92.35
03:26:44 PM  all    0.21    0.00    2.52    5.42    0.00    0.00    0.00    0.00    0.00   91.84
03:26:45 PM  all    0.25    0.00    2.53    5.43    0.00    0.00    0.00    0.00    0.00   91.79
03:26:46 PM  all    0.42    0.00    2.53    5.30    0.00    0.00    0.00    0.00    0.00   91.75
03:26:47 PM  all    0.25    0.00    2.69    5.46    0.00    0.00    0.00    0.00    0.00   91.60
03:26:48 PM  all    0.34    0.00    1.89    5.35    0.00    0.00    0.00    0.00    0.00   92.42
03:26:49 PM  all    0.42    0.00    1.77    5.26    0.00    0.04    0.00    0.00    0.00   92.51
03:26:50 PM  all    0.17    0.00    2.31    5.58    0.00    0.00    0.00    0.00    0.00   91.94
03:26:51 PM  all    0.34    0.00    2.19    5.89    0.00    0.00    0.00    0.00    0.00   91.59
03:26:52 PM  all    0.38    0.00    1.64    5.80    0.00    0.04    0.00    0.00    0.00   92.14
03:26:53 PM  all    0.34    0.00    1.89    5.75    0.00    0.00    0.00    0.00    0.00   92.02
03:26:54 PM  all    0.25    0.00    2.31    5.42    0.00    0.00    0.00    0.00    0.00   92.02
03:26:55 PM  all    0.38    0.00    2.02    5.67    0.00    0.00    0.00    0.00    0.00   91.93
03:26:56 PM  all    0.25    0.00    2.39    5.42    0.00    0.00    0.00    0.00    0.00   91.93
03:26:57 PM  all    0.34    0.00    2.85    5.20    0.00    0.00    0.00    0.00    0.00   91.61
03:26:58 PM  all    0.46    0.00    2.73    5.42    0.00    0.00    0.00    0.00    0.00   91.39
03:26:59 PM  all    0.21    0.00    2.56    5.49    0.00    0.08    0.00    0.00    0.00   91.65
03:27:00 PM  all    0.34    0.00    2.52    5.50    0.00    0.00    0.00    0.00    0.00   91.65
03:27:01 PM  all    0.38    0.00    2.60    5.50    0.00    0.00    0.00    0.00    0.00   91.52
03:27:02 PM  all    0.38    0.00    2.10    5.62    0.00    0.00    0.00    0.00    0.00   91.90
03:27:03 PM  all    0.13    0.00    2.10    5.91    0.00    0.04    0.00    0.00    0.00   91.82
03:27:04 PM  all    0.34    0.00    2.48    5.79    0.00    0.00    0.00    0.00    0.00   91.39
03:27:05 PM  all    0.42    0.00    1.97    5.71    0.00    0.04    0.00    0.00    0.00   91.86
03:27:06 PM  all    0.34    0.00    1.97    5.46    0.00    0.00    0.00    0.00    0.00   92.23
03:27:07 PM  all    0.29    0.00    1.85    5.63    0.00    0.00    0.00    0.00    0.00   92.23
03:27:08 PM  all    0.29    0.00    1.56    5.64    0.00    0.00    0.00    0.00    0.00   92.51
03:27:09 PM  all    0.25    0.00    2.47    5.44    0.00    0.00    0.00    0.00    0.00   91.84
03:27:10 PM  all    0.29    0.00    2.06    5.60    0.00    0.00    0.00    0.00    0.00   92.05
03:27:11 PM  all    0.34    0.00    2.14    5.66    0.00    0.00    0.00    0.00    0.00   91.86
03:27:12 PM  all    0.25    0.00    2.81    5.36    0.00    0.04    0.00    0.00    0.00   91.53
03:27:13 PM  all    0.29    0.00    2.73    5.29    0.00    0.04    0.00    0.00    0.00   91.64
03:27:14 PM  all    0.34    0.00    2.77    5.24    0.00    0.00    0.00    0.00    0.00   91.66
03:27:15 PM  all    0.38    0.00    2.32    5.43    0.00    0.00    0.00    0.00    0.00   91.87
03:27:16 PM  all    0.34    0.00    2.53    5.30    0.00    0.00    0.00    0.00    0.00   91.84
03:27:17 PM  all    0.29    0.00    2.60    5.37    0.00    0.00    0.00    0.00    0.00   91.73
03:27:18 PM  all    0.21    0.00    2.40    5.44    0.00    0.00    0.00    0.00    0.00   91.95
03:27:19 PM  all    0.42    0.00    2.56    5.33    0.00    0.00    0.00    0.00    0.00   91.69
03:27:20 PM  all    0.17    0.00    2.18    5.42    0.00    0.04    0.00    0.00    0.00   92.18
03:27:21 PM  all    0.25    0.00    2.69    5.22    0.00    0.00    0.00    0.00    0.00   91.83
03:27:22 PM  all    0.25    0.00    2.70    5.31    0.00    0.00    0.00    0.00    0.00   91.74
03:27:23 PM  all    0.29    0.00    2.69    5.42    0.00    0.00    0.00    0.00    0.00   91.60
03:27:24 PM  all    0.29    0.00    2.32    5.26    0.00    0.00    0.00    0.00    0.00   92.13
03:27:25 PM  all    0.38    0.00    2.36    5.18    0.00    0.00    0.00    0.00    0.00   92.08
03:27:26 PM  all    0.17    0.00    1.98    5.35    0.00    0.00    0.00    0.00    0.00   92.51
03:27:27 PM  all    0.29    0.00    2.77    5.34    0.00    0.00    0.00    0.00    0.00   91.60
03:27:28 PM  all    0.25    0.00    2.53    5.35    0.00    0.00    0.00    0.00    0.00   91.86
03:27:29 PM  all    0.34    0.00    2.73    5.37    0.00    0.00    0.00    0.00    0.00   91.56
03:27:30 PM  all    0.25    0.00    1.93    4.33    0.00    0.00    0.00    0.00    0.00   93.49
03:27:31 PM  all    0.50    0.00    1.47    3.56    0.00    0.00    0.00    0.00    0.00   94.47
03:27:32 PM  all    0.46    0.00    0.80    3.56    0.00    0.00    0.00    0.00    0.00   95.18
03:27:33 PM  all    0.63    0.00    1.05    3.47    0.00    0.04    0.00    0.00    0.00   94.81
03:27:34 PM  all    0.42    0.00    1.97    4.07    0.00    0.00    0.00    0.00    0.00   93.54
03:27:35 PM  all    0.29    0.00    2.73    5.34    0.00    0.00    0.00    0.00    0.00   91.64
03:27:36 PM  all    0.29    0.00    2.48    5.30    0.00    0.00    0.00    0.00    0.00   91.92
03:27:37 PM  all    0.34    0.00    2.06    5.30    0.00    0.00    0.00    0.00    0.00   92.30
03:27:38 PM  all    0.38    0.00    2.27    5.38    0.00    0.00    0.00    0.00    0.00   91.96
03:27:39 PM  all    0.38    0.00    2.68    5.33    0.00    0.00    0.00    0.00    0.00   91.61
03:27:40 PM  all    0.29    0.00    1.52    5.44    0.00    0.00    0.00    0.00    0.00   92.75
03:27:41 PM  all    0.29    0.00    2.44    5.51    0.00    0.00    0.00    0.00    0.00   91.76
