# dirty_pages redo_length page_writes xct_end updates
43525 92 1265 7796 110541
83380 156 736 9366 151543
111120 226 758 10166.3 166831
129687 295 770 10473.5 161166
143113 362 760 10655.4 159360
154001 432 811 10850.3 166178
162914 501 794 10974.6 164723
170415 572 824 11083.6 168891
177522 644 766 11199.3 171486
183925 715 815 11283.8 167211
189569 786 747 11287.8 160692
194910 857 782 11332.2 167365
199350 920 676 11262.3 148261
204179 989 728 11289.9 163814
209050 2085 733 11355.7 171579
213436 2156 695 11381.6 167743
217263 2220 665 11344.5 152309
220939 2287 709 11339.4 157376
224337 2356 733 11310.2 152053
227922 2423 697 11310.8 158655
231121 2484 689 11437.6 145088
234487 2553 744 11475 165400
237588 2619 749 11443 155787
240522 2683 701 11411.1 153590
243583 2752 766 11426.2 164523
246444 2819 745 11402.9 157936
248133 2867 1252 11177.9 100891
250786 2930 655 11119.5 151980
253164 2991 679 11028.2 144956
255770 3055 702 10972.3 152657
258469 3126 779 11006.5 167177
260786 3187 840 10940.5 146877
261607 3215 2056 10654.6 65381
264086 3283 713 10643.8 161122
266098 3348 661 10528.4 142555
268260 3412 721 10482.4 152289
270194 3470 637 10419.4 136191
272151 3529 695 10362.6 141613
274054 3589 675 10329.3 141586
276076 3653 630 10299.1 152585
278059 3715 648 10313.6 148992
280012 3785 629 10269.4 150829
281935 3850 749 10254.4 154439
283788 3911 646 10229.5 145367
285512 3971 631 10144.2 141823
287285 4032 664 10092.7 145156
289152 4096 708 10264.8 150609
290938 4157 660 10251.5 145856
292675 4219 652 10251.9 145533
294377 4285 673 10206.1 142671
296130 4350 709 10149.3 153177
297908 4414 721 10174.3 152953
299580 4476 640 10457.5 146100
301173 4535 618 10380.1 139075
302811 4596 644 10394.5 144226
304452 4657 660 10371.7 143857
306163 4722 686 10443.5 153582
307718 4790 666 10455.8 144514
309447 4855 717 10496.2 154386
311145 4918 676 10493.8 149519
312789 4983 767 10503 151765
314410 5046 710 10503.3 151048
316158 5117 700 10552 166435
317800 5183 697 10591.9 155558
319334 5246 645 10621.7 149041
320785 5312 632 10604.6 140272
322347 5377 641 10613.9 153281
323881 5441 693 10635.9 152612
325257 5500 685 10610.7 139596
326699 5561 665 10629.2 143718
328141 5622 660 10595.4 143356
329706 5688 685 10596.9 156109
331090 5754 673 10565.8 138000
332512 5816 687 10599 147109
333942 5877 685 10606.8 145536
335419 5941 676 10614.2 149770
336915 6004 663 10602.7 150232
338375 6067 662 10617.1 149375
339878 6134 618 10634.1 157562
341188 6193 658 10590.9 139556
342191 6247 832 10441.9 108722
343708 6312 668 10438.8 152622
345128 6375 672 10374.8 149206
346593 6439 698 10357.3 151954
347910 6499 639 10330.2 142196
349306 6561 700 10341.7 146957
350687 6627 687 10343.1 155015
352060 6692 641 10331 148077
353327 6756 654 10335.1 139863
354734 6820 663 10352.1 150898
356160 6883 657 10374.3 149872
357581 6950 668 10384.4 158212
358928 7013 646 10420.8 148568
360239 7073 638 10396.6 142459
361645 7142 743 10461.2 162232
363104 7219 723 10509 162897
364548 7287 739 10544.6 162555
366083 7360 760 10614.6 171134
367492 7428 723 10627.8 161856
368921 7497 767 10707.7 163019
370287 7563 755 10864 155622
371610 7629 811 10888.8 157808
373120 7700 686 10963.9 167928
374517 7775 724 10990 157565
375908 7842 711 11056.9 156242
377231 7907 659 11087.6 153558
378546 7972 733 11090.4 153727
379979 8041 760 11136.6 163796
381372 8112 762 11227.2 168174
382786 8180 734 11262.9 160813
384172 8249 757 11310.9 163121
385415 8320 717 11275.4 147933
386830 8390 744 11335.4 165395
388207 8457 730 11398.9 158159
389443 8520 686 11342 147801
390786 8587 704 11336 159346
392146 8655 705 11337.5 161100
393523 8725 755 11329.6 166931
394988 8798 797 11354.8 171422
396416 8877 735 11379.4 165720
397711 8943 687 11396.2 158227
399065 9012 761 11408.3 163009
400424 9081 740 11385.1 163815
401790 9149 744 11389 161276
403177 9219 761 11402.9 165283
404493 9286 726 11417.4 159062
405904 9358 797 11474.5 169774
407173 9431 678 11428.4 150501
408611 9502 722 11440.5 168514
410015 9572 730 11454.9 165173
411357 9640 732 11440.6 160126
412677 9707 748 11482.9 158972
414035 9776 776 11474 163464
415429 9845 714 11482.9 162270
416813 9916 837 11548.5 167509
418115 9992 721 11542.3 158719
419457 10058 713 11518.9 155806
420885 10130 777 11518 169082
422346 10204 752 11536.3 174969
423705 10270 673 11489.5 157316
425064 10336 710 11478 155720
426425 10405 719 11480.4 164132
427646 10469 1024 11435.5 150090
428922 10542 653 11400 150128
430340 10612 767 11396.5 166543
431740 10680 720 11404 159272
433172 10751 835 11398.5 169550
434470 10816 722 11406.1 151015
435791 10882 751 11361.8 155468
437206 10953 770 11377.8 168884
438676 11026 758 11415.4 172113
439986 11093 693 11413.8 159433
441203 11167 664 11378.9 150958
442585 11235 729 11366.4 161332
443983 11307 821 11376 169554
445295 11372 760 11363 154404
446503 11435 710 11343.1 149054
447752 11501 782 11301.4 155340
449183 11574 801 11297.6 173514
450568 11646 829 11349.1 169447
451913 11714 721 11362.6 159621
453168 11791 702 11343.4 158009
454412 11857 720 11363.5 156297
455776 11926 717 11414.5 164207
457039 11992 686 11381 156467
458306 12059 719 11377.5 156986
459602 12127 717 11350.9 160107
460905 12195 778 11384.1 160817
462225 12262 772 11395.3 158493
463587 12332 756 11373.4 165127
464774 12404 624 11287.6 146185
466014 12470 703 11270.5 155736
467068 12527 585 11207.3 133338
468390 12595 700 11216.6 162401
469711 12665 719 11193.5 164056
471013 12732 693 11204.5 160013
472138 12792 583 11173.5 140060
473352 12856 740 11161.4 150963
474493 12926 656 11048.6 141524
475791 12995 744 11022.5 162465
476990 13058 719 10992.4 149816
478201 13122 725 10968.1 149595
479391 13184 681 10936.1 146597
480665 13250 718 10901 155702
481938 13315 737 10903.6 155467
483213 13384 788 10921.1 162698
484416 13459 687 10881.8 149151
485643 13522 643 10840.9 150288
486747 13581 617 10762.9 138511
487931 13642 660 10695.2 144624
489193 13708 775 10729.1 156369
490474 13776 702 10738.1 159303
491681 13838 652 10785.7 147426
492889 13901 674 10740.6 149501
493959 13967 674 10614.7 128947
495169 14030 728 10586.4 148891
496446 14095 740 10627.2 152245
497699 14161 757 10643.7 156467
498882 14224 692 10667 149042
500133 14290 694 10648.1 154190
501380 14353 602 10640.8 150605
502719 14422 729 10691.8 163113
503975 14498 697 10703.4 151395
505230 14562 740 10697.9 151786
506380 14623 677 10652.6 142563
507605 14686 703 10611.9 148660
508870 14751 740 10623.6 153462
510118 14816 732 10636 153613
511296 14877 638 10656.7 143843
512486 14938 690 10656.7 144934
513584 15007 617 10593.1 135026
514825 15071 723 10574.3 150587
516107 15136 710 10591.5 152391
517239 15195 620 10568 140196
518471 15258 674 10649.8 149157
519739 15323 704 10662.3 152852
521061 15391 768 10692.1 162028
522397 15460 770 10716.9 161429
523693 15527 711 10754.7 159025
524834 15598 647 10694 138720
526011 15658 668 10670 140969
527232 15720 648 10604.2 147177
528462 15785 678 10611.6 151580
529715 15849 619 10609.6 151561
530992 15914 675 10646.2 153547
532295 15981 633 10672.5 156309
533494 16042 600 10650.4 144372
534590 16111 572 10590.1 134400
535723 16171 606 10585.1 140728
536912 16233 637 10593.1 145163
538128 16295 599 10621.7 147937
539320 16356 593 10593.8 144750
540584 16420 549 10588.2 150537
541796 16483 537 10611.4 148942
543095 16550 580 10636.5 157962
544288 16625 421 10608.2 147411
545609 16692 0 10603.4 157753
546898 16762 57 10595.7 163554
547567 16824 565 10552.2 148550
548404 16894 654 10642.3 164693
549246 16962 622 10699.2 159820
550059 17026 625 10713.1 153167
550928 17092 623 10720 153987
551540 17154 503 10600 118141
552336 17216 597 10581.7 146786
553212 17278 596 10536.5 146493
554106 17343 648 10564.5 152730
554991 17408 673 10630.4 153507
555860 17472 644 10662.4 149665
556881 17539 632 10708.3 158381
557705 17611 607 10692.3 141348
558716 17674 581 10714.3 148837
559666 17736 576 10696.1 146541
560547 17796 597 10673.3 142045
561521 17860 608 10643.2 150634
562581 17926 625 10685.5 156357
563577 17992 639 10662 153937
564601 18055 604 10616 149402
565528 18126 566 10585 138289
566512 18190 634 10526.7 149807
567501 18256 673 10522.3 157528
568488 18319 642 10511.2 146563
569575 18385 642 10520.7 157999
570564 18448 631 10627.5 148058
571570 18511 622 10622.6 147581
572547 18574 687 10633.1 149805
573504 18649 696 10612.9 147559
574502 18712 729 10592.5 147245
575531 18776 666 10591.6 151013
576531 18838 659 10549.2 146901
577551 18899 650 10562.8 144142
578664 18965 682 10580.7 155379
579565 19025 715 10564.7 140775
580623 19087 652 10576.5 146735
581846 19158 712 10646.4 169728
582960 19232 552 10590.6 143505
584073 19295 608 10586.6 149402
585172 19359 606 10592.6 149603
586243 19421 609 10619.5 146149
587308 19485 656 10638.1 153051
588422 19551 680 10631.6 154275
589565 19618 717 10679.1 159901
590521 19690 642 10609.4 138069
591642 19760 754 10674.4 164793
592661 19824 704 10692.9 151484
593821 19891 732 10725.2 158318
595030 19959 732 10769.8 162195
596186 20027 728 10807.4 161204
597400 20098 768 10875.1 167205
598730 20169 649 10944.9 167372
600059 20247 659 11031.4 168598
601193 20317 627 11005.2 148474
602330 20380 612 11033.5 149991
603545 20451 743 11105.4 167167
604824 20522 734 11102.6 168582
606064 20594 723 11198.2 169266
607296 20664 677 11244.5 164905
608514 20735 752 11301.1 166809
609735 20806 769 11380 168201
610928 20885 627 11385.6 153725
612151 20955 704 11419.7 166064
613371 21023 657 11422.8 161490
614649 21094 724 11527.4 168034
615803 21159 635 11480.8 154228
616983 21227 672 11510.9 159521
618247 21296 664 11524.6 163759
619410 21364 697 11520.1 160388
620533 21440 624 11480.8 147882
621687 21507 721 11443.9 158475
622745 21571 734 11388.5 150349
623864 21637 735 11344.7 156646
625092 21705 681 11392.3 159980
626398 21777 689 11463.4 169419
627576 21844 633 11436.3 158757
628887 21920 747 11475 180329
630120 22003 650 11439.5 162024
631280 22068 623 11391.2 152775
632443 22135 665 11360.4 158036
633575 22200 686 11310.2 155364
634789 22270 701 11348 165073
635939 22339 722 11338.2 162410
637174 22409 732 11365 167225
638382 22480 781 11368.2 167561
639552 22546 679 11367.9 155389
640724 22626 641 11347.6 153512
641937 22692 611 11314.3 156205
643193 22763 722 11339 169483
644374 22828 640 11353.1 153590
645358 22884 580 11260 131651
646542 22952 699 11293.2 161452
647825 23023 725 11328.2 166995
649101 23094 724 11349 169510
650203 23170 599 11252.8 142609
651368 23240 752 11286.1 166004
652644 23311 703 11253.5 169014
653888 23382 737 11285.5 168192
655162 23449 634 11320 158709
656367 23516 650 11322 157200
657489 23585 808 11353.6 164033
658642 23654 766 11344.6 162857
659751 23729 787 11351.1 163424
660749 23800 696 11267 146649
661918 23869 750 11246 161651
663059 23938 759 11277.9 162907
664120 24002 757 11275.2 152133
665177 24068 777 11282 154848
666377 24135 714 11255.5 158976
667660 24205 678 11296.5 164974
669055 24277 641 11426.5 171999
670249 24357 608 11391.7 153317
671524 24431 725 11413.6 173704
672848 24502 710 11417.4 167841
674068 24568 646 11469.3 156130
675150 24627 606 11370.5 139549
676251 24686 599 11258.9 139650
677505 24754 673 11236.5 162796
678706 24817 604 11197.2 147101
679688 24888 578 11094.9 130794
680803 24949 661 11037.3 145239
681928 25012 624 10983.3 150127
682994 25072 620 10904.8 142176
684129 25137 660 10928.6 152407
685283 25201 652 10894.1 152295
686407 25264 640 10845.4 147679
687358 25317 499 10745.2 126207
688592 25382 616 10746.2 153723
689602 25452 536 10640.9 128923
690743 25516 663 10597.6 151731
691836 25577 609 10503.4 143279
693008 25641 625 10504.1 151919
694121 25703 640 10406 146920
695424 25770 625 10368 158518
696621 25835 620 10347.7 153305
697133 25885 921 10271.2 117313
697766 25951 841 10195.5 117899
698769 26009 711 10114.1 137796
699429 26061 833 10019.2 121856
700065 26116 993 10030.6 131192
701081 26177 725 10019 143764
701707 26237 1108 9997 142589
703069 26304 633 10050.5 158595
703514 26365 1004 9891 105474
704337 26416 705 9775.7 120913
704987 26472 1089 9727.25 133032
706269 26532 600 9786.05 141986
707621 26598 623 9794 155438
708502 26650 693 9770.9 124013
709749 26711 537 9727.9 142189
710924 26768 554 9706.85 136919
712108 26846 602 9688.25 145822
713478 26914 646 9734.5 159508
714741 26978 636 9716.75 150583
715625 27032 686 9634.95 127626
716863 27094 630 9735.5 147318
717341 27146 1077 9747.7 121985
718670 27208 623 9778.95 148071
719153 27257 1004 9759.7 115433
720330 27331 569 9764.75 134419
721688 27395 606 9797.6 152236
722928 27457 625 9815.7 146104
724273 27521 588 9796.4 152055
725530 27584 599 9949.15 148591
726879 27652 648 10093.3 161478
728123 27713 577 10116.4 142068
728740 27764 926 10048 122203
729794 27836 581 9944.5 129742
730652 27890 798 9955.55 127986
731977 27951 585 9971.95 144432
733225 28011 546 9975.4 140803
734159 28067 770 9923.8 132797
735681 28141 703 9979.45 174187
736567 28193 739 9879.8 124107
737980 28263 646 10006.4 164232
738477 28326 826 9873 109727
739775 28390 595 9979.65 150767
740463 28434 609 9830.55 105951
741570 28495 636 9926.55 143661
742752 28559 651 9980 150616
743891 28620 607 9960 145180
744369 28674 1067 9897.1 127931
744937 28724 873 9779.3 117880
746006 28798 577 9723.9 134872
746744 28841 512 9512.85 100867
747910 28900 618 9507.05 139737
749084 28963 654 9601.75 149276
749997 29013 543 9569.55 118463
751229 29079 689 9673.2 156200
751778 29126 817 9552.65 110086
753230 29197 681 9663.3 169831
754395 29273 558 9694.5 138342
754116 29316 1483 9433.95 102261
755098 29373 712 9463 133659
755558 29413 763 9216.25 95913
756855 29476 606 9353.1 146703
757896 29531 654 9280.9 131804
759178 29595 629 9438.95 150997
760077 29655 898 9431 141186
760282 29717 1183 9265.7 103712
761297 29773 689 9212.95 132234
762435 29833 681 9263.35 143099
763665 29898 705 9384.35 152596
764343 29951 959 9341.6 124783
765705 30015 621 9528.5 152860
767047 30080 597 9569.45 152502
768388 30150 581 9567 148798
768616 30201 1010 9492.45 96518
769499 30254 743 9383.75 124837
770596 30312 636 9473.7 136868
771988 30378 683 9437.7 157732
772979 30430 561 9371.85 123400
774172 30492 626 9530.3 144796
775479 30552 582 9560.65 143084
776254 30611 470 9569.5 95888
777497 30676 698 9592 153092
778668 30736 610 9630.35 142240
779804 30797 649 9603.6 144086
781026 30860 633 9629.55 149608
782328 30923 607 9797.05 148544
783644 30989 682 9887.65 157244
784975 31055 652 9931.65 154766
785933 31106 590 9824.8 121744
787035 31180 561 9866.45 133339
787963 31231 531 9737.9 118422
789064 31289 609 9698.6 139246
789949 31342 702 9616.6 124426
791207 31407 659 9818.55 153423
792311 31467 654 9876.6 142055
793488 31530 675 9926 149356
794608 31591 642 9876.85 143674
795446 31656 537 9832.15 109004
796567 31714 587 9808.35 137794
797560 31766 555 9749.15 124717
798515 31822 646 9867.4 129953
799638 31885 742 9853.2 150264
800736 31946 639 9855 144882
801852 32008 721 9867.95 145871
803004 32071 691 9863.75 148517
804079 32147 594 9812.55 135938
805318 32210 687 9789.35 150218
806497 32274 688 9769.5 149545
807683 32336 655 9862.05 147976
808735 32395 669 9882.7 139039
809663 32449 653 9917.45 127709
810470 32494 539 9800.7 106483
811748 32562 685 9921.8 159823
813053 32628 704 9928.75 157005
814049 32699 521 9863.45 122981
814965 32751 628 9770.4 123463
816151 32814 679 9787.3 150612
817178 32867 528 9842.1 123304
818334 32927 646 9861.75 143292
819320 32977 533 9835.7 117577
820475 33042 702 9912.4 151402
821709 33108 709 9941.65 156324
822840 33184 572 9916.8 136644
824127 33248 651 9929.1 149799
825200 33313 816 9958.6 153188
826361 33377 766 10020.6 153115
827536 33439 642 9997.8 144792
828609 33499 718 9970.05 141960
829547 33555 701 9916.05 132088
831278 33622 270 9986.6 158903
832573 33685 611 10060.8 148643
833661 33758 540 10127.5 126677
835034 33823 625 10107.6 154200
835959 33872 599 9965.45 115384
837259 33934 610 10048.4 148008
838328 33988 592 10063.8 126832
839544 34044 526 9995.15 131885
840928 34108 593 10090.7 151919
842336 34173 595 10123.5 153495
843511 34247 510 10159.8 130093
844055 34282 536 9915.2 81449
845431 34347 651 9900.3 154647
846444 34399 563 9859.95 122639
847490 34449 511 9748.05 117518
848768 34511 626 9722.75 148546
850156 34579 653 9751.05 160409
851125 34629 565 9652.85 116762
851919 34694 550 9525.95 107912
853230 34754 601 9556.8 142383
854282 34809 635 9447.55 130016
855702 34876 671 9486.3 158598
856987 34941 683 9589.65 155044
858067 34998 634 9519.6 133440
858762 35050 867 9544.45 122832
859495 35097 714 9416.7 111189
860575 35154 709 9447.05 135110
861430 35224 691 9401.45 117051
862819 35295 808 9460.95 169180
863601 35346 788 9336.3 119964
864952 35413 724 9443.85 158897
866367 35485 780 9744.65 168331
867385 35536 554 9628.8 121224
868494 35592 593 9659.75 132740
869640 35651 645 9732.9 138365
870697 35709 738 9694.7 138900
871405 35776 685 9510.75 109881
872752 35839 587 9626.85 150870
874155 35906 648 9805.35 157751
875413 35970 722 9836.85 150589
876615 36028 601 9862.65 137511
877324 36082 930 9758.4 127798
878153 36144 1079 9718.4 146539
879528 36211 727 9803.85 158210
880823 36292 673 9881.4 144455
882129 36360 763 10050.5 161145
883408 36425 717 10103.2 153108
884720 36493 737 10250.8 159909
885473 36559 1259 10205 156330
886355 36610 753 10204.8 120143
887169 36664 935 10099.4 128136
888019 36722 1047 9993.4 138190
889295 36790 831 10122.5 159706
890428 36864 551 10102.1 126395
891570 36920 632 10083.5 132538
893078 36989 694 10164.9 162891
894374 37054 733 10318.8 154175
895320 37109 762 10247.3 129620
896063 37168 1112 10189.8 139916
897451 37231 666 10191.4 149845
897848 37280 1163 10111.1 114695
899190 37360 587 10157.5 142377
900672 37426 617 10197.4 154158
901930 37484 583 10136.4 138996
902854 37542 916 10102.6 135903
904149 37604 617 10060.5 147537
904926 37652 718 9935.9 114227
906254 37717 669 9912.15 154117
907424 37773 578 9826.55 132498
908029 37826 1073 9845.75 124998
909015 37899 603 9821.65 121554
910367 37962 599 9866.25 149234
911698 38025 629 9836.8 150204
912973 38088 632 9916.35 148740
914264 38151 605 9966 148392
915435 38205 493 9852.75 129107
916682 38270 648 9852.25 152557
918008 38333 595 9921.35 149983
919173 38410 502 9889.25 130839
920318 38469 566 9845.8 138288
921584 38531 610 9966.2 146844
922769 38589 578 9954.5 136866
924058 38654 662 9954.5 154077
925090 38709 607 9912.85 128886
925908 38765 848 9905.8 132994
926804 38820 764 9840.8 128637
927538 38890 735 9838.05 115579
928656 38951 708 9810.9 145248
929793 39013 739 9864 146458
931080 39077 618 9956.05 150486
932342 39140 609 10052.5 148697
933624 39203 589 10052.1 148875
934124 39253 1094 9946.45 119998
934884 39305 833 9844 121484
935226 39349 1067 9692.05 105926
936403 39428 597 9713.05 135331
937523 39483 556 9630.4 128987
938358 39529 591 9488.8 109412
938997 39581 937 9464 124351
940240 39646 708 9512.15 153899
941494 39712 724 9533.15 155626
