# dirty_pages redo_length page_writes xct_end updates
10178 56 2098 1420 21026
61085 118 729 5994 148203
94265 181 734 7549 150144
116980 246 829 8410 154837
132638 309 776 8844.6 150080
144557 370 729 9113.83 147204
154281 435 785 9387.86 154475
162294 502 768 9553 151534
169025 563 720 9657 146239
175160 623 654 9705 140110
180703 684 776 9769.09 145848
186003 748 807 9833 151193
190746 808 683 9852.54 141794
195729 874 738 9943.29 157026
200245 941 660 9989.87 149424
204594 1005 797 10033.6 149600
208597 2091 652 10052.2 148094
212351 2154 675 10073.8 149158
215800 2214 649 10076.2 142305
219604 2282 772 10145 159375
223015 2345 721 10614.1 150919
226198 2411 709 10604.1 144160
229424 2475 692 10610.6 151962
232268 2536 690 10572.3 144713
235123 2596 704 10557.7 143871
238046 2659 688 10569.5 149801
240884 2723 654 10559.1 152057
243874 2791 661 10596.8 161034
246446 2854 662 10603.9 150104
248931 2921 607 10614 146716
251324 2984 682 10624.5 150384
253707 3045 670 10613.9 145202
255986 3104 670 10608.1 140267
258463 3168 707 10593.2 151776
260947 3236 736 10636 161674
263318 3303 724 10666.1 158067
265340 3369 611 10658.3 142357
267313 3430 677 10655.1 147427
269183 3490 692 10652.2 140842
271008 3549 687 10584.8 141223
272931 3613 666 10579.9 151208
274924 3675 610 10597.1 149369
276624 3740 644 10596.2 152608
278240 3803 715 10626.5 151770
279702 3867 708 10602.4 136932
281775 3930 176 10600.1 149148
283746 3992 464 10579.6 145785
285695 4056 647 10548 153305
287546 4119 646 10547.5 148867
289472 4184 665 10578.8 152711
291455 4250 680 10605.9 157060
293377 4316 675 10649.3 156648
295021 4381 593 10648.1 138843
296688 4441 593 10606 141664
298413 4502 596 10546.1 144741
300175 4566 603 10523 151270
301902 4628 582 10534.5 147795
303472 4687 596 10507 138090
305162 4750 631 10538.5 150264
306868 4816 644 10584.2 155967
308498 4884 604 10559.9 144536
310270 4949 663 10564.9 152881
311990 5011 603 10542.1 146022
313624 5072 634 10520.6 146050
315357 5137 660 10574.9 153093
317052 5202 694 10587 153282
318697 5265 651 10596.6 147586
320248 5333 629 10567.5 144626
321744 5394 603 10544.3 144195
323156 5453 568 10487.5 140856
324669 5515 676 10447.3 147038
326162 5578 657 10408.6 148386
327647 5638 614 10415.1 142439
329062 5701 611 10438 148156
330457 5763 616 10449.8 147954
331710 5829 593 10396.8 137666
333063 5890 623 10388.9 144877
334414 5953 654 10433.7 149670
335762 6020 682 10446 156501
337044 6080 637 10404.5 143133
338361 6141 605 10398.5 142411
339692 6203 628 10381.9 148015
341124 6267 644 10399.1 151325
342541 6336 623 10383 142956
343953 6398 661 10362 147135
345527 6467 733 10398.2 162551
347122 6532 662 10410.2 155384
348671 6598 672 10446.1 156237
350206 6665 689 10489.9 156696
351717 6729 686 10539.9 151166
353144 6790 656 10540.4 145461
354604 6862 644 10552.6 150528
356025 6926 676 10584.9 153042
357444 6991 636 10602.8 152675
358780 7051 616 10581 143334
360287 7120 699 10666.6 162159
361616 7187 653 10701.8 158120
362993 7254 709 10734.7 159733
364284 7332 739 10776.6 166100
365600 7398 683 10823.6 155638
366804 7462 680 10853.3 151527
368000 7525 673 10858.3 149035
369354 7594 743 10903.1 163175
370794 7667 769 11007.1 172156
372259 7737 748 11072.5 164760
373686 7806 705 11077.5 164595
375092 7881 642 11083.9 156504
376600 7951 733 11116.4 165118
378019 8015 642 11103.2 151245
379530 8084 714 11137.8 163328
381050 8152 748 11190.4 163090
382493 8219 714 11210 158025
383885 8283 660 11210 152310
385352 8353 746 11257.9 165837
386537 8419 608 11235.8 136044
