Linux 3.13.0-68-generic (ds-server2) 	04/09/2016 	_x86_64_	(24 CPU)

05:14:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:14:10 PM  all    0.58    0.00    2.67    2.33    0.00    0.00    0.00    0.00    0.00   94.42
05:14:11 PM  all    0.84    0.00    1.51    2.80    0.00    0.00    0.00    0.00    0.00   94.86
05:14:12 PM  all    0.54    0.00    1.55    3.43    0.00    0.00    0.00    0.00    0.00   94.48
05:14:13 PM  all    0.38    0.00    1.09    3.34    0.00    0.00    0.00    0.00    0.00   95.19
05:14:14 PM  all    0.54    0.00    1.71    3.38    0.00    0.00    0.00    0.00    0.00   94.36
05:14:15 PM  all    0.50    0.00    1.63    3.39    0.00    0.00    0.00    0.00    0.00   94.48
05:14:16 PM  all    0.38    0.00    1.55    3.39    0.00    0.00    0.00    0.00    0.00   94.69
05:14:17 PM  all    0.54    0.00    0.84    3.35    0.00    0.00    0.00    0.00    0.00   95.27
05:14:18 PM  all    0.46    0.00    1.67    3.47    0.00    0.00    0.00    0.00    0.00   94.40
05:14:19 PM  all    0.54    0.00    0.92    3.35    0.00    0.00    0.00    0.00    0.00   95.19
05:14:20 PM  all    0.54    0.00    1.00    3.35    0.00    0.00    0.00    0.00    0.00   95.10
05:14:21 PM  all    0.50    0.00    1.63    3.35    0.00    0.00    0.00    0.00    0.00   94.52
05:14:22 PM  all    0.46    0.00    0.79    3.43    0.00    0.00    0.00    0.00    0.00   95.31
05:14:23 PM  all    0.59    0.00    1.80    5.89    0.00    0.00    0.00    0.00    0.00   91.72
05:14:24 PM  all    0.29    0.00    0.88    3.35    0.00    0.00    0.00    0.00    0.00   95.48
05:14:25 PM  all    0.38    0.00    1.84    3.38    0.00    0.00    0.00    0.00    0.00   94.41
05:14:26 PM  all    0.42    0.00    1.71    3.39    0.00    0.00    0.00    0.00    0.00   94.48
05:14:27 PM  all    0.34    0.00    1.72    3.35    0.00    0.00    0.00    0.00    0.00   94.60
05:14:28 PM  all    0.50    0.00    1.71    3.51    0.00    0.00    0.00    0.00    0.00   94.27
05:14:29 PM  all    0.42    0.00    1.59    3.43    0.00    0.00    0.00    0.00    0.00   94.56
05:14:30 PM  all    0.54    0.00    1.71    3.46    0.00    0.00    0.00    0.00    0.00   94.28
05:14:31 PM  all    0.42    0.00    1.13    3.34    0.00    0.00    0.00    0.00    0.00   95.11
05:14:32 PM  all    0.50    0.00    1.80    3.38    0.00    0.00    0.00    0.00    0.00   94.32
05:14:33 PM  all    0.46    0.00    0.92    3.43    0.00    0.00    0.00    0.00    0.00   95.19
05:14:34 PM  all    0.46    0.00    1.47    3.39    0.00    0.00    0.00    0.00    0.00   94.68
05:14:35 PM  all    0.46    0.00    1.55    3.39    0.00    0.00    0.00    0.00    0.00   94.60
05:14:36 PM  all    0.50    0.00    0.96    3.43    0.00    0.00    0.00    0.00    0.00   95.11
05:14:37 PM  all    0.50    0.00    1.55    3.51    0.00    0.00    0.00    0.00    0.00   94.44
05:14:38 PM  all    0.50    0.00    0.84    3.55    0.00    0.00    0.00    0.00    0.00   95.11
05:14:39 PM  all    0.38    0.00    1.59    3.51    0.00    0.00    0.00    0.00    0.00   94.52
05:14:40 PM  all    0.21    0.00    0.75    3.44    0.00    0.00    0.00    0.00    0.00   95.60
05:14:41 PM  all    0.46    0.00    0.92    3.46    0.00    0.00    0.00    0.00    0.00   95.16
05:14:42 PM  all    0.42    0.00    0.96    3.43    0.00    0.00    0.00    0.00    0.00   95.19
05:14:43 PM  all    0.38    0.00    1.55    3.48    0.00    0.00    0.00    0.00    0.00   94.60
05:14:44 PM  all    0.46    0.00    1.63    3.39    0.00    0.00    0.00    0.00    0.00   94.52
05:14:45 PM  all    0.34    0.00    0.92    3.35    0.00    0.00    0.00    0.00    0.00   95.39
05:14:46 PM  all    0.42    0.00    1.47    3.39    0.00    0.00    0.00    0.00    0.00   94.72
05:14:47 PM  all    0.50    0.00    1.00    3.43    0.00    0.00    0.00    0.00    0.00   95.07
05:14:48 PM  all    0.50    0.00    1.75    3.51    0.00    0.00    0.00    0.00    0.00   94.24
05:14:49 PM  all    0.46    0.00    1.47    3.48    0.00    0.00    0.00    0.00    0.00   94.60
05:14:50 PM  all    0.50    0.00    1.59    3.47    0.00    0.04    0.00    0.00    0.00   94.40
05:14:51 PM  all    0.42    0.00    0.75    3.35    0.00    0.00    0.00    0.00    0.00   95.47
05:14:52 PM  all    0.54    0.00    1.04    3.38    0.00    0.00    0.00    0.00    0.00   95.03
05:14:53 PM  all    0.63    0.00    1.59    3.47    0.00    0.00    0.00    0.00    0.00   94.31
05:14:54 PM  all    0.46    0.00    1.71    3.39    0.00    0.00    0.00    0.00    0.00   94.44
05:14:55 PM  all    0.17    0.00    0.80    3.39    0.00    0.00    0.00    0.00    0.00   95.64
05:14:56 PM  all    0.50    0.00    0.96    3.51    0.00    0.00    0.00    0.00    0.00   95.02
05:14:57 PM  all    0.42    0.00    0.88    3.52    0.00    0.00    0.00    0.00    0.00   95.18
05:14:58 PM  all    0.34    0.00    1.01    3.60    0.00    0.00    0.00    0.00    0.00   95.06
05:14:59 PM  all    0.50    0.00    0.84    3.52    0.00    0.00    0.00    0.00    0.00   95.14
05:15:00 PM  all    0.50    0.00    1.55    3.52    0.00    0.00    0.00    0.00    0.00   94.43
05:15:01 PM  all    0.54    0.00    1.55    4.61    0.00    0.00    0.00    0.00    0.00   93.30
05:15:02 PM  all    0.46    0.00    1.67    3.77    0.00    0.00    0.00    0.00    0.00   94.10
05:15:03 PM  all    0.46    0.00    1.67    3.64    0.00    0.00    0.00    0.00    0.00   94.23
05:15:04 PM  all    0.46    0.00    1.76    3.51    0.00    0.00    0.00    0.00    0.00   94.27
05:15:05 PM  all    0.50    0.00    1.63    3.52    0.00    0.00    0.00    0.00    0.00   94.34
05:15:06 PM  all    0.42    0.00    1.04    3.51    0.00    0.00    0.00    0.00    0.00   95.03
05:15:07 PM  all    0.63    0.00    1.84    3.47    0.00    0.00    0.00    0.00    0.00   94.07
05:15:08 PM  all    0.50    0.00    1.63    3.64    0.00    0.00    0.00    0.00    0.00   94.22
05:15:09 PM  all    0.42    0.00    1.00    3.51    0.00    0.00    0.00    0.00    0.00   95.06
05:15:10 PM  all    0.17    0.00    1.55    3.56    0.00    0.00    0.00    0.00    0.00   94.72
05:15:11 PM  all    0.38    0.00    1.00    3.51    0.00    0.04    0.00    0.00    0.00   95.06
05:15:12 PM  all    0.46    0.00    0.92    3.48    0.00    0.00    0.00    0.00    0.00   95.14
05:15:13 PM  all    0.46    0.00    1.68    3.64    0.00    0.00    0.00    0.00    0.00   94.22
05:15:14 PM  all    0.50    0.00    1.80    3.51    0.00    0.00    0.00    0.00    0.00   94.19
05:15:15 PM  all    0.42    0.00    1.88    3.55    0.00    0.00    0.00    0.00    0.00   94.15
05:15:16 PM  all    0.42    0.00    1.51    3.52    0.00    0.00    0.00    0.00    0.00   94.55
05:15:17 PM  all    0.50    0.00    1.76    3.51    0.00    0.00    0.00    0.00    0.00   94.23
05:15:18 PM  all    0.42    0.00    1.76    3.64    0.00    0.00    0.00    0.00    0.00   94.18
05:15:19 PM  all    0.50    0.00    1.63    3.56    0.00    0.00    0.00    0.00    0.00   94.30
05:15:20 PM  all    0.50    0.00    1.71    3.51    0.00    0.00    0.00    0.00    0.00   94.27
05:15:21 PM  all    0.50    0.00    0.92    3.51    0.00    0.00    0.00    0.00    0.00   95.07
05:15:22 PM  all    0.42    0.00    1.09    3.51    0.00    0.00    0.00    0.00    0.00   94.98
05:15:23 PM  all    0.42    0.00    0.84    3.61    0.00    0.00    0.00    0.00    0.00   95.14
05:15:24 PM  all    0.46    0.00    0.88    3.52    0.00    0.00    0.00    0.00    0.00   95.14
05:15:25 PM  all    0.29    0.00    0.92    3.55    0.00    0.00    0.00    0.00    0.00   95.23
05:15:26 PM  all    0.29    0.00    1.80    3.51    0.00    0.00    0.00    0.00    0.00   94.39
05:15:27 PM  all    0.50    0.00    1.76    3.51    0.00    0.00    0.00    0.00    0.00   94.23
05:15:28 PM  all    0.38    0.00    0.88    3.64    0.00    0.00    0.00    0.00    0.00   95.10
05:15:29 PM  all    0.46    0.00    1.59    3.52    0.00    0.00    0.00    0.00    0.00   94.43
05:15:30 PM  all    0.34    0.00    1.01    3.52    0.00    0.00    0.00    0.00    0.00   95.14
05:15:31 PM  all    0.50    0.00    1.51    3.56    0.00    0.00    0.00    0.00    0.00   94.44
05:15:32 PM  all    0.50    0.00    1.63    3.52    0.00    0.00    0.00    0.00    0.00   94.35
05:15:33 PM  all    0.38    0.00    1.63    3.64    0.00    0.00    0.00    0.00    0.00   94.35
05:15:34 PM  all    0.50    0.00    1.67    3.51    0.00    0.00    0.00    0.00    0.00   94.31
05:15:35 PM  all    0.46    0.00    0.80    3.48    0.00    0.00    0.00    0.00    0.00   95.26
05:15:36 PM  all    0.42    0.00    1.63    3.56    0.00    0.00    0.00    0.00    0.00   94.39
05:15:37 PM  all    0.54    0.00    1.63    3.51    0.00    0.00    0.00    0.00    0.00   94.31
05:15:38 PM  all    0.38    0.00    1.05    3.64    0.00    0.00    0.00    0.00    0.00   94.94
05:15:39 PM  all    0.50    0.00    1.84    3.51    0.00    0.00    0.00    0.00    0.00   94.15
05:15:40 PM  all    0.46    0.00    0.80    3.52    0.00    0.00    0.00    0.00    0.00   95.22
05:15:41 PM  all    0.08    0.00    1.55    3.56    0.00    0.00    0.00    0.00    0.00   94.81
05:15:42 PM  all    0.42    0.00    1.72    3.51    0.00    0.00    0.00    0.00    0.00   94.35
05:15:43 PM  all    0.38    0.00    1.43    3.69    0.00    0.00    0.00    0.00    0.00   94.51
05:15:44 PM  all    0.46    0.00    1.00    3.51    0.00    0.00    0.00    0.00    0.00   95.02
05:15:45 PM  all    0.38    0.00    1.59    3.56    0.00    0.00    0.00    0.00    0.00   94.47
05:15:46 PM  all    0.42    0.00    1.47    3.52    0.00    0.00    0.00    0.00    0.00   94.59
05:15:47 PM  all    0.38    0.00    1.67    3.52    0.00    0.00    0.00    0.00    0.00   94.43
05:15:48 PM  all    0.50    0.00    1.63    3.64    0.00    0.00    0.00    0.00    0.00   94.22
05:15:49 PM  all    0.46    0.00    1.67    3.56    0.00    0.00    0.00    0.00    0.00   94.31
05:15:50 PM  all    0.46    0.00    1.76    3.51    0.00    0.00    0.00    0.00    0.00   94.27
05:15:51 PM  all    0.42    0.00    1.76    3.51    0.00    0.00    0.00    0.00    0.00   94.31
05:15:52 PM  all    0.46    0.00    1.59    3.56    0.00    0.00    0.00    0.00    0.00   94.39
05:15:53 PM  all    0.38    0.00    0.92    3.64    0.00    0.00    0.00    0.00    0.00   95.06
05:15:54 PM  all    0.34    0.00    1.01    3.52    0.00    0.00    0.00    0.00    0.00   95.14
05:15:55 PM  all    0.59    0.00    1.59    3.52    0.00    0.00    0.00    0.00    0.00   94.31
05:15:56 PM  all    0.38    0.00    0.80    3.52    0.00    0.00    0.00    0.00    0.00   95.31
05:15:57 PM  all    0.13    0.00    1.47    3.52    0.00    0.00    0.00    0.00    0.00   94.88
05:15:58 PM  all    0.42    0.00    0.92    3.68    0.00    0.00    0.00    0.00    0.00   94.98
05:15:59 PM  all    0.42    0.00    1.72    3.52    0.00    0.00    0.00    0.00    0.00   94.35
05:16:00 PM  all    0.46    0.00    1.63    3.56    0.00    0.00    0.00    0.00    0.00   94.35
05:16:01 PM  all    0.46    0.00    0.92    3.51    0.00    0.00    0.00    0.00    0.00   95.10
05:16:02 PM  all    0.38    0.00    0.92    3.52    0.00    0.00    0.00    0.00    0.00   95.18
05:16:03 PM  all    0.34    0.00    1.68    3.69    0.00    0.00    0.00    0.00    0.00   94.30
05:16:04 PM  all    0.46    0.00    1.47    3.52    0.00    0.00    0.00    0.00    0.00   94.55
05:16:05 PM  all    0.42    0.00    1.55    3.56    0.00    0.00    0.00    0.00    0.00   94.47
05:16:06 PM  all    0.38    0.00    0.96    3.48    0.00    0.00    0.00    0.00    0.00   95.18
05:16:07 PM  all    0.46    0.00    1.55    3.56    0.00    0.00    0.00    0.00    0.00   94.43
05:16:08 PM  all    0.38    0.00    1.63    3.69    0.00    0.00    0.00    0.00    0.00   94.30
05:16:09 PM  all    0.46    0.00    1.72    3.51    0.00    0.04    0.00    0.00    0.00   94.27
05:16:10 PM  all    0.42    0.00    1.13    3.51    0.00    0.00    0.00    0.00    0.00   94.94
05:16:11 PM  all    0.50    0.00    0.80    3.52    0.00    0.00    0.00    0.00    0.00   95.18
05:16:12 PM  all    0.42    0.00    0.80    3.52    0.00    0.00    0.00    0.00    0.00   95.27
05:16:13 PM  all    0.33    0.00    1.47    3.68    0.00    0.00    0.00    0.00    0.00   94.52
05:16:14 PM  all    0.50    0.00    1.67    3.51    0.00    0.00    0.00    0.00    0.00   94.31
05:16:15 PM  all    0.29    0.00    1.68    3.52    0.00    0.00    0.00    0.00    0.00   94.51
05:16:16 PM  all    0.54    0.00    0.84    3.52    0.00    0.00    0.00    0.00    0.00   95.10
05:16:17 PM  all    0.42    0.00    1.67    3.55    0.00    0.00    0.00    0.00    0.00   94.36
05:16:18 PM  all    0.46    0.00    1.55    3.69    0.00    0.00    0.00    0.00    0.00   94.30
05:16:19 PM  all    0.54    0.00    1.00    3.51    0.00    0.00    0.00    0.00    0.00   94.94
05:16:20 PM  all    0.46    0.00    0.92    3.52    0.00    0.00    0.00    0.00    0.00   95.10
05:16:21 PM  all    0.38    0.00    1.55    3.52    0.00    0.00    0.00    0.00    0.00   94.55
05:16:22 PM  all    0.75    0.00    1.67    3.51    0.00    0.00    0.00    0.00    0.00   94.07
05:16:23 PM  all    0.46    0.00    1.67    3.64    0.00    0.00    0.00    0.00    0.00   94.22
05:16:24 PM  all    0.46    0.00    1.76    3.56    0.00    0.00    0.00    0.00    0.00   94.23
05:16:25 PM  all    0.50    0.00    1.59    3.52    0.00    0.00    0.00    0.00    0.00   94.39
05:16:26 PM  all    0.50    0.00    0.92    3.47    0.00    0.00    0.00    0.00    0.00   95.10
05:16:27 PM  all    0.54    0.00    1.42    3.52    0.00    0.00    0.00    0.00    0.00   94.51
05:16:28 PM  all    0.29    0.00    1.80    3.68    0.00    0.00    0.00    0.00    0.00   94.23
05:16:29 PM  all    0.50    0.00    1.47    3.52    0.00    0.04    0.00    0.00    0.00   94.47
05:16:30 PM  all    0.46    0.00    1.59    3.52    0.00    0.00    0.00    0.00    0.00   94.42
05:16:31 PM  all    0.46    0.00    1.67    3.51    0.00    0.00    0.00    0.00    0.00   94.36
05:16:32 PM  all    0.50    0.00    0.96    3.52    0.00    0.00    0.00    0.00    0.00   95.02
05:16:33 PM  all    0.38    0.00    1.38    3.69    0.00    0.00    0.00    0.00    0.00   94.56
05:16:34 PM  all    0.50    0.00    1.13    3.52    0.00    0.00    0.00    0.00    0.00   94.85
05:16:35 PM  all    0.46    0.00    1.51    3.51    0.00    0.00    0.00    0.00    0.00   94.52
05:16:36 PM  all    0.46    0.00    1.21    3.52    0.00    0.00    0.00    0.00    0.00   94.81
05:16:37 PM  all    0.38    0.00    1.26    3.52    0.00    0.00    0.00    0.00    0.00   94.84
05:16:38 PM  all    0.46    0.00    1.63    3.60    0.00    0.00    0.00    0.00    0.00   94.30
05:16:39 PM  all    0.38    0.00    1.84    3.55    0.00    0.00    0.00    0.00    0.00   94.23
