Linux 3.13.0-68-generic (ds-server2) 	04/09/2016 	_x86_64_	(24 CPU)

09:22:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:22:50 PM  all    1.38    0.00    1.84    8.14    0.00    0.00    0.00    0.00    0.00   88.65
09:22:51 PM  all    0.08    0.00    1.38   10.48    0.00    0.04    0.00    0.00    0.00   88.02
09:22:52 PM  all    0.08    0.00    1.29   10.57    0.00    0.00    0.00    0.00    0.00   88.05
09:22:53 PM  all    0.08    0.00    1.29   10.57    0.00    0.00    0.00    0.00    0.00   88.05
09:22:54 PM  all    0.17    0.00    1.51    6.40    0.00    0.00    0.00    0.00    0.00   91.92
09:22:55 PM  all    0.38    0.00    1.63    3.31    0.00    0.00    0.00    0.00    0.00   94.68
09:22:56 PM  all    0.54    0.00    0.88    3.31    0.00    0.00    0.00    0.00    0.00   95.27
09:22:57 PM  all    0.54    0.00    1.84    3.42    0.00    0.00    0.00    0.00    0.00   94.20
09:22:58 PM  all    0.50    0.00    1.92    3.22    0.00    0.00    0.00    0.00    0.00   94.36
09:22:59 PM  all    0.46    0.00    0.59    7.77    0.00    0.00    0.00    0.00    0.00   91.18
09:23:00 PM  all    0.42    0.00    0.75    8.06    0.00    0.00    0.00    0.00    0.00   90.78
09:23:01 PM  all    0.42    0.00    1.38    8.15    0.00    0.00    0.00    0.00    0.00   90.06
09:23:02 PM  all    0.50    0.00    1.46    5.72    0.00    0.00    0.00    0.00    0.00   92.31
09:23:03 PM  all    0.25    0.00    1.63    3.35    0.00    0.00    0.00    0.00    0.00   94.77
09:23:04 PM  all    0.38    0.00    1.55    3.35    0.00    0.00    0.00    0.00    0.00   94.72
09:23:05 PM  all    0.50    0.00    1.76    3.35    0.00    0.00    0.00    0.00    0.00   94.40
09:23:06 PM  all    0.38    0.00    2.01    3.34    0.00    0.00    0.00    0.00    0.00   94.27
09:23:07 PM  all    0.46    0.00    1.05    3.43    0.00    0.00    0.00    0.00    0.00   95.06
09:23:08 PM  all    0.46    0.00    1.67    3.35    0.00    0.00    0.00    0.00    0.00   94.52
09:23:09 PM  all    0.54    0.00    1.71    3.34    0.00    0.00    0.00    0.00    0.00   94.40
09:23:10 PM  all    0.38    0.00    1.00    3.31    0.00    0.00    0.00    0.00    0.00   95.31
09:23:11 PM  all    0.42    0.00    0.92    3.35    0.00    0.00    0.00    0.00    0.00   95.31
09:23:12 PM  all    0.46    0.00    0.92    3.39    0.00    0.00    0.00    0.00    0.00   95.22
09:23:13 PM  all    0.38    0.00    0.84    3.35    0.00    0.00    0.00    0.00    0.00   95.43
09:23:14 PM  all    0.42    0.00    1.75    3.34    0.00    0.00    0.00    0.00    0.00   94.49
09:23:15 PM  all    0.46    0.00    0.88    3.31    0.00    0.00    0.00    0.00    0.00   95.35
09:23:16 PM  all    0.38    0.00    0.92    3.35    0.00    0.00    0.00    0.00    0.00   95.35
09:23:17 PM  all    0.34    0.00    1.51    3.44    0.00    0.00    0.00    0.00    0.00   94.72
09:23:18 PM  all    0.29    0.00    1.71    3.34    0.00    0.00    0.00    0.00    0.00   94.65
09:23:19 PM  all    0.46    0.00    0.75    3.31    0.00    0.00    0.00    0.00    0.00   95.47
09:23:20 PM  all    0.42    0.00    1.00    3.34    0.00    0.00    0.00    0.00    0.00   95.24
09:23:21 PM  all    0.42    0.00    1.76    3.34    0.00    0.00    0.00    0.00    0.00   94.48
09:23:22 PM  all    0.50    0.00    1.63    3.43    0.00    0.00    0.00    0.00    0.00   94.44
09:23:23 PM  all    0.42    0.00    1.67    3.35    0.00    0.00    0.00    0.00    0.00   94.56
09:23:24 PM  all    0.50    0.00    1.63    3.34    0.00    0.00    0.00    0.00    0.00   94.52
09:23:25 PM  all    0.50    0.00    1.67    3.34    0.00    0.00    0.00    0.00    0.00   94.48
09:23:26 PM  all    0.59    0.00    1.55    3.35    0.00    0.00    0.00    0.00    0.00   94.51
09:23:27 PM  all    0.50    0.00    1.51    3.43    0.00    0.00    0.00    0.00    0.00   94.56
09:23:28 PM  all    0.50    0.00    1.00    3.30    0.00    0.00    0.00    0.00    0.00   95.19
