# dirty_pages redo_length page_writes xct_end updates
1150 0 0 177 2585
5727 0 0 749 18602
7853 3 127 985.667 20652
9276 12 139 1125.25 22294
10444 21 167 1205 22130
11562 30 177 1257 20694
12540 40 161 1301.14 22633
13517 48 0 1323.62 20555
14282 57 188 1335.56 20191
15058 65 154 1347.7 20286
15749 73 157 1352.09 19171
16417 82 146 1362.58 21319
16954 90 142 1354.38 17731
17501 98 153 1357.43 19763
18139 107 132 1369.2 21506
18803 117 149 1385.12 22830
19357 126 157 1396.29 22363
19839 135 175 1404.39 21746
20294 144 156 1408.68 20932
20674 152 169 1408.3 19792
21104 162 149 1476.85 22452
21589 172 174 1501.05 25258
22301 184 0 1518.85 26036
22756 194 196 1528.5 24050
23134 203 196 1530.6 22090
23492 212 179 1531.75 21266
23831 221 168 1530.5 21224
24129 230 153 1526.6 20642
24467 240 158 1534.15 22009
24743 248 160 1530.65 20176
25012 256 154 1533.6 20244
25292 265 143 1535.55 21457
25569 275 156 1547.25 20873
25798 283 166 1548.9 20765
26062 292 150 1546 19983
26330 301 143 1546.35 22348
26609 310 163 1546.15 22081
27028 321 0 1553.05 23315
27257 329 160 1551.05 20480
27484 338 168 1557.6 21944
27742 348 150 1560.3 22397
27952 357 166 1547.6 21397
28144 366 163 1531.1 21151
28398 375 160 1523.1 21751
28610 385 160 1521.1 22375
28809 394 166 1522.8 21442
29018 402 149 1519.15 20655
29224 412 161 1529.05 22087
29406 421 170 1525.3 21350
29546 429 177 1523.6 19157
29700 438 150 1521.95 19981
29862 446 148 1517.85 19755
30018 455 152 1514.05 20245
30336 464 0 1517.05 20902
30503 473 155 1520.5 21601
30686 482 161 1515.8 21795
30822 491 162 1516.65 21983
30977 501 165 1510.2 22186
31111 510 163 1510.7 20539
31227 519 163 1510.35 20864
31345 528 152 1503.25 21286
31463 536 166 1498.05 19649
31585 544 144 1491.75 19635
31714 553 157 1485 20352
31859 563 154 1487.35 22393
32014 572 167 1490.75 22774
32113 581 165 1494.7 21334
32366 590 0 1484.8 20325
32495 599 154 1485.6 21455
32592 608 156 1490.3 20365
32686 616 162 1490 20070
32795 625 154 1490.15 20510
