Linux 3.13.0-68-generic (ds-server2) 	04/09/2016 	_x86_64_	(24 CPU)

08:03:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:04:00 PM  all    1.04    0.00    2.92    5.01    0.00    0.00    0.00    0.00    0.00   91.03
08:04:01 PM  all    0.08    0.00    1.42    7.93    0.00    0.00    0.00    0.00    0.00   90.57
08:04:02 PM  all    0.04    0.00    0.67    7.85    0.00    0.00    0.00    0.00    0.00   91.44
08:04:03 PM  all    0.08    0.00    1.34    8.02    0.00    0.04    0.00    0.00    0.00   90.52
08:04:04 PM  all    0.08    0.00    0.63    8.02    0.00    0.00    0.00    0.00    0.00   91.27
08:04:05 PM  all    0.00    0.00    0.75    7.85    0.00    0.00    0.00    0.00    0.00   91.40
08:04:06 PM  all    0.54    0.00    1.38    8.01    0.00    0.00    0.00    0.00    0.00   90.07
08:04:07 PM  all    0.29    0.00    1.42    8.01    0.00    0.04    0.00    0.00    0.00   90.24
08:04:08 PM  all    0.13    0.00    1.34    7.27    0.00    0.00    0.00    0.00    0.00   91.27
08:04:09 PM  all    0.46    0.00    1.59    3.43    0.00    0.00    0.00    0.00    0.00   94.52
08:04:10 PM  all    0.50    0.00    1.67    3.39    0.00    0.00    0.00    0.00    0.00   94.43
08:04:11 PM  all    0.38    0.00    1.80    3.30    0.00    0.00    0.00    0.00    0.00   94.52
08:04:12 PM  all    0.46    0.00    1.72    3.35    0.00    0.00    0.00    0.00    0.00   94.48
08:04:13 PM  all    0.50    0.00    1.09    4.06    0.00    0.00    0.00    0.00    0.00   94.35
08:04:14 PM  all    0.33    0.00    0.67    8.10    0.00    0.00    0.00    0.00    0.00   90.90
08:04:15 PM  all    0.42    0.00    0.63    8.10    0.00    0.00    0.00    0.00    0.00   90.85
08:04:16 PM  all    0.46    0.00    1.29    8.06    0.00    0.04    0.00    0.00    0.00   90.15
08:04:17 PM  all    0.38    0.00    1.34    8.06    0.00    0.00    0.00    0.00    0.00   90.23
08:04:18 PM  all    0.38    0.00    1.46    8.10    0.00    0.00    0.00    0.00    0.00   90.06
08:04:19 PM  all    0.38    0.00    0.63    7.89    0.00    0.00    0.00    0.00    0.00   91.10
08:04:20 PM  all    0.42    0.00    0.84    3.56    0.00    0.00    0.00    0.00    0.00   95.19
08:04:21 PM  all    0.38    0.00    1.63    3.38    0.00    0.00    0.00    0.00    0.00   94.61
08:04:22 PM  all    0.33    0.00    1.63    3.39    0.00    0.00    0.00    0.00    0.00   94.65
08:04:23 PM  all    0.50    0.00    1.96    3.30    0.00    0.00    0.00    0.00    0.00   94.23
08:04:24 PM  all    0.46    0.00    1.63    3.35    0.00    0.00    0.00    0.00    0.00   94.55
08:04:25 PM  all    0.38    0.00    0.76    3.40    0.00    0.00    0.00    0.00    0.00   95.47
08:04:26 PM  all    0.50    0.00    1.67    3.34    0.00    0.00    0.00    0.00    0.00   94.48
08:04:27 PM  all    0.38    0.00    1.67    3.39    0.00    0.00    0.00    0.00    0.00   94.56
08:04:28 PM  all    0.46    0.00    1.92    3.34    0.00    0.00    0.00    0.00    0.00   94.27
08:04:29 PM  all    0.38    0.00    1.68    3.56    0.00    0.00    0.00    0.00    0.00   94.39
08:04:30 PM  all    0.42    0.00    1.09    3.39    0.00    0.00    0.00    0.00    0.00   95.11
08:04:31 PM  all    0.46    0.00    0.92    3.34    0.00    0.00    0.00    0.00    0.00   95.28
08:04:32 PM  all    0.38    0.00    1.68    3.35    0.00    0.00    0.00    0.00    0.00   94.60
08:04:33 PM  all    0.42    0.00    1.76    3.34    0.00    0.00    0.00    0.00    0.00   94.48
08:04:34 PM  all    0.38    0.00    1.80    3.31    0.00    0.00    0.00    0.00    0.00   94.51
08:04:35 PM  all    0.25    0.00    1.67    3.39    0.00    0.00    0.00    0.00    0.00   94.69
08:04:36 PM  all    0.38    0.00    1.63    3.35    0.00    0.00    0.00    0.00    0.00   94.64
08:04:37 PM  all    0.42    0.00    1.76    3.35    0.00    0.00    0.00    0.00    0.00   94.48
08:04:38 PM  all    0.38    0.00    1.09    3.35    0.00    0.00    0.00    0.00    0.00   95.19
08:04:39 PM  all    0.38    0.00    1.00    3.35    0.00    0.00    0.00    0.00    0.00   95.27
08:04:40 PM  all    0.54    0.00    1.55    3.39    0.00    0.00    0.00    0.00    0.00   94.51
