# dirty_pages redo_length page_writes xct_end updates
5857 0 0 1577 21671
7537 4 909 1529 20978
8477 13 1680 1504.67 20368
10062 22 920 1521.75 21659
10896 31 899 1514 21342
11498 40 1795 1507.33 20927
12202 49 1683 1500.14 20952
12935 58 1666 1492.12 20319
13827 66 1125 1488.78 20067
14462 49 799 1498.7 22505
14551 58 1720 1493.73 20784
14935 66 1670 1486 19661
15291 75 1753 1481.85 20897
15662 83 1716 1477.93 19760
16064 92 1721 1475.73 20430
16108 101 1499 1476.69 21089
16440 110 904 1477.65 21646
16540 119 1801 1481 21629
16849 128 1696 1480.26 20765
17047 137 1724 1479.45 20305
17390 146 1770 1476.95 21844
17759 156 1786 1482.5 22651
18042 165 1883 1488.6 22075
17846 175 1794 1487.7 22498
18033 184 1212 1488.8 21805
17865 193 1636 1488.95 21077
18045 202 1719 1492.25 21485
18398 212 1982 1504.45 23815
18509 222 2263 1514.9 23377
18722 232 2156 1519.45 23898
19223 242 1841 1527.5 22378
19314 251 1657 1534.4 21639
18276 261 3374 1543.05 22664
19138 270 88 1548.25 21433
18896 279 1659 1547.4 20675
18916 286 1640 1538 18385
19139 296 1928 1542.95 21788
19303 305 1972 1544.35 21500
19582 315 1990 1551.15 22634
19804 324 1961 1556.15 22711
20003 334 1920 1559.4 22551
19857 344 1950 1559.9 22165
19089 352 2963 1554.45 19988
19234 362 1145 1554.5 22115
19078 371 1923 1556.65 22934
19197 380 1946 1558.7 21236
19395 389 1948 1560.1 21492
19676 399 1942 1552.35 21435
19855 408 1918 1544.75 21174
20224 417 1952 1537.35 21831
20214 426 1909 1533.95 21157
19971 435 2805 1532.25 21058
19677 445 1673 1533.25 22437
19391 454 1842 1531.85 21602
19362 463 1950 1536.05 21063
19560 472 1898 1545.1 20762
19610 481 1888 1538.7 21899
19835 491 1960 1537.05 21747
20036 500 1887 1531.55 21528
20392 510 1935 1533.3 22771
20288 519 1861 1531.65 22405
18897 528 4273 1526.55 20743
19697 538 239 1530.5 21865
19452 547 1964 1531.5 21900
19531 556 1915 1532.95 22725
19786 566 2026 1540.05 22328
19999 575 1920 1543.1 22240
20207 585 1930 1545.6 22689
