Linux 3.13.0-68-generic (ds-server2) 	04/10/2016 	_x86_64_	(24 CPU)

02:32:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:32:29 PM  all    2.46    0.00    2.38    0.71    0.00    0.00    0.00    0.00    0.00   94.46
02:32:30 PM  all    0.42    0.00    1.80    2.97    0.00    0.00    0.00    0.00    0.00   94.82
02:32:31 PM  all    0.29    0.00    1.50    6.51    0.00    0.04    0.00    0.00    0.00   91.65
02:32:32 PM  all    0.13    0.00    0.63    8.23    0.00    0.00    0.00    0.00    0.00   91.02
02:32:33 PM  all    0.00    0.00    0.67    8.11    0.00    0.00    0.00    0.00    0.00   91.22
02:32:34 PM  all    0.13    0.00    1.25    8.14    0.00    0.00    0.00    0.00    0.00   90.48
02:32:35 PM  all    0.08    0.00    0.67    8.09    0.00    0.00    0.00    0.00    0.00   91.16
02:32:36 PM  all    0.08    0.00    1.21    8.10    0.00    0.00    0.00    0.00    0.00   90.60
02:32:37 PM  all    0.13    0.00    0.63    8.23    0.00    0.00    0.00    0.00    0.00   91.02
02:32:38 PM  all    0.08    0.00    0.63    8.14    0.00    0.00    0.00    0.00    0.00   91.15
02:32:39 PM  all    0.08    0.00    0.63    8.10    0.00    0.00    0.00    0.00    0.00   91.19
02:32:40 PM  all    0.04    0.00    0.67    8.10    0.00    0.00    0.00    0.00    0.00   91.19
02:32:41 PM  all    0.04    0.00    1.38    8.14    0.00    0.00    0.00    0.00    0.00   90.44
02:32:42 PM  all    0.13    0.00    1.34    8.06    0.00    0.00    0.00    0.00    0.00   90.48
02:32:43 PM  all    0.08    0.00    1.34    8.22    0.00    0.04    0.00    0.00    0.00   90.32
02:32:44 PM  all    0.04    0.00    0.63    8.10    0.00    0.00    0.00    0.00    0.00   91.23
02:32:45 PM  all    0.04    0.00    1.34    7.89    0.00    0.00    0.00    0.00    0.00   90.73
02:32:46 PM  all    0.08    0.00    0.59    8.02    0.00    0.00    0.00    0.00    0.00   91.31
02:32:47 PM  all    0.13    0.00    1.34    8.02    0.00    0.00    0.00    0.00    0.00   90.52
02:32:48 PM  all    0.04    0.00    1.38    7.69    0.00    0.04    0.00    0.00    0.00   90.85
02:32:49 PM  all    0.08    0.00    1.34    6.56    0.00    0.00    0.00    0.00    0.00   92.02
02:32:50 PM  all    0.42    0.00    0.96    2.97    0.00    0.00    0.00    0.00    0.00   95.65
02:32:51 PM  all    0.59    0.00    0.96    2.97    0.00    0.00    0.00    0.00    0.00   95.48
02:32:52 PM  all    0.50    0.00    0.80    2.97    0.00    0.00    0.00    0.00    0.00   95.73
02:32:53 PM  all    0.67    0.00    0.92    3.09    0.00    0.00    0.00    0.00    0.00   95.32
02:32:54 PM  all    0.54    0.00    0.92    2.93    0.00    0.00    0.00    0.00    0.00   95.60
02:32:55 PM  all    0.54    0.00    0.84    2.97    0.00    0.00    0.00    0.00    0.00   95.65
02:32:56 PM  all    0.54    0.00    0.84    2.97    0.00    0.00    0.00    0.00    0.00   95.65
02:32:57 PM  all    0.63    0.00    0.80    2.97    0.00    0.00    0.00    0.00    0.00   95.60
02:32:58 PM  all    0.54    0.00    1.04    3.05    0.00    0.00    0.00    0.00    0.00   95.36
02:32:59 PM  all    0.59    0.00    0.92    2.97    0.00    0.00    0.00    0.00    0.00   95.52
02:33:00 PM  all    0.67    0.00    0.84    2.97    0.00    0.00    0.00    0.00    0.00   95.53
02:33:01 PM  all    0.54    0.00    1.59    2.97    0.00    0.00    0.00    0.00    0.00   94.90
02:33:02 PM  all    0.50    0.00    1.59    2.97    0.00    0.00    0.00    0.00    0.00   94.93
02:33:03 PM  all    0.63    0.00    1.55    3.14    0.00    0.00    0.00    0.00    0.00   94.69
02:33:04 PM  all    0.50    0.00    1.55    3.02    0.00    0.00    0.00    0.00    0.00   94.93
02:33:05 PM  all    0.54    0.00    1.63    3.01    0.00    0.00    0.00    0.00    0.00   94.82
02:33:06 PM  all    0.54    0.00    0.92    2.97    0.00    0.00    0.00    0.00    0.00   95.57
02:33:07 PM  all    0.59    0.00    1.00    2.93    0.00    0.00    0.00    0.00    0.00   95.48
02:33:08 PM  all    0.88    0.00    0.79    3.14    0.00    0.00    0.00    0.00    0.00   95.19
02:33:09 PM  all    0.79    0.00    1.00    2.88    0.00    0.00    0.00    0.00    0.00   95.33
02:33:10 PM  all    0.67    0.00    0.79    2.89    0.00    0.00    0.00    0.00    0.00   95.65
02:33:11 PM  all    0.67    0.00    0.92    3.01    0.00    0.00    0.00    0.00    0.00   95.41
02:33:12 PM  all    0.71    0.00    0.79    2.97    0.00    0.00    0.00    0.00    0.00   95.53
02:33:13 PM  all    0.59    0.00    0.80    3.06    0.00    0.00    0.00    0.00    0.00   95.56
02:33:14 PM  all    0.59    0.00    0.71    2.98    0.00    0.00    0.00    0.00    0.00   95.73
02:33:15 PM  all    0.54    0.00    1.59    4.14    0.00    0.00    0.00    0.00    0.00   93.73
02:33:16 PM  all    0.59    0.00    1.59    3.10    0.00    0.00    0.00    0.00    0.00   94.72
02:33:17 PM  all    0.63    0.00    0.84    3.06    0.00    0.00    0.00    0.00    0.00   95.48
02:33:18 PM  all    0.63    0.00    0.84    3.18    0.00    0.00    0.00    0.00    0.00   95.35
02:33:19 PM  all    0.59    0.00    1.55    3.10    0.00    0.00    0.00    0.00    0.00   94.76
02:33:20 PM  all    0.63    0.00    0.71    3.06    0.00    0.00    0.00    0.00    0.00   95.60
02:33:21 PM  all    0.75    0.00    1.67    3.05    0.00    0.04    0.00    0.00    0.00   94.49
02:33:22 PM  all    0.88    0.00    1.51    2.97    0.00    0.00    0.00    0.00    0.00   94.65
02:33:23 PM  all    0.75    0.00    0.80    3.02    0.00    0.00    0.00    0.00    0.00   95.43
02:33:24 PM  all    0.63    0.00    0.80    3.02    0.00    0.00    0.00    0.00    0.00   95.56
02:33:25 PM  all    0.67    0.00    1.88    3.13    0.00    0.00    0.00    0.00    0.00   94.33
02:33:26 PM  all    0.54    0.00    1.72    3.10    0.00    0.00    0.00    0.00    0.00   94.64
02:33:27 PM  all    0.59    0.00    0.96    3.09    0.00    0.00    0.00    0.00    0.00   95.36
