# dirty_pages redo_length page_writes xct_end updates
2221 0 0 411 5566
4534 0 0 527 8807
6003 0 0 541 8318
7039 0 0 558.25 8404
7891 0 0 567.6 8365
8652 0 0 580.833 8697
9323 0 0 590 8700
9875 0 0 588 7772
10385 0 0 589.333 8766
10878 0 0 589 8215
11398 0 0 595.909 9313
11879 0 0 596.083 8081
12295 0 0 593.615 8247
12726 0 0 593.143 8406
13185 0 0 595.667 9078
13622 0 0 596.812 8408
14058 0 0 598.412 8756
14461 0 0 598.056 7662
14818 0 0 597.158 8785
15098 35 5120 594.55 7879
15417 39 14336 607.25 9235
15748 43 15360 608.2 9349
16005 47 14336 610.3 8389
16292 50 15360 610.4 8335
16603 54 14336 612.15 8871
16938 57 15360 611.25 8546
17236 62 14336 610.25 8892
17522 65 15360 612.2 8562
17816 69 14336 614.5 9202
17994 72 14336 614.45 8363
18237 76 15360 610.6 8421
18520 80 14336 613.7 9501
18826 84 15360 618.2 9423
19108 88 14336 618.95 8541
19348 91 15360 617.3 8353
19616 95 14336 617.55 8465
19803 98 15360 615.8 8349
20029 103 14336 619.1 9440
20266 106 15360 618.9 8194
20517 110 15360 623.15 9157
20778 113 14336 618.9 8177
20984 117 15360 614.7 8386
21250 121 14336 614.65 8574
21516 124 15360 616.15 8811
21760 128 15360 614.5 8281
22013 132 14336 613.5 8585
22279 135 15360 613.7 8619
22546 139 15360 615.65 9469
22819 144 14336 615.9 9224
23061 147 15360 617.5 9121
23312 151 15360 621.9 9221
23503 155 15360 618.3 9034
23693 158 14336 615.2 8391
23928 163 15360 618.3 9457
24157 167 15360 620.7 8654
24387 171 14336 622.2 9494
24590 174 15360 621.95 8167
24806 177 15360 619.5 8109
25026 181 14336 622.15 9228
25225 185 15360 621.1 8430
25403 189 15360 621.95 8468
25605 192 15360 624.8 8372
25792 196 14336 622.7 7932
26003 199 15360 621.35 8132
26197 204 15360 622.8 9483
26400 207 15360 622.25 8187
26596 211 15360 620.5 8507
26778 214 14336 617.85 8742
26966 218 15360 616.15 8708
27146 222 15360 616.3 8266
27327 226 15360 613.9 8681
27531 230 14336 618.65 9520
27713 233 15360 620.05 8471
27875 237 15360 616.15 8600
28037 241 15360 613.65 8673
28179 245 14336 609.75 8504
28316 248 15360 608.65 7758
28508 252 15360 609.15 8823
28657 255 15360 606.4 8145
28824 259 15360 607.15 8546
28981 263 14336 608.95 9555
29131 267 15360 608.9 8960
29285 271 15360 610.7 8738
29419 274 15360 608.9 8308
29577 278 14336 609.5 8477
29751 282 15360 613.15 9484
29378 286 5120 618.25 9520
29559 290 0 621.75 9489
29475 294 14336 622.3 8363
29384 298 14336 622 8659
29350 301 14336 623.95 8814
29302 305 14336 622.9 9125
29353 309 14336 623.45 8954
29445 313 14336 623.95 8423
29523 317 14336 625.15 8368
29578 320 14336 624.3 8036
29653 323 14336 627.3 8607
29572 328 14336 626.35 8646
29428 331 14336 628.25 8758
29393 335 14336 627.5 8296
29487 339 14336 627.2 9010
29629 342 14336 627.85 8911
29719 346 14336 628 8636
29760 350 14336 628.75 8157
