Linux 3.13.0-68-generic (ds-server2) 	04/10/2016 	_x86_64_	(24 CPU)

01:19:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:19:38 PM  all    2.38    0.00    2.96    0.25    0.00    0.00    0.00    0.00    0.00   94.42
01:19:39 PM  all    0.54    0.00    0.17    6.48    0.00    0.04    0.00    0.00    0.00   92.77
01:19:40 PM  all    0.83    0.00    0.71    8.10    0.00    0.00    0.00    0.00    0.00   90.36
01:19:41 PM  all    1.09    0.00    0.13    8.22    0.00    0.00    0.00    0.00    0.00   90.57
01:19:42 PM  all    0.04    0.00    1.34    8.23    0.00    0.00    0.00    0.00    0.00   90.39
01:19:43 PM  all    0.00    0.00    0.13    8.14    0.00    0.00    0.00    0.00    0.00   91.73
01:19:44 PM  all    0.08    0.00    0.63    8.14    0.00    0.00    0.00    0.00    0.00   91.16
01:19:45 PM  all    0.04    0.00    0.13    8.15    0.00    0.00    0.00    0.00    0.00   91.69
01:19:46 PM  all    0.08    0.00    1.38    4.42    0.00    0.00    0.00    0.00    0.00   94.12
01:19:47 PM  all    0.00    0.00    0.13    3.97    0.00    0.00    0.00    0.00    0.00   95.91
01:19:48 PM  all    0.13    0.00    1.38    4.01    0.00    0.00    0.00    0.00    0.00   94.49
01:19:49 PM  all    0.00    0.00    0.08    3.97    0.00    0.00    0.00    0.00    0.00   95.95
01:19:50 PM  all    0.04    0.00    0.63    3.97    0.00    0.04    0.00    0.00    0.00   95.32
01:19:51 PM  all    0.00    0.00    0.08    3.97    0.00    0.00    0.00    0.00    0.00   95.95
01:19:52 PM  all    0.08    0.00    1.34    4.09    0.00    0.00    0.00    0.00    0.00   94.49
01:19:53 PM  all    0.08    0.00    0.08    3.96    0.00    0.00    0.00    0.00    0.00   95.87
01:19:54 PM  all    0.08    0.00    0.67    3.96    0.00    0.00    0.00    0.00    0.00   95.29
01:19:55 PM  all    0.00    0.00    0.08    3.97    0.00    0.00    0.00    0.00    0.00   95.95
01:19:56 PM  all    0.08    0.00    1.34    3.97    0.00    0.00    0.00    0.00    0.00   94.61
