# dirty_pages redo_length page_writes xct_end updates
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 1428 0 0
0 0 868 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 1303 0 0
0 0 1854 0 0
0 0 1811 0 0
0 0 1828 0 0
0 0 1785 0 0
0 0 1802 0 0
0 0 1767 0 0
0 0 1858 0 0
0 1 1864 0 0
0 1 1783 0 0
0 1 1768 0 0
0 1 1719 0 0
0 1 954 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 997 0 0
0 1 1733 0 0
0 1 1816 0 0
0 1 1824 0 0
0 1 1875 0 0
0 2 1953 0 0
0 2 2037 0 0
0 2 1855 0 0
0 2 1895 0 0
0 2 1613 0 0
0 2 1505 0 0
0 2 1533 0 0
0 2 1440 0 0
0 2 1506 0 0
0 2 1480 0 0
0 2 1703 0 0
0 3 1820 0 0
0 3 1678 0 0
0 3 1533 0 0
0 3 1459 0 0
0 3 1464 0 0
0 3 1433 0 0
0 3 1425 0 0
0 3 1864 0 0
0 3 1949 0 0
0 3 1905 0 0
0 4 1975 0 0
0 4 1892 0 0
0 4 1909 0 0
0 4 1947 0 0
0 4 1911 0 0
0 4 1942 0 0
0 4 1987 0 0
0 4 1950 0 0
0 4 1936 0 0
0 4 1839 0 0
0 5 1927 0 0
0 5 1966 0 0
0 5 2026 0 0
0 5 0 0 0
0 5 0 0 0
0 5 0 0 0
0 5 0 0 0
0 5 208 0 0
0 5 1860 0 0
0 5 1871 0 0
0 5 2084 0 0
0 5 1683 0 0
0 5 1592 0 0
0 5 1827 0 0
0 6 2047 0 0
0 6 1982 0 0
0 6 1948 0 0
0 6 2049 0 0
0 6 2036 0 0
0 6 1980 0 0
0 6 2127 0 0
0 6 2026 0 0
0 6 2133 0 0
0 6 2117 0 0
0 7 2102 0 0
0 7 2092 0 0
0 7 2079 0 0
0 7 2129 0 0
0 7 2052 0 0
0 7 2074 0 0
0 7 2279 0 0
0 7 2105 0 0
0 7 2066 0 0
0 8 2168 0 0
0 8 2300 0 0
0 8 1985 0 0
0 8 2062 0 0
0 8 2196 0 0
0 8 2333 0 0
0 8 2020 0 0
0 8 1993 0 0
0 8 2015 0 0
0 9 2136 0 0
0 9 2150 0 0
0 9 2131 0 0
0 9 2096 0 0
0 9 2225 0 0
0 9 2124 0 0
0 9 2182 0 0
0 9 2088 0 0
0 9 2160 0 0
0 9 2122 0 0
0 10 2067 0 0
0 10 2095 0 0
0 10 2066 0 0
0 10 2047 0 0
0 10 1956 0 0
0 10 2097 0 0
0 10 2029 0 0
0 10 1929 0 0
0 10 2144 0 0
0 11 2086 0 0
0 11 2220 0 0
0 11 2161 0 0
0 11 2099 0 0
0 11 2152 0 0
0 11 2128 0 0
0 11 2103 0 0
0 11 2124 0 0
0 11 2153 0 0
0 12 2037 0 0
0 12 1989 0 0
0 12 1939 0 0
0 12 2008 0 0
0 12 1924 0 0
0 12 1906 0 0
0 12 2048 0 0
0 12 1989 0 0
0 12 2079 0 0
0 12 2142 0 0
0 12 288 0 0
0 12 0 0 0
0 12 0 0 0
0 12 0 0 0
0 12 0 0 0
0 13 1787 0 0
0 13 1946 0 0
0 13 2067 0 0
0 13 2086 0 0
0 13 2223 0 0
0 13 2089 0 0
0 13 2007 0 0
0 13 2166 0 0
0 13 2179 0 0
0 14 2133 0 0
0 14 2026 0 0
0 14 2171 0 0
0 14 2163 0 0
0 14 2108 0 0
0 14 2134 0 0
0 14 2182 0 0
0 14 2126 0 0
0 14 2143 0 0
0 14 2053 0 0
0 15 2107 0 0
0 15 2184 0 0
0 15 2205 0 0
0 15 2118 0 0
0 15 2158 0 0
0 15 2212 0 0
0 15 2238 0 0
0 15 2213 0 0
0 15 2244 0 0
0 16 2293 0 0
0 16 2279 0 0
0 16 2176 0 0
0 16 2171 0 0
0 16 2140 0 0
0 16 2139 0 0
0 16 2138 0 0
0 16 2125 0 0
0 16 2257 0 0
0 17 2244 0 0
0 17 2242 0 0
0 17 2028 0 0
0 17 2266 0 0
0 17 2219 0 0
0 17 2156 0 0
0 17 2146 0 0
0 17 2012 0 0
0 17 2125 0 0
0 17 2067 0 0
0 18 2103 0 0
0 18 2132 0 0
0 18 2206 0 0
0 18 2217 0 0
0 18 2208 0 0
0 18 2117 0 0
0 18 2132 0 0
0 18 2069 0 0
0 18 2073 0 0
0 19 2055 0 0
0 19 2210 0 0
0 19 2035 0 0
0 19 2164 0 0
0 19 2176 0 0
0 19 2238 0 0
0 19 2258 0 0
0 19 2160 0 0
0 19 2232 0 0
0 19 2221 0 0
0 20 2175 0 0
0 20 2250 0 0
0 20 2211 0 0
0 20 2223 0 0
0 20 2063 0 0
0 20 2285 0 0
0 20 2370 0 0
0 20 2196 0 0
0 20 2146 0 0
0 21 2126 0 0
0 21 2115 0 0
0 21 2213 0 0
0 21 2189 0 0
0 21 2219 0 0
0 21 2282 0 0
0 21 2232 0 0
0 21 2121 0 0
0 21 2070 0 0
0 22 2089 0 0
0 22 2302 0 0
0 22 2182 0 0
0 22 2273 0 0
0 22 2245 0 0
0 22 2247 0 0
0 22 2141 0 0
0 22 2034 0 0
0 22 1303 0 0
0 22 0 0 0
0 22 0 0 0
0 22 0 0 0
0 22 0 0 0
