# dirty_pages redo_length page_writes xct_end updates
2160 47 2413 391 5401
4609 51 2641 535.5 9190
6353 56 2695 610.667 10697
7491 60 2573 633.25 9848
8433 64 2607 656.6 10469
9149 69 2608 659.833 9625
9809 73 2861 667.714 10653
10411 78 2832 674.875 10740
11061 82 2646 681.556 9997
11690 87 2818 690.7 10460
12249 91 2761 690.727 9402
12742 95 2564 689.5 9602
13240 99 2619 689.308 9177
13762 103 2643 691.071 9700
14221 108 2534 691.933 9810
14696 112 2546 693.812 10568
15185 117 2514 696.824 10472
15673 122 2635 701 11050
16138 126 2566 703.421 10252
16554 130 2711 703.8 10074
16979 135 2931 721.95 10813
17424 140 2632 724.8 9731
17781 144 2687 722.5 10808
18160 149 2400 724.4 10346
18543 153 2442 721.6 10042
18938 157 2717 725.65 10201
19291 162 2567 725.75 10276
19700 167 2430 728.5 10223
20037 171 2533 728.05 10301
20346 175 2633 725.75 9949
20705 180 2590 728.85 10513
21061 185 2619 731.8 9741
21402 189 2530 733.7 10041
21719 193 2746 734.95 10580
22022 198 2584 734.75 10130
22298 202 2527 735.25 10567
22569 207 2741 733.7 9932
22846 212 2819 732 10520
23135 216 2768 729.75 9831
23430 220 2483 727.85 8951
23700 224 2641 725.6 9821
23962 229 2504 724.9 10679
24223 234 2615 725.2 10166
24471 238 2493 722.05 9724
24716 242 2504 720.55 9440
24975 246 2627 718.55 9766
25252 251 2768 720.25 11100
25501 256 2639 718.6 10558
25747 260 2691 718.75 10142
25991 265 2615 717.7 10266
26243 270 2706 718.05 10814
26501 274 2902 718.05 10414
26721 279 3100 718.8 10494
26925 284 2873 717.5 10278
27165 288 2755 719.5 10689
27373 292 2624 717.6 10114
27596 297 2495 716.7 10340
27849 302 2401 718.6 10753
28084 307 2110 722.15 10736
28290 311 148 719.75 8900
28478 314 0 716.85 8953
27270 318 1457 717.4 9572
25501 323 2108 716.55 10064
23708 327 2234 720.15 10502
21898 332 2222 718.7 9310
20170 336 2245 715.6 9565
18615 341 2212 718.85 11177
17157 345 2029 715.75 9852
15681 349 2034 714.95 10334
14148 354 2144 716 10468
14275 358 350 707.2 8797
14294 362 1807 702.3 9256
14288 366 2066 701.5 10313
14267 370 2205 699.8 9487
14356 375 2286 701.55 10556
14381 379 2129 700.45 9226
14704 384 2048 700.25 9784
14978 388 2066 693.95 9552
15271 392 2129 690.6 9826
15419 396 2211 692.05 9596
15963 400 208 693.35 9780
16341 405 2084 693.45 9797
16724 409 2666 694.15 9795
17171 413 2542 694.55 10482
17640 418 2384 699.15 10409
18075 423 2390 702.45 10295
18491 427 2416 696.45 9958
18894 431 2195 697.8 10056
19341 436 2258 696.1 9851
19752 440 2592 698.05 10642
20161 445 2371 705 10153
20476 449 2208 708.3 9758
20902 454 2239 709 10155
21269 458 2352 712.3 10236
21567 462 2375 708.15 9838
21870 467 2368 711.15 10270
22245 472 2408 715.3 10778
22582 477 2312 720.95 10499
22901 481 2527 723.95 11036
23256 486 2473 726.2 10143
23871 490 2682 728.6 10205
24361 494 2542 728.25 10003
24756 499 2292 726.3 9709
25123 503 2384 722.3 9611
25507 508 2308 721.7 10242
25831 512 2380 719.2 9570
26185 516 2205 718.85 9611
26514 521 2384 719.65 10754
26862 525 2298 721.95 9944
27166 530 2291 716.2 9401
27452 534 2265 713.85 9674
27718 538 2443 711.5 9230
28026 543 2455 710.5 10822
28209 547 2336 708.3 10285
28423 552 2367 706.2 9444
28678 556 2451 704.3 9732
28964 560 2278 702.15 10402
29260 565 2467 702.7 10914
29487 570 2266 699.45 9729
29697 574 2401 699.35 9567
29972 578 2219 700.7 10255
30251 583 2340 700.75 10171
30485 587 2386 701.65 9877
30721 592 2259 704.05 10545
30971 597 2186 704.45 9961
31191 601 2301 704.4 9820
31437 605 2433 706.6 10279
31697 610 2233 706.3 10165
31918 614 2131 705.05 9787
32173 619 2768 710.45 11165
32418 624 2654 712.85 9939
32637 628 2507 714.6 10374
32862 632 2307 713.5 9251
33062 637 2239 714.25 10205
33265 642 2390 716.25 9904
33480 646 2237 717 9990
33688 650 2483 715.9 10241
33910 654 2343 712.7 9648
34122 659 2380 714.4 10083
34325 663 2514 714.55 9239
34550 668 2647 713.75 10387
34738 673 2206 713.9 10377
34897 677 2344 715.85 10101
35094 681 2255 714.75 9915
35288 685 2288 711.75 9536
35484 691 2497 717.4 10625
35664 695 2411 714.4 9762
35869 699 2329 714.75 10314
36070 704 2316 717.6 11047
36262 709 2181 714.35 10088
36441 713 2439 713.45 10439
36615 718 2419 714.45 9731
36812 723 2402 715.75 10504
37004 727 2470 717.45 10245
37157 731 2256 719.65 9890
37331 736 2198 719.9 9769
37485 741 2571 720.7 10602
37623 745 2335 721.7 10311
37780 750 2318 719.8 9865
37937 754 2381 720.5 9933
38066 758 2263 718.1 9337
38180 762 2460 716.15 10130
38302 767 2574 712.1 9350
38451 772 2930 713.15 10101
38600 776 2544 716.15 10408
37877 780 935 710.95 9458
36280 784 2083 713.8 9865
35062 789 2055 714.95 10083
35235 793 268 706.85 8093
33972 797 2047 705.2 9223
33019 801 2032 705.15 10136
32173 805 2141 703.75 9760
31289 810 2299 704.9 10169
30514 815 2234 704.6 10410
29701 819 2291 704.05 10397
28994 824 1987 701.45 9493
28333 828 2122 699.95 9740
27329 832 2102 696.95 9198
25967 836 2319 694.1 9467
24774 841 2125 695.75 10464
23079 845 2472 695.75 9862
22900 849 806 694.6 9360
22619 853 1672 694.4 8843
22305 858 2153 692.5 9617
22343 862 1984 690.35 9369
22483 866 2127 693.3 10341
22657 871 2158 693.3 10214
22696 875 2166 688.2 9373
23187 879 2019 693.45 9442
23766 883 2184 695.45 9442
24138 887 2143 693.45 9690
24357 892 2729 697.7 11097
