Linux 3.13.0-68-generic (ds-server2) 	04/09/2016 	_x86_64_	(24 CPU)

08:56:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:56:25 PM  all    1.21    0.00    2.84    2.05    0.00    0.00    0.00    0.00    0.00   93.90
08:56:26 PM  all    0.54    0.00    0.84    3.56    0.00    0.00    0.00    0.00    0.00   95.06
08:56:27 PM  all    0.42    0.00    1.63    3.44    0.00    0.00    0.00    0.00    0.00   94.51
08:56:28 PM  all    0.38    0.00    1.68    3.52    0.00    0.00    0.00    0.00    0.00   94.43
08:56:29 PM  all    0.38    0.00    1.09    3.31    0.00    0.00    0.00    0.00    0.00   95.22
08:56:30 PM  all    0.42    0.00    0.75    7.31    0.00    0.00    0.00    0.00    0.00   91.52
08:56:31 PM  all    0.33    0.00    1.42    8.10    0.00    0.00    0.00    0.00    0.00   90.15
08:56:32 PM  all    0.08    0.00    0.63    8.10    0.00    0.00    0.00    0.00    0.00   91.19
08:56:33 PM  all    0.42    0.00    0.67    8.06    0.00    0.00    0.00    0.00    0.00   90.86
08:56:34 PM  all    0.33    0.00    0.63    8.15    0.00    0.00    0.00    0.00    0.00   90.89
08:56:35 PM  all    0.38    0.00    1.34    8.10    0.00    0.00    0.00    0.00    0.00   90.19
08:56:36 PM  all    0.33    0.00    0.67    8.06    0.00    0.00    0.00    0.00    0.00   90.94
08:56:37 PM  all    0.38    0.00    1.34    8.10    0.00    0.00    0.00    0.00    0.00   90.18
08:56:38 PM  all    0.38    0.00    0.63    9.27    0.00    0.04    0.00    0.00    0.00   89.69
08:56:39 PM  all    0.33    0.00    1.34    9.87    0.00    0.00    0.00    0.00    0.00   88.46
08:56:40 PM  all    0.38    0.00    1.42    9.15    0.00    0.00    0.00    0.00    0.00   89.06
08:56:41 PM  all    0.33    0.00    0.75    9.76    0.00    0.00    0.00    0.00    0.00   89.15
08:56:42 PM  all    0.33    0.00    1.46    9.40    0.00    0.00    0.00    0.00    0.00   88.81
08:56:43 PM  all    0.50    0.00    0.88    5.48    0.00    0.00    0.00    0.00    0.00   93.14
08:56:44 PM  all    0.42    0.00    0.96    3.52    0.00    0.00    0.00    0.00    0.00   95.10
08:56:45 PM  all    0.42    0.00    1.92    3.55    0.00    0.00    0.00    0.00    0.00   94.11
08:56:46 PM  all    0.46    0.00    1.63    3.60    0.00    0.00    0.00    0.00    0.00   94.31
08:56:47 PM  all    0.13    0.00    1.76    3.60    0.00    0.00    0.00    0.00    0.00   94.52
08:56:48 PM  all    0.46    0.00    1.51    3.52    0.00    0.00    0.00    0.00    0.00   94.51
