# dirty_pages redo_length page_writes xct_end updates
2230 0 0 401 5657
6359 1 161 948 20963
8277 10 189 1131 21911
8772 20 1895 1228.5 21270
9629 29 1956 1291.2 21152
10340 38 1876 1325.67 21308
11835 46 79 1343.29 20426
12152 56 1911 1387.12 23144
12670 65 1833 1394.56 20170
13396 73 1681 1395.4 19448
14100 82 1807 1397.55 20054
15047 90 974 1404.92 20719
15333 99 1089 1414.38 21301
15445 108 1733 1415.36 19476
15844 118 1978 1434.93 23899
16158 126 1755 1432.56 19592
16449 135 1769 1431.88 20234
16679 144 1864 1437.33 21599
16548 153 1661 1441.84 20762
16832 162 990 1445.05 21350
16731 170 1759 1490.55 18459
17107 180 2020 1499.6 23071
17353 190 2094 1508.65 23592
17757 200 1893 1513.4 22585
18141 209 1818 1511.8 22239
18233 219 1918 1516.1 22632
17475 228 2978 1522 21929
18232 237 272 1512.95 20656
18150 246 1906 1520.15 22194
18314 256 1942 1530.85 21830
18579 266 1954 1539.45 22695
18904 276 1967 1549.6 23938
19220 286 2062 1560.35 23346
19580 296 2020 1576.3 25022
19498 307 1967 1575 23214
18595 315 3007 1577.85 20664
18999 324 641 1581.9 21288
18939 335 2011 1592.2 24179
19172 345 1991 1603.1 24003
19445 355 2003 1614.15 23711
19778 366 2009 1634.85 24363
19980 375 1993 1631.35 22595
20244 384 2015 1622.3 21086
20126 394 2009 1623.15 23060
19013 403 3628 1625.9 22392
19570 413 537 1628.35 23048
19467 424 1986 1635.2 23965
19621 433 1992 1643 23043
19775 443 2033 1645.85 23018
19956 453 2064 1648.3 23907
20075 463 1951 1647.5 22114
20454 473 1977 1641.95 22363
20400 482 1952 1633.65 22652
20095 491 1917 1617.2 20577
19668 501 2789 1614.45 22771
19548 488 1670 1620.4 22177
19518 497 1971 1624.15 22132
19680 506 1826 1607.9 19789
19863 516 1975 1600.9 23138
20089 525 1980 1592.6 22564
20216 535 1982 1585.75 22557
20521 545 1961 1584.45 23067
20470 554 1978 1589.75 22497
18919 564 4400 1585.25 22221
19747 573 212 1585.45 21511
