0 restore_end page_write
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
565 0 11159
1635 315 15169
1747 379 1141
1747 0 0
1747 0 0
3578 772 15810
5015 387 10611
8178 635 17963
10651 409 12215
13411 477 12264
16976 452 13393
21099 480 14059
26542 592 16623
30422 400 10604
37350 625 16406
42025 413 10003
50113 177 15166
56229 37 10130
61956 406 8506
67317 364 7605
76403 630 11768
83729 484 7987
91714 509 8017
97796 384 5733
104876 439 6311
115054 634 8556
121076 444 4555
129573 524 5989
138034 518 5678
143551 560 3493
143551 2666 0
143551 2817 0
143551 2209 0
143551 2143 0
143551 2070 0
143551 1971 0
143551 1853 0
143551 1209 0
143551 13 0
143551 7 0
143551 8 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 9 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 9 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 8 0
143551 7 0
143551 8 0
143551 8 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 9 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
143551 8 0
143551 7 0
143551 8 0
143551 7 0
143551 8 0
