Linux 3.13.0-68-generic (ds-server2) 	10/12/2016 	_x86_64_	(24 CPU)

08:42:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:42:25 PM  all    0.50    0.00    2.79    4.38    0.00    0.12    0.00    0.00    0.00   92.21
08:42:26 PM  all    0.04    0.00    4.26    3.26    0.00    0.04    0.00    0.00    0.00   92.40
08:42:27 PM  all    0.67    0.00    3.88    3.38    0.00    0.04    0.00    0.00    0.00   92.03
08:42:28 PM  all    1.21    0.00    1.42    5.31    0.00    0.00    0.00    0.00    0.00   92.06
08:42:29 PM  all    0.21    0.00    0.96    7.58    0.00    0.00    0.00    0.00    0.00   91.25
08:42:30 PM  all    6.22    0.00   19.76   26.41    0.00    0.08    0.00    0.00    0.00   47.52
08:42:31 PM  all    3.16    0.00    5.20   24.22    0.00    0.09    0.00    0.00    0.00   67.33
08:42:32 PM  all   27.58    0.00    6.82   24.32    0.00    0.04    0.00    0.00    0.00   41.23
08:42:33 PM  all    6.33    0.00    6.04   15.05    0.00    0.04    0.00    0.00    0.00   72.55
08:42:34 PM  all    8.67    0.00    6.77   18.34    0.00    0.17    0.00    0.00    0.00   66.05
08:42:35 PM  all   10.98    0.00    5.74   17.74    0.00    0.17    0.00    0.00    0.00   65.37
08:42:36 PM  all   12.24    0.00   10.38   24.73    0.00    0.26    0.00    0.00    0.00   52.40
08:42:37 PM  all    8.12    0.00    8.16   15.44    0.00    0.17    0.00    0.00    0.00   68.10
08:42:38 PM  all   17.17    0.00    7.16   14.88    0.00    0.17    0.00    0.00    0.00   60.62
08:42:39 PM  all   28.46    0.00    5.53   12.29    0.00    0.04    0.00    0.00    0.00   53.68
08:42:40 PM  all   25.81    0.00    6.78   12.12    0.00    0.04    0.00    0.00    0.00   55.25
08:42:41 PM  all   28.90    0.00    6.67   18.78    0.00    0.21    0.00    0.00    0.00   45.44
08:42:42 PM  all   19.75    0.00    7.38   14.84    0.00    0.17    0.00    0.00    0.00   57.86
08:42:43 PM  all   19.11    0.00    8.46   14.25    0.00    0.17    0.00    0.00    0.00   58.01
08:42:44 PM  all   23.86    0.00    6.38   10.68    0.00    0.17    0.00    0.00    0.00   58.91
08:42:45 PM  all   19.26    0.00    8.15   11.36    0.00    0.08    0.00    0.00    0.00   61.13
08:42:46 PM  all   19.74    0.00    6.42   11.78    0.00    0.13    0.00    0.00    0.00   61.93
08:42:47 PM  all   13.40    0.00    6.10   16.14    0.00    0.26    0.00    0.00    0.00   64.10
08:42:48 PM  all    9.77    0.00   15.51    7.48    0.00    0.13    0.00    0.00    0.00   67.11
08:42:49 PM  all   18.69    0.00    4.92   12.70    0.00    0.13    0.00    0.00    0.00   63.56
08:42:50 PM  all    8.68    0.00    8.26   10.25    0.00    0.17    0.00    0.00    0.00   72.64
08:42:51 PM  all   12.97    0.00    6.21    8.80    0.00    0.17    0.00    0.00    0.00   71.84
08:42:52 PM  all   23.37    0.00    7.83    7.20    0.00    0.08    0.00    0.00    0.00   61.52
08:42:53 PM  all   12.79    0.00    6.12    7.09    0.00    0.08    0.00    0.00    0.00   73.92
08:42:54 PM  all   19.47    0.00    5.85    5.97    0.00    0.04    0.00    0.00    0.00   68.67
08:42:55 PM  all   11.23    0.00    7.88   10.11    0.00    0.34    0.00    0.00    0.00   70.44
