59 GB	59 GB	59 GB	59 GB	
0.644076	1.05019	0.731063	0.858084	
1.29367	2.38828	1.56691	1.94937	
1.78438	2.95997	3.77694	2.50736	
2.10387	3.43643	4.66203	2.87134	
2.38235	3.78928	5.09879	3.13218	
2.64484	4.04942	5.36	3.57136	
2.87124	4.34651	5.7217	3.95787	
3.08489	4.64955	5.97236	4.27751	
3.29481	4.93414	6.18757	4.4846	
3.4492	5.19954	6.35514	4.65296	
3.57107	5.40485	6.54253	4.92016	
3.68895	5.59081	6.69385	5.09208	
3.80055	5.82168	6.87977	5.35792	
3.91098	6.0247	7.01966	5.48218	
4.01024	6.25855	7.1496	5.64928	
4.10209	6.37432	7.30534	5.78191	
4.20045	6.56096	7.47931	5.89755	
4.28989	6.70034	7.58402	6.05438	
4.37728	6.82014	7.71121	6.19228	
4.46203	6.96138	7.81782	6.30648	
3.90698	6.02658	7.23372	5.59787	
3.34029	4.82896	6.52767	4.61569	
2.93291	4.41966	4.40616	4.15569	
2.69364	4.04526	3.67364	3.95871	
2.50156	3.79395	3.33435	3.80025	
2.32204	3.64787	3.18727	3.46667	
2.17905	3.46182	2.92711	3.20652	
2.04363	3.25623	2.7085	3.00197	
1.92246	3.06177	2.52286	2.90387	
1.86062	2.82397	2.3899	2.76853	
1.77213	2.64923	2.2317	2.53087	
1.69071	2.49228	2.10821	2.38526	
1.61062	2.29083	1.94892	2.14686	
1.53509	2.115	1.83845	2.0497	
1.4694	1.91215	1.73825	1.90897	
1.40874	1.83354	1.61289	1.80408	
1.34052	1.67867	1.4679	1.71518	
1.28132	1.56541	1.3914	1.59171	
1.22512	1.4765	1.29286	1.48221	
1.1728	1.36595	1.21601	1.39645	
1.1172	1.28137	1.1003	1.27429	
1.06697	1.17245	0.998399	1.19312	
1.01484	1.03884	0.936948	1.12435	
0.962055	0.967107	0.815556	0.986019	
0.911329	0.895821	0.745157	0.912133	
0.860907	0.810712	0.659417	0.83549	
0.809151	0.73066	0.586349	0.744421	
0.764013	0.664623	0.582333	0.656042	
0.706781	0.605571	0.587505	0.574501	
0.653364	0.608264	0.582127	0.569549	
0.652932	0.607675	0.580939	0.581364	
0.65177	0.609451	0.58066	0.585906	
0.652539	0.610642	0.581983	0.586987	
0.65096	0.61508	0.58048	0.587998	
0.648453	0.615433	0.579003	0.590575	
0.650111	0.609308	0.577429	0.600089	
0.651935	0.608867	0.576539	0.607773	
0.654314	0.61937	0.580229	0.611947	
0.657368	0.622633	0.578732	0.612212	
0.65744	0.621844	0.577518	0.613356	
0.655115	0.620765	0.574125	0.613944	
0.658076	0.620736	0.578337	0.626129	
0.665528	0.630158	174.636	0.623973	
0.669314	0.631693	174.697	0.624625	
0.663746	101.38	174.772	49.4282	
196.919	101.467	174.828	49.5078	
196.975	101.541	174.891	49.5568	
197.029	101.613	174.949	49.62	
197.094	101.667	175	49.6908	
197.147	101.733	175.07	49.7651	
197.208	101.8	175.133	49.8106	
197.264	101.874	175.192	49.8704	
197.327	101.935	175.253	49.9275	
197.377	102.004	175.319	49.9833	
197.43	102.073	175.377	50.0381	
197.492	102.149	175.432	50.089	
197.553	102.219	175.486	50.1478	
197.609	102.283	175.544	50.1953	
197.664	102.342	175.605	50.2516	
197.723	102.4	175.655	50.3035	
197.773	102.47	175.706	50.3595	
197.82	102.536	175.757	50.4153	
197.864	102.596	1.76071	50.4816	
197.922	102.665	1.74714	50.5269	
197.983	1.97876	1.74187	1.77677	
1.78719	1.95295	1.73989	1.76328	
1.78592	1.94819	1.74989	1.77982	
1.78478	1.93991	1.77215	1.78024	
1.77181	1.94559	1.77809	1.76535	
1.76102	1.94278	1.76353	1.74456	
1.75692	1.95231	1.75461	1.73982	
1.7639	1.93721	1.74753	1.7328	
1.76028	1.92602	1.7513	1.73628	
1.76755	1.91043	?	1.7417	
1.76212	1.89811	?	1.75151	
1.75044	
