Linux 3.13.0-68-generic (ds-server2) 	10/14/2016 	_x86_64_	(24 CPU)

05:53:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:53:49 PM  all    1.13    0.00    2.83    0.38    0.00    0.00    0.00    0.00    0.00   95.66
05:53:50 PM  all    1.00    0.00    2.12    1.21    0.00    0.04    0.00    0.00    0.00   95.62
05:53:51 PM  all    4.18    0.00    5.40   13.92    0.00    0.17    0.00    0.00    0.00   76.33
05:53:52 PM  all    6.27    0.00   11.73   37.09    0.00    0.26    0.00    0.00    0.00   44.65
05:53:53 PM  all    3.57    0.00    9.12   27.45    0.00    0.09    0.00    0.00    0.00   59.77
05:53:54 PM  all    6.03    0.00    9.40   29.06    0.00    0.13    0.00    0.00    0.00   55.38
05:53:55 PM  all    8.09    0.00    9.45   29.24    0.00    0.21    0.00    0.00    0.00   53.01
05:53:56 PM  all   16.92    0.00    6.23   24.72    0.00    0.17    0.00    0.00    0.00   51.95
05:53:57 PM  all    9.23    0.00    9.23   27.82    0.00    0.09    0.00    0.00    0.00   53.63
05:53:58 PM  all   13.41    0.00    9.13   24.96    0.00    0.17    0.00    0.00    0.00   52.33
05:53:59 PM  all    9.84    0.00    7.02   26.78    0.00    0.17    0.00    0.00    0.00   56.20
05:54:00 PM  all   10.07    0.00    8.65   24.55    0.00    0.13    0.00    0.00    0.00   56.60
05:54:01 PM  all    8.47    0.00    8.47   23.31    0.00    0.17    0.00    0.00    0.00   59.58
05:54:02 PM  all    9.54    0.00    7.60   23.00    0.00    0.39    0.00    0.00    0.00   59.47
05:54:03 PM  all   10.01    0.00    9.13   21.92    0.00    0.13    0.00    0.00    0.00   58.81
05:54:04 PM  all    9.17    0.00    7.96   20.64    0.00    0.30    0.00    0.00    0.00   61.92
05:54:05 PM  all   10.47    0.00    7.91   18.26    0.00    0.26    0.00    0.00    0.00   63.10
05:54:06 PM  all   11.89    0.00    6.78   16.50    0.00    0.21    0.00    0.00    0.00   64.62
05:54:07 PM  all   18.04    0.00    5.83   12.63    0.00    0.21    0.00    0.00    0.00   63.29
05:54:08 PM  all   12.87    0.00    6.65   11.88    0.00    0.09    0.00    0.00    0.00   68.51
05:54:09 PM  all   14.63    0.00    6.53   10.62    0.00    0.21    0.00    0.00    0.00   68.00
05:54:10 PM  all   11.77    0.00    4.82    9.55    0.00    0.13    0.00    0.00    0.00   73.73
05:54:11 PM  all   14.40    0.00    5.11    9.11    0.00    0.26    0.00    0.00    0.00   71.12
05:54:12 PM  all   11.56    0.00    6.10    8.87    0.00    0.21    0.00    0.00    0.00   73.26
05:54:13 PM  all   10.95    0.00    4.92    7.85    0.00    0.09    0.00    0.00    0.00   76.20
05:54:14 PM  all   11.94    0.00    5.48    7.06    0.00    0.09    0.00    0.00    0.00   75.43
05:54:15 PM  all   15.69    0.00    6.23    6.11    0.00    0.13    0.00    0.00    0.00   71.84
05:54:16 PM  all   14.21    0.00    6.60    6.00    0.00    0.04    0.00    0.00    0.00   73.15
05:54:17 PM  all   12.38    0.00    5.85    5.85    0.00    0.13    0.00    0.00    0.00   75.80
05:54:18 PM  all   11.54    0.00    5.04    5.00    0.00    0.17    0.00    0.00    0.00   78.25
05:54:19 PM  all   11.71    0.00    5.24    4.73    0.00    0.09    0.00    0.00    0.00   78.24
05:54:20 PM  all   12.98    0.00    4.92    4.24    0.00    0.04    0.00    0.00    0.00   77.81
05:54:21 PM  all   11.43    0.00    4.90    4.18    0.00    0.13    0.00    0.00    0.00   79.36
05:54:22 PM  all   13.74    0.00    5.50    4.10    0.00    0.04    0.00    0.00    0.00   76.62
05:54:23 PM  all   13.77    0.00    8.17    3.81    0.00    0.09    0.00    0.00    0.00   74.17
