5 GB	30 GB	25 GB	20 GB	15 GB	10 GB	
0.519067	0.456901	0.594456	0.550995	0.526311	0.514153	
1.19864	0.992048	1.10414	1.05158	1.27524	1.2202	
1.66435	1.42073	1.43523	1.41975	1.78411	1.73198	
1.97974	1.70694	1.7018	1.69801	2.12251	2.07435	
2.26729	1.98663	1.98462	1.95084	2.39911	2.34307	
2.51612	2.24366	2.19703	2.18253	2.67062	2.58786	
2.73099	2.45724	2.41855	2.39653	2.90308	2.81891	
2.93346	2.65171	2.6022	2.59033	3.10779	3.01525	
3.11686	2.82899	2.77119	2.75585	3.3003	3.19397	
3.27969	2.99201	2.91796	2.90682	3.49349	3.36678	
3.41878	3.13446	3.05241	3.03731	3.67167	3.51182	
3.55699	3.26353	3.17304	3.15782	3.80722	3.64872	
3.68883	3.38739	3.2885	3.28539	3.94104	3.77523	
3.83774	3.50562	3.3901	3.40604	4.05323	3.8965	
3.95084	3.61675	3.50234	3.51201	4.16292	4.00933	
4.05987	3.72223	3.60002	3.60773	4.26292	4.10788	
4.15607	3.83108	3.6931	3.69696	4.35997	4.20788	
4.25443	3.93058	3.7948	3.79432	4.45824	4.3077	
4.35218	4.02561	3.90077	3.89186	4.55704	4.4069	
4.45435	4.12186	3.98729	3.98759	4.64637	4.50625	
4.0312	3.75802	3.4816	3.53611	4.20812	4.09136	
3.44738	3.31863	3.06775	3.13736	3.54722	3.47694	
3.07337	2.98424	2.82833	2.86574	3.12469	3.05438	
2.85128	2.78985	2.64369	2.67764	2.87417	2.79594	
2.65759	2.59939	2.44567	2.52212	2.68656	2.61528	
2.50177	2.4202	2.32667	2.37834	2.49635	2.46681	
2.3766	2.28874	2.19092	2.26037	2.34632	2.31545	
2.26796	2.17912	2.09386	2.15726	2.22343	2.20169	
2.1794	2.09271	2.00903	2.08386	2.11702	2.10841	
2.10799	2.02175	1.94503	2.02306	2.00602	2.01826	
2.06012	1.97465	1.89259	1.98314	1.90836	1.95183	
2.01358	1.93734	1.85344	1.94819	1.84999	1.89412	
1.96103	1.8894	1.81789	1.91241	1.80242	1.84376	
1.8887	1.84952	1.80457	1.88521	1.77229	2.09198	
1.85442	1.82212	1.77621	2.01545	1.7427	2.05765	
1.82708	1.79765	1.76106	2.00806	1.72046	2.04156	
