Linux 3.13.0-68-generic (ds-server2) 	10/19/2016 	_x86_64_	(24 CPU)

02:36:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:36:49 AM  all    1.33    0.00    2.88    0.12    0.00    0.00    0.00    0.00    0.00   95.67
02:36:50 AM  all    0.79    0.00    2.59    1.00    0.00    0.00    0.00    0.00    0.00   95.62
02:36:51 AM  all    0.25    0.00    4.13    0.00    0.00    0.00    0.00    0.00    0.00   95.62
02:36:52 AM  all   10.69    0.00    6.00   16.56    0.00    0.21    0.00    0.00    0.00   66.54
02:36:53 AM  all    5.38    0.00    9.47   32.69    0.00    0.17    0.00    0.00    0.00   52.28
02:36:54 AM  all    4.57    0.00    6.58   22.62    0.00    0.09    0.00    0.00    0.00   66.14
02:36:55 AM  all    6.14    0.00    6.14   23.30    0.00    0.17    0.00    0.00    0.00   64.25
02:36:56 AM  all    7.21    0.00    8.84   25.87    0.00    0.13    0.00    0.00    0.00   57.96
02:36:57 AM  all   15.21    0.00    8.67   23.45    0.00    0.21    0.00    0.00    0.00   52.46
02:36:58 AM  all   13.20    0.00    8.26   22.78    0.00    0.26    0.00    0.00    0.00   55.51
02:36:59 AM  all    7.53    0.00    8.43   23.31    0.00    0.17    0.00    0.00    0.00   60.56
02:37:00 AM  all   10.64    0.00    8.34   23.57    0.00    0.21    0.00    0.00    0.00   57.23
02:37:01 AM  all   12.02    0.00    7.92   25.17    0.00    0.17    0.00    0.00    0.00   54.71
02:37:02 AM  all    7.50    0.00   10.37   24.90    0.00    0.21    0.00    0.00    0.00   57.01
02:37:03 AM  all    8.98    0.00   10.17   25.53    0.00    0.34    0.00    0.00    0.00   54.98
02:37:04 AM  all   20.97    0.00    8.85   24.07    0.00    0.13    0.00    0.00    0.00   45.98
02:37:05 AM  all   10.52    0.00    8.86   22.18    0.00    0.38    0.00    0.00    0.00   58.06
02:37:06 AM  all   12.06    0.00    8.17   22.17    0.00    0.22    0.00    0.00    0.00   57.39
02:37:07 AM  all   10.99    0.00    7.93   20.51    0.00    0.26    0.00    0.00    0.00   60.32
02:37:08 AM  all    9.89    0.00    8.77   19.73    0.00    0.17    0.00    0.00    0.00   61.44
02:37:09 AM  all   11.33    0.00    8.38   17.36    0.00    0.17    0.00    0.00    0.00   62.76
02:37:10 AM  all   12.03    0.00    7.21   15.40    0.00    0.21    0.00    0.00    0.00   65.15
02:37:11 AM  all   10.35    0.00    7.93   14.55    0.00    0.25    0.00    0.00    0.00   66.91
02:37:12 AM  all   10.76    0.00    6.74   13.06    0.00    0.21    0.00    0.00    0.00   69.23
02:37:13 AM  all   11.40    0.00    5.76   12.86    0.00    0.34    0.00    0.00    0.00   69.63
02:37:14 AM  all   10.95    0.00    6.09   10.65    0.00    0.13    0.00    0.00    0.00   72.19
02:37:15 AM  all   13.81    0.00    6.73    9.59    0.00    0.21    0.00    0.00    0.00   69.65
02:37:16 AM  all   13.43    0.00    7.39    9.43    0.00    0.13    0.00    0.00    0.00   69.61
02:37:17 AM  all   12.75    0.00    6.27    8.57    0.00    0.13    0.00    0.00    0.00   72.28
02:37:18 AM  all   12.09    0.00    6.02    7.17    0.00    0.17    0.00    0.00    0.00   74.54
02:37:19 AM  all   10.92    0.00    5.23    6.63    0.00    0.25    0.00    0.00    0.00   76.98
02:37:20 AM  all   13.17    0.00    5.21    5.80    0.00    0.04    0.00    0.00    0.00   75.78
02:37:21 AM  all   11.91    0.00    5.51    5.93    0.00    0.08    0.00    0.00    0.00   76.57
02:37:22 AM  all   13.40    0.00    6.34    5.32    0.00    0.09    0.00    0.00    0.00   74.85
02:37:23 AM  all   13.44    0.00    6.25    5.10    0.00    0.09    0.00    0.00    0.00   75.13
02:37:24 AM  all   13.47    0.00    6.10    5.05    0.00    0.13    0.00    0.00    0.00   75.25
02:37:25 AM  all   11.92    0.00    4.81    4.26    0.00    0.21    0.00    0.00    0.00   78.80
02:37:26 AM  all   11.63    0.00    5.30    4.40    0.00    0.21    0.00    0.00    0.00   78.45
02:37:27 AM  all   12.32    0.00    3.74    4.04    0.00    0.25    0.00    0.00    0.00   79.64
02:37:28 AM  all   12.63    0.00    4.25    3.79    0.00    0.13    0.00    0.00    0.00   79.20
02:37:29 AM  all   13.02    0.00    4.01    3.80    0.00    0.04    0.00    0.00    0.00   79.13
02:37:30 AM  all   12.70    0.00    6.58    3.63    0.00    0.08    0.00    0.00    0.00   77.00
02:37:31 AM  all   13.69    0.00    6.29    3.42    0.00    0.13    0.00    0.00    0.00   76.47
02:37:32 AM  all   13.89    0.00    4.09    4.09    0.00    0.04    0.00    0.00    0.00   77.88
02:37:33 AM  all   13.73    0.00    4.26    6.06    0.00    0.09    0.00    0.00    0.00   75.86
02:37:34 AM  all   13.01    0.00    4.29    6.27    0.00    0.04    0.00    0.00    0.00   76.38
02:37:35 AM  all   12.71    0.00    4.92    6.12    0.00    0.04    0.00    0.00    0.00   76.20
