5 GB	40 GB	35 GB	30 GB	25 GB	20 GB	15 GB	10 GB	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
4.8	0	0	0	0	4.8	0	0	
6.4	0	1.6	3.2	4.8	8	1.6	4.8	
9.6	3.2	12.8	11.2	12.8	9.6	4.8	8	
12.8	11.2	20.8	20.8	22.4	14.4	9.6	12.8	
16	17.6	30.4	32	30.4	19.2	11.2	17.6	
19.2	25.6	41.6	43.2	41.6	20.8	14.4	22.4	
22.4	33.6	51.2	52.8	51.2	25.6	17.6	25.6	
24	41.6	59.2	62.4	62.4	27.2	20.8	30.4	
28.8	49.6	70.4	70.4	72	32	24	33.6	
30.4	57.6	80	81.6	84.8	35.2	27.2	38.4	
33.6	68.8	89.6	91.2	94.4	38.4	30.4	43.2	
38.4	78.4	99.2	99.2	105.6	41.6	36.8	48	
40	88	108.8	107.2	116.8	46.4	40	52.8	
43.2	97.6	118.4	118.4	126.4	49.6	43.2	57.6	
48	108.8	128	124.8	137.6	54.4	49.6	60.8	
51.2	118.4	137.6	136	145.6	56	54.4	64	
54.4	129.6	148.8	144	156.8	59.2	56	68.8	
56	139.2	158.4	153.6	164.8	62.4	62.4	73.6	
62.4	148.8	169.6	163.2	176	65.6	65.6	78.4	
67.2	158.4	176	172.8	188.8	68.8	68.8	83.2	
67.2	169.6	187.2	185.6	198.4	67.2	72	88	
72	179.2	196.8	192	204.8	67.2	76.8	86.4	
72	188.8	196.8	193.6	206.4	68.8	83.2	86.4	
75.2	190.4	200	195.2	208	68.8	83.2	84.8	
78.4	195.2	200	193.6	211.2	67.2	84.8	86.4	
80	198.4	198.4	192	209.6	72	84.8	86.4	
80	201.6	200	193.6	209.6	67.2	86.4	88	
86.4	204.8	201.6	195.2	209.6	72	86.4	88	
88	208	200	198.4	211.2	75.2	84.8	89.6	
91.2	211.2	201.6	196.8	208	81.6	86.4	88	
92.8	211.2	203.2	198.4	209.6	84.8	89.6	88	
92.8	212.8	203.2	203.2	208	89.6	86.4	88	
94.4	216	204.8	206.4	208	88	86.4	86.4	
94.4	217.6	204.8	204.8	208	89.6	88	86.4	
94.4	217.6	203.2	209.6	208	89.6	88	88	
96	217.6	203.2	209.6	211.2	92.8	91.2	89.6	
96	219.2	203.2	211.2	209.6	97.6	97.6	88	
102.4	219.2	203.2	212.8	211.2	99.2	96	88	
105.6	219.2	203.2	211.2	211.2	100.8	99.2	88	
107.2	222.4	208	211.2	211.2	105.6	104	86.4	
108.8	220.8	209.6	208	214.4	112	108.8	86.4	
108.8	222.4	209.6	211.2	212.8	116.8	110.4	88	
107.2	220.8	208	212.8	216	123.2	112	89.6	
107.2	222.4	209.6	212.8	216	128	112	91.2	
105.6	220.8	211.2	216	216	134.4	113.6	91.2	
107.2	222.4	214.4	217.6	217.6	137.6	116.8	91.2	
113.6	222.4	214.4	219.2	220.8	145.6	118.4	91.2	
115.2	224	217.6	220.8	220.8	147.2	120	91.2	
120	224	220.8	222.4	222.4	150.4	121.6	91.2	
124.8	222.4	220.8	224	224	150.4	121.6	92.8	
131.2	224	222.4	225.6	220.8	153.6	120	92.8	
136	224	224	224	217.6	148.8	124.8	92.8	
144	224	225.6	225.6	220.8	153.6	131.2	94.4	
150.4	224	227.2	227.2	224	155.2	136	94.4	
153.6	225.6	230.4	228.8	224	156.8	139.2	94.4	
156.8	225.6	233.6	227.2	225.6	161.6	140.8	94.4	
161.6	224	233.6	228.8	227.2	161.6	144	96	
164.8	228.8	236.8	228.8	228.8	168	148.8	96	
163.2	230.4	236.8	233.6	230.4	171.2	150.4	96	
161.6	230.4	238.4	236.8	228.8	171.2	150.4	97.6	
160	232	236.8	238.4	228.8	168	150.4	99.2	
163.2	232	238.4	238.4	230.4	166.4	152	99.2	
169.6	232	240	238.4	228.8	166.4	150.4	99.2	
171.2	233.6	240	240	230.4	164.8	156.8	99.2	
172.8	235.2	240	238.4	230.4	166.4	161.6	97.6	
174.4	235.2	240	240	228.8	168	163.2	99.2	
176	235.2	240	238.4	228.8	171.2	163.2	99.2	
174.4	235.2	240	238.4	228.8	176	164.8	99.2	
174.4	236.8	238.4	236.8	228.8	176	171.2	99.2	
176	238.4	238.4	238.4	228.8	177.6	176	97.6	
172.8	238.4	238.4	236.8	233.6	179.2	182.4	99.2	
172.8	238.4	238.4	238.4	238.4	188.8	185.6	99.2	
169.6	238.4	238.4	236.8	236.8	188.8	188.8	99.2	
169.6	238.4	238.4	236.8	236.8	187.2	190.4	100.8	
171.2	236.8	240	236.8	236.8	188.8	193.6	99.2	
174.4	240	238.4	238.4	236.8	187.2	195.2	99.2	
177.6	240	240	240	236.8	187.2	196.8	99.2	
177.6	236.8	238.4	240	236.8	185.6	201.6	99.2	
180.8	236.8	240	240	236.8	187.2	204.8	99.2	
187.2	235.2	240	238.4	236.8	190.4	208	100.8	
193.6	235.2	240	240	235.2	192	211.2	99.2	
195.2	236.8	240	238.4	236.8	192	208	99.2	
198.4	238.4	240	241.6	235.2	188.8	208	99.2	
200	236.8	238.4	240	235.2	190.4	203.2	99.2	
203.2	238.4	238.4	241.6	235.2	190.4	200	99.2	
206.4	235.2	238.4	240	238.4	188.8	198.4	97.6	
206.4	238.4	238.4	241.6	236.8	185.6	198.4	97.6	
209.6	236.8	238.4	240	236.8	182.4	200	97.6	
208	236.8	238.4	241.6	236.8	182.4	200	97.6	
208	236.8	240	241.6	236.8	180.8	198.4	97.6	
211.2	235.2	240	241.6	235.2	180.8	198.4	96	
212.8	236.8	240	241.6	235.2	177.6	196.8	96	
212.8	236.8	238.4	241.6	233.6	180.8	192	97.6	
212.8	236.8	240	243.2	233.6	184	188.8	96	
214.4	238.4	235.2	241.6	233.6	182.4	185.6	97.6	
212.8	236.8	235.2	243.2	233.6	180.8	184	97.6	
206.4	236.8	233.6	241.6	233.6	180.8	179.2	97.6	
204.8	238.4	233.6	243.2	235.2	180.8	169.6	97.6	
203.2	238.4	233.6	243.2	233.6	179.2	168	97.6	
198.4	240	232	243.2	233.6	176	166.4	94.4	
196.8	240	233.6	241.6	233.6	174.4	164.8	96	
195.2	240	232	243.2	232	176	168	96	
193.6	238.4	232	240	233.6	177.6	166.4	96	
195.2	240	232	241.6	230.4	176	168	96	
196.8	238.4	232	240	230.4	172.8	169.6	96	
195.2	241.6	230.4	241.6	228.8	172.8	174.4	96	
193.6	238.4	230.4	240	227.2	171.2	177.6	97.6	
192	240	228.8	241.6	227.2	169.6	182.4	97.6	
192	238.4	228.8	240	225.6	166.4	180.8	96	
188.8	240	227.2	240	227.2	164.8	180.8	99.2	
187.2	240	225.6	241.6	227.2	163.2	180.8	97.6	
188.8	240	225.6	240	227.2	163.2	182.4	97.6	
192	238.4	225.6	241.6	227.2	160	185.6	96	
192	240	224	238.4	225.6	160	188.8	97.6	
190.4	238.4	225.6	241.6	225.6	164.8	182.4	97.6	
188.8	236.8	225.6	240	224	166.4	182.4	97.6	
192	240	225.6	240	224	164.8	182.4	97.6	
190.4	238.4	227.2	240	220.8	163.2	184	97.6	
188.8	240	225.6	238.4	222.4	163.2	180.8	99.2	
188.8	238.4	225.6	238.4	220.8	163.2	180.8	100.8	
187.2	238.4	224	238.4	222.4	163.2	180.8	99.2	
187.2	238.4	222.4	236.8	220.8	163.2	182.4	99.2	
185.6	238.4	224	236.8	219.2	163.2	185.6	100.8	
185.6	238.4	222.4	235.2	220.8	166.4	188.8	100.8	
185.6	238.4	224	235.2	222.4	166.4	192	100.8	
187.2	238.4	224	235.2	220.8	164.8	192	102.4	
188.8	238.4	224	233.6	222.4	166.4	192	100.8	
188.8	238.4	224	233.6	222.4	164.8	190.4	100.8	
188.8	238.4	224	233.6	222.4	164.8	192	102.4	
188.8	238.4	224	232	222.4	161.6	192	99.2	
188.8	236.8	224	230.4	222.4	158.4	188.8	102.4	
185.6	235.2	224	230.4	220.8	156.8	187.2	102.4	
180.8	236.8	225.6	228.8	219.2	155.2	182.4	102.4	
179.2	235.2	224	232	219.2	153.6	176	100.8	
177.6	235.2	225.6	228.8	219.2	150.4	182.4	100.8	
177.6	238.4	227.2	228.8	220.8	148.8	180.8	100.8	
179.2	235.2	227.2	228.8	222.4	148.8	179.2	100.8	
182.4	236.8	225.6	227.2	222.4	145.6	180.8	100.8	
