Linux 3.13.0-68-generic (ds-server2) 	07/22/2016 	_x86_64_	(24 CPU)

09:06:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:06:56 PM  all    0.58    0.00    1.38    3.50    0.00    0.00    0.00    0.00    0.00   94.53
09:06:57 PM  all    1.96    0.00    0.13    2.13    0.00    0.04    0.00    0.00    0.00   95.75
09:06:58 PM  all    1.93    0.00    2.81    1.93    0.00    0.04    0.00    0.00    0.00   93.30
09:06:59 PM  all    5.85    0.00   11.07   45.95    0.00    0.38    0.00    0.00    0.00   36.74
09:07:00 PM  all    7.00    0.00    7.43   21.26    0.00    0.17    0.00    0.00    0.00   64.13
09:07:01 PM  all   11.29    0.00    7.70   21.81    0.00    0.30    0.00    0.00    0.00   58.90
09:07:02 PM  all   15.61    0.00    8.28   21.22    0.00    0.09    0.00    0.00    0.00   54.81
09:07:03 PM  all   29.55    0.00    5.29   15.45    0.00    0.13    0.00    0.00    0.00   49.58
09:07:04 PM  all   14.25    0.00    9.50   21.80    0.00    0.34    0.00    0.00    0.00   54.11
09:07:05 PM  all   39.18    0.00    6.24   11.43    0.00    0.13    0.00    0.00    0.00   43.03
09:07:06 PM  all   25.44    0.00    5.85   16.43    0.00    0.30    0.00    0.00    0.00   51.98
09:07:07 PM  all   15.77    0.00    6.96   26.21    0.00    0.34    0.00    0.00    0.00   50.71
09:07:08 PM  all   15.43    0.00    6.27   24.04    0.00    0.30    0.00    0.00    0.00   53.96
09:07:09 PM  all   16.76    0.00    5.34   23.77    0.00    0.17    0.00    0.00    0.00   53.95
09:07:10 PM  all   42.58    0.00    4.25   11.60    0.00    0.13    0.00    0.00    0.00   41.45
09:07:11 PM  all    6.40    0.00    5.32   24.39    0.00    0.30    0.00    0.00    0.00   63.59
09:07:12 PM  all   13.75    0.00    6.57   19.20    0.00    0.17    0.00    0.00    0.00   60.31
09:07:13 PM  all   11.18    0.00    7.01   15.64    0.00    0.17    0.00    0.00    0.00   66.00
09:07:14 PM  all   15.52    0.00    5.38   11.70    0.00    0.47    0.00    0.00    0.00   66.94
09:07:15 PM  all   15.56    0.00    7.74    9.77    0.00    0.17    0.00    0.00    0.00   66.77
09:07:16 PM  all   12.74    0.00    5.64    9.79    0.00    0.13    0.00    0.00    0.00   71.70
09:07:17 PM  all    9.29    0.00    4.48   10.24    0.00    0.09    0.00    0.00    0.00   75.90
09:07:18 PM  all   14.27    0.00    5.51    7.91    0.00    0.13    0.00    0.00    0.00   72.18
09:07:19 PM  all   16.32    0.00    6.07    6.97    0.00    0.13    0.00    0.00    0.00   70.51
09:07:20 PM  all   15.84    0.00    6.07    6.20    0.00    0.17    0.00    0.00    0.00   71.72
09:07:21 PM  all   11.95    0.00    4.08    8.55    0.00    0.09    0.00    0.00    0.00   75.34
09:07:22 PM  all   11.32    0.00    5.28    9.03    0.00    0.13    0.00    0.00    0.00   74.24
09:07:23 PM  all   12.30    0.00    3.41    7.83    0.00    0.13    0.00    0.00    0.00   76.33
09:07:24 PM  all   17.24    0.00    5.73    5.05    0.00    0.08    0.00    0.00    0.00   71.89
09:07:25 PM  all   16.30    0.00    5.25    5.08    0.00    0.04    0.00    0.00    0.00   73.32
09:07:26 PM  all   15.72    0.00    5.50    4.73    0.00    0.04    0.00    0.00    0.00   74.01
09:07:27 PM  all   16.36    0.00    5.45    4.73    0.00    0.09    0.00    0.00    0.00   73.37
09:07:28 PM  all   11.66    0.00    5.07    6.42    0.00    0.08    0.00    0.00    0.00   76.77
09:07:29 PM  all   10.33    0.00    4.59    7.56    0.00    0.04    0.00    0.00    0.00   77.48
09:07:30 PM  all   10.26    0.00    5.05    6.70    0.00    0.04    0.00    0.00    0.00   77.95
09:07:31 PM  all   13.93    0.00    4.93    8.07    0.00    0.21    0.00    0.00    0.00   72.85
09:07:32 PM  all   13.64    0.00    5.93    8.26    0.00    0.04    0.00    0.00    0.00   72.13
09:07:33 PM  all   16.06    0.00    4.80    3.70    0.00    0.13    0.00    0.00    0.00   75.31
09:07:34 PM  all   31.27    0.00    4.67    2.76    0.00    0.04    0.00    0.00    0.00   61.26
09:07:35 PM  all   16.69    0.00    4.97    3.08    0.00    0.13    0.00    0.00    0.00   75.13
09:07:36 PM  all   16.16    0.00    5.82    2.87    0.00    0.13    0.00    0.00    0.00   75.02
09:07:37 PM  all   13.07    0.00    7.16    3.15    0.00    0.04    0.00    0.00    0.00   76.58
09:07:38 PM  all   16.81    0.00    5.48    2.70    0.00    0.08    0.00    0.00    0.00   74.94
