Linux 3.13.0-68-generic (ds-server2) 	07/22/2016 	_x86_64_	(24 CPU)

05:38:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:38:43 PM  all    0.38    0.00    1.42    3.92    0.00    0.04    0.00    0.00    0.00   94.25
05:38:44 PM  all    1.92    0.00    0.58    2.17    0.00    0.00    0.00    0.00    0.00   95.33
05:38:45 PM  all    1.29    0.00    2.59    1.50    0.00    0.00    0.00    0.00    0.00   94.61
05:38:46 PM  all    0.54    0.00    4.09    0.42    0.00    0.00    0.00    0.00    0.00   94.96
05:38:47 PM  all    2.85    0.00    3.47    2.18    0.00    0.00    0.00    0.00    0.00   91.51
05:38:48 PM  all    5.19    0.00   13.02   46.98    0.00    0.26    0.00    0.00    0.00   34.55
05:38:49 PM  all    4.96    0.00    7.79   23.45    0.00    0.21    0.00    0.00    0.00   63.59
05:38:50 PM  all    9.40    0.00    9.14   26.78    0.00    0.09    0.00    0.00    0.00   54.59
05:38:51 PM  all    8.99    0.00    9.42   27.23    0.00    0.09    0.00    0.00    0.00   54.28
05:38:52 PM  all   10.09    0.00    9.45   26.45    0.00    0.13    0.00    0.00    0.00   53.89
05:38:53 PM  all    9.80    0.00   10.86   24.83    0.00    0.13    0.00    0.00    0.00   54.39
05:38:54 PM  all   13.09    0.00    9.01   22.01    0.00    0.30    0.00    0.00    0.00   55.59
05:38:55 PM  all   16.72    0.00    7.85   20.60    0.00    0.25    0.00    0.00    0.00   54.58
05:38:56 PM  all   10.82    0.00    7.68   18.50    0.00    0.26    0.00    0.00    0.00   62.75
05:38:57 PM  all    9.09    0.00    8.14   16.33    0.00    0.13    0.00    0.00    0.00   66.31
05:38:58 PM  all    8.66    0.00    7.44   19.30    0.00    0.25    0.00    0.00    0.00   64.34
05:38:59 PM  all   10.67    0.00    5.51   13.45    0.00    0.17    0.00    0.00    0.00   70.20
05:39:00 PM  all   10.27    0.00    5.63   10.91    0.00    0.13    0.00    0.00    0.00   73.06
05:39:01 PM  all    8.91    0.00    8.87    8.83    0.00    0.21    0.00    0.00    0.00   73.17
05:39:02 PM  all    9.77    0.00    5.34   12.74    0.00    0.30    0.00    0.00    0.00   71.85
05:39:03 PM  all   10.29    0.00    5.34   12.13    0.00    0.09    0.00    0.00    0.00   72.16
05:39:04 PM  all   10.95    0.00    4.39    7.33    0.00    0.09    0.00    0.00    0.00   77.24
05:39:05 PM  all   12.15    0.00    6.12    6.88    0.00    0.08    0.00    0.00    0.00   74.76
05:39:06 PM  all    9.58    0.00    9.20    5.77    0.00    0.13    0.00    0.00    0.00   75.32
05:39:07 PM  all   10.82    0.00    5.62   11.24    0.00    0.17    0.00    0.00    0.00   72.15
05:39:08 PM  all    9.06    0.00    4.81    9.70    0.00    0.13    0.00    0.00    0.00   76.31
05:39:09 PM  all    9.89    0.00    5.14    9.38    0.00    0.09    0.00    0.00    0.00   75.50
05:39:10 PM  all   11.30    0.00    4.87    5.72    0.00    0.00    0.00    0.00    0.00   78.11
05:39:11 PM  all   10.81    0.00    4.66    4.79    0.00    0.09    0.00    0.00    0.00   79.66
05:39:12 PM  all   19.65    0.00    8.15    4.03    0.00    0.13    0.00    0.00    0.00   68.04
05:39:13 PM  all    9.70    0.00    6.44    6.35    0.00    0.04    0.00    0.00    0.00   77.47
05:39:14 PM  all   10.39    0.00    4.21    8.26    0.00    0.17    0.00    0.00    0.00   76.97
05:39:15 PM  all    9.87    0.00    4.79    7.88    0.00    0.13    0.00    0.00    0.00   77.33
05:39:16 PM  all   11.87    0.00    4.22    7.73    0.00    0.13    0.00    0.00    0.00   76.05
05:39:17 PM  all   11.48    0.00    4.44    6.32    0.00    0.09    0.00    0.00    0.00   77.68
05:39:18 PM  all   12.54    0.00    3.98    3.64    0.00    0.00    0.00    0.00    0.00   79.84
05:39:19 PM  all   11.58    0.00    5.47    3.65    0.00    0.13    0.00    0.00    0.00   79.18
05:39:20 PM  all   10.47    0.00    7.39    3.25    0.00    0.04    0.00    0.00    0.00   78.85
05:39:21 PM  all   11.29    0.00    4.70    6.30    0.00    0.17    0.00    0.00    0.00   77.54
05:39:22 PM  all   10.48    0.00    4.60    6.69    0.00    0.09    0.00    0.00    0.00   78.14
05:39:23 PM  all   12.06    0.00    4.62    6.52    0.00    0.17    0.00    0.00    0.00   76.63
05:39:24 PM  all   11.14    0.00    4.75    6.23    0.00    0.08    0.00    0.00    0.00   77.80
05:39:25 PM  all   11.18    0.00    3.57    4.04    0.00    0.04    0.00    0.00    0.00   81.16
05:39:26 PM  all   15.66    0.00    7.01    2.45    0.00    0.04    0.00    0.00    0.00   74.84
05:39:27 PM  all   10.96    0.00    6.78    4.55    0.00    0.04    0.00    0.00    0.00   77.67
05:39:28 PM  all   12.98    0.00    5.47    6.23    0.00    0.17    0.00    0.00    0.00   75.15
05:39:29 PM  all   13.95    0.00    5.65    6.32    0.00    0.13    0.00    0.00    0.00   73.96
05:39:30 PM  all   12.15    0.00    5.84    5.93    0.00    0.13    0.00    0.00    0.00   75.95
05:39:31 PM  all   13.22    0.00    5.24    3.72    0.00    0.08    0.00    0.00    0.00   77.74
05:39:32 PM  all   18.60    0.00    5.69    3.25    0.00    0.04    0.00    0.00    0.00   72.42
05:39:33 PM  all   20.14    0.00    8.49    2.30    0.00    0.13    0.00    0.00    0.00   68.94
05:39:34 PM  all   12.03    0.00    8.25    3.44    0.00    0.13    0.00    0.00    0.00   76.15
05:39:35 PM  all   11.98    0.00    5.61    6.46    0.00    0.13    0.00    0.00    0.00   75.82
05:39:36 PM  all   12.48    0.00    6.18    5.97    0.00    0.08    0.00    0.00    0.00   75.29
05:39:37 PM  all   12.86    0.00    6.43    5.92    0.00    0.04    0.00    0.00    0.00   74.75
