Linux 3.13.0-68-generic (ds-server2) 	07/22/2016 	_x86_64_	(24 CPU)

09:25:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:25:32 PM  all    3.42    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   95.25
09:25:33 PM  all    1.55    0.00    4.68    4.85    0.00    0.08    0.00    0.00    0.00   88.84
09:25:34 PM  all    3.50    0.00    7.22   48.87    0.00    0.09    0.00    0.00    0.00   40.32
09:25:35 PM  all    2.59    0.00    3.65   22.43    0.04    0.08    0.00    0.00    0.00   71.20
09:25:36 PM  all    2.82    0.00    5.17   25.28    0.00    0.04    0.00    0.00    0.00   66.70
09:25:37 PM  all   10.23    0.00    7.47   23.81    0.00    0.17    0.00    0.00    0.00   58.32
09:25:38 PM  all    8.69    0.00   10.13   27.85    0.00    0.17    0.00    0.00    0.00   53.16
09:25:39 PM  all   11.31    0.00    9.82   28.70    0.00    0.21    0.00    0.00    0.00   49.96
09:25:40 PM  all   13.17    0.00    8.11   23.47    0.00    0.30    0.00    0.00    0.00   54.95
09:25:41 PM  all   19.57    0.00    7.29   19.74    0.00    0.17    0.00    0.00    0.00   53.22
09:25:42 PM  all   11.01    0.00    8.21   21.89    0.00    0.17    0.00    0.00    0.00   58.72
09:25:43 PM  all   13.06    0.00    7.80   18.58    0.00    0.30    0.00    0.00    0.00   60.26
09:25:44 PM  all   17.80    0.00    7.17   13.88    0.00    0.13    0.00    0.00    0.00   61.03
09:25:45 PM  all   10.86    0.00    6.38   13.62    0.00    0.22    0.00    0.00    0.00   68.92
09:25:46 PM  all   11.70    0.00    6.94   11.92    0.00    0.04    0.00    0.00    0.00   69.40
09:25:47 PM  all   10.90    0.00    7.04    9.74    0.00    0.21    0.00    0.00    0.00   72.10
09:25:48 PM  all   13.74    0.00    6.68   10.17    0.00    0.21    0.00    0.00    0.00   69.19
09:25:49 PM  all   11.11    0.00    4.43    7.92    0.00    0.09    0.00    0.00    0.00   76.45
09:25:50 PM  all   12.47    0.00    5.84    7.40    0.00    0.08    0.00    0.00    0.00   74.21
09:25:51 PM  all   12.31    0.00    5.88    7.62    0.00    0.08    0.00    0.00    0.00   74.10
09:25:52 PM  all   11.14    0.00    5.11    6.58    0.00    0.13    0.00    0.00    0.00   77.05
09:25:53 PM  all   12.83    0.00    4.35    5.88    0.00    0.04    0.00    0.00    0.00   76.90
09:25:54 PM  all   12.56    0.00    5.01    5.94    0.00    0.04    0.00    0.00    0.00   76.45
09:25:55 PM  all   11.63    0.00    6.09    6.09    0.00    0.09    0.00    0.00    0.00   76.09
09:25:56 PM  all   14.14    0.00    5.32    8.23    0.00    0.04    0.00    0.00    0.00   72.28
09:25:57 PM  all   13.51    0.00    6.16    7.65    0.00    0.13    0.00    0.00    0.00   72.55
09:25:58 PM  all   13.89    0.00    5.36    7.03    0.00    0.17    0.00    0.00    0.00   73.54
09:25:59 PM  all   11.12    0.00    4.51    4.68    0.00    0.17    0.00    0.00    0.00   79.51
09:26:00 PM  all   14.16    0.00    5.50    5.25    0.00    0.09    0.00    0.00    0.00   75.00
09:26:01 PM  all   13.51    0.00    5.22    5.09    0.00    0.08    0.00    0.00    0.00   76.09
09:26:02 PM  all   11.94    0.00    4.50    4.21    0.00    0.00    0.00    0.00    0.00   79.35
09:26:03 PM  all   11.39    0.00    4.55    4.17    0.00    0.21    0.00    0.00    0.00   79.68
09:26:04 PM  all   12.66    0.00    4.49    3.81    0.00    0.08    0.00    0.00    0.00   78.95
09:26:05 PM  all   12.05    0.00    4.77    3.83    0.00    0.04    0.00    0.00    0.00   79.30
09:26:06 PM  all   12.07    0.00    3.92    3.75    0.00    0.04    0.00    0.00    0.00   80.21
09:26:07 PM  all   14.02    0.00    4.77    4.60    0.00    0.00    0.00    0.00    0.00   76.60
09:26:08 PM  all   14.50    0.00    4.93    6.36    0.00    0.04    0.00    0.00    0.00   74.17
09:26:09 PM  all   13.29    0.00    6.09    6.05    0.00    0.08    0.00    0.00    0.00   74.48
09:26:10 PM  all   13.17    0.00    5.81    4.56    0.00    0.00    0.00    0.00    0.00   76.45
09:26:11 PM  all    8.74    0.00    6.09    3.53    0.00    0.08    0.00    0.00    0.00   81.55
09:26:12 PM  all   12.23    0.00    4.61    4.19    0.00    0.04    0.00    0.00    0.00   78.93
09:26:13 PM  all   11.71    0.00    4.31    3.25    0.00    0.04    0.00    0.00    0.00   80.68
09:26:14 PM  all   11.85    0.00    4.04    3.78    0.00    0.04    0.00    0.00    0.00   80.29
09:26:15 PM  all   11.10    0.00    4.65    4.13    0.00    0.09    0.00    0.00    0.00   80.04
09:26:16 PM  all   10.76    0.00    4.91    4.14    0.00    0.13    0.00    0.00    0.00   80.05
09:26:17 PM  all    8.18    0.00    5.88    3.45    0.00    0.00    0.00    0.00    0.00   82.49
09:26:18 PM  all   10.87    0.00    4.36    3.21    0.00    0.00    0.00    0.00    0.00   81.56
09:26:19 PM  all   11.64    0.00    4.48    3.79    0.00    0.09    0.00    0.00    0.00   80.01
09:26:20 PM  all   11.40    0.00    4.34    3.49    0.00    0.00    0.00    0.00    0.00   80.77
09:26:21 PM  all   12.04    0.00    4.61    4.27    0.00    0.04    0.00    0.00    0.00   79.04
09:26:22 PM  all   14.79    0.00    5.58    5.75    0.00    0.04    0.00    0.00    0.00   73.85
09:26:23 PM  all    8.87    0.00    7.16    5.87    0.00    0.09    0.00    0.00    0.00   78.01
09:26:24 PM  all   11.51    0.00    4.88    3.69    0.00    0.04    0.00    0.00    0.00   79.87
09:26:25 PM  all   12.02    0.00    5.20    4.30    0.00    0.04    0.00    0.00    0.00   78.44
09:26:26 PM  all   11.02    0.00    4.43    3.53    0.00    0.00    0.00    0.00    0.00   81.02
09:26:27 PM  all   10.75    0.00    4.56    3.28    0.00    0.00    0.00    0.00    0.00   81.41
09:26:28 PM  all   12.68    0.00    5.05    3.73    0.00    0.08    0.00    0.00    0.00   78.46
09:26:29 PM  all   11.96    0.00    4.92    3.82    0.00    0.04    0.00    0.00    0.00   79.26
09:26:30 PM  all   12.64    0.00    4.59    3.83    0.00    0.04    0.00    0.00    0.00   78.90
09:26:31 PM  all   11.20    0.00    4.50    2.88    0.00    0.00    0.00    0.00    0.00   81.42
09:26:32 PM  all   12.51    0.00    4.72    3.45    0.00    0.04    0.00    0.00    0.00   79.28
09:26:33 PM  all   10.84    0.00    5.46    3.07    0.00    0.00    0.00    0.00    0.00   80.62
09:26:34 PM  all   14.30    0.00    4.58    4.07    0.00    0.13    0.00    0.00    0.00   76.93
09:26:35 PM  all   13.94    0.00    4.26    3.79    0.00    0.09    0.00    0.00    0.00   77.92
09:26:36 PM  all   13.95    0.00    4.44    3.76    0.00    0.08    0.00    0.00    0.00   77.77
09:26:37 PM  all   13.54    0.00    4.82    4.99    0.00    0.09    0.00    0.00    0.00   76.57
09:26:38 PM  all   14.47    0.00    6.18    4.99    0.00    0.13    0.00    0.00    0.00   74.23
09:26:39 PM  all   12.68    0.00    5.35    2.87    0.00    0.04    0.00    0.00    0.00   79.06
09:26:40 PM  all   12.18    0.00    3.82    3.27    0.00    0.08    0.00    0.00    0.00   80.65
09:26:41 PM  all   13.13    0.00    5.09    3.62    0.00    0.00    0.00    0.00    0.00   78.16
09:26:42 PM  all   12.27    0.00    5.37    3.88    0.00    0.04    0.00    0.00    0.00   78.45
09:26:43 PM  all   16.50    0.00    4.06    3.09    0.00    0.08    0.00    0.00    0.00   76.27
09:26:44 PM  all   14.03    0.00    6.22    2.86    0.00    0.04    0.00    0.00    0.00   76.86
09:26:45 PM  all   11.66    0.00    4.65    2.96    0.00    0.04    0.00    0.00    0.00   80.69
09:26:46 PM  all   12.11    0.00    4.65    3.02    0.00    0.04    0.00    0.00    0.00   80.18
09:26:47 PM  all   13.19    0.00    4.88    4.20    0.00    0.04    0.00    0.00    0.00   77.69
09:26:48 PM  all   13.66    0.00    5.71    5.58    0.00    0.08    0.00    0.00    0.00   74.97
09:26:49 PM  all   13.63    0.00    6.01    5.24    0.00    0.13    0.00    0.00    0.00   74.99
09:26:50 PM  all   11.93    0.00    6.01    3.53    0.00    0.00    0.00    0.00    0.00   78.53
09:26:51 PM  all   13.24    0.00    4.77    3.79    0.00    0.00    0.00    0.00    0.00   78.20
09:26:52 PM  all   12.17    0.00    4.59    2.81    0.00    0.09    0.00    0.00    0.00   80.35
09:26:53 PM  all   11.79    0.00    5.13    3.27    0.00    0.08    0.00    0.00    0.00   79.72
09:26:54 PM  all   13.44    0.00    4.99    3.38    0.00    0.13    0.00    0.00    0.00   78.06
09:26:55 PM  all   11.16    0.00    5.03    3.49    0.00    0.13    0.00    0.00    0.00   80.20
09:26:56 PM  all   11.90    0.00    4.45    2.50    0.00    0.08    0.00    0.00    0.00   81.07
09:26:57 PM  all   12.20    0.00    4.35    2.69    0.00    0.04    0.00    0.00    0.00   80.72
09:26:58 PM  all   13.26    0.00    4.59    2.61    0.00    0.04    0.00    0.00    0.00   79.49
