09/07/2015 (24 CPU)
  
%usr %sys %iowait
3.16 1.17 0.00
0.96 1.79 1.42
4.17 0.75 0.12
1.50 0.08 0.00
0.08 0.13 0.00
1.00 0.25 2.68
1.04 0.54 2.76
0.92 0.17 3.30
0.88 0.08 3.26
1.25 0.29 3.34
0.38 0.75 4.26
0.25 0.46 3.97
0.13 0.54 4.31
0.21 0.63 3.88
0.25 0.63 4.01
0.21 0.63 4.18
0.29 0.59 4.10
0.17 0.63 4.35
0.63 0.54 3.93
0.25 0.54 4.18
0.25 0.50 3.97
0.25 0.63 3.97
0.25 0.79 4.30
0.17 0.84 4.39
0.25 0.58 4.01
0.17 0.79 4.01
0.13 0.50 4.02
0.25 0.67 4.26
0.25 0.84 4.22
0.29 0.67 4.26
0.29 0.54 3.97
0.17 0.50 3.97
0.17 0.75 4.47
0.21 0.54 4.23
0.75 0.79 4.26
0.21 0.71 3.96
0.21 0.71 4.22
0.13 0.63 4.31
0.25 0.75 3.92
0.33 0.63 4.18
0.21 0.67 4.27
0.25 0.75 4.18
0.17 0.59 4.10
0.25 0.54 3.97
0.33 0.46 4.18
0.17 0.67 3.97
0.21 0.88 4.18
0.29 0.67 4.35
0.25 0.59 4.18
0.25 0.59 3.97
0.21 0.67 3.97
0.25 0.63 4.14
0.21 0.67 4.35
0.25 0.71 4.22
0.25 0.71 3.97
0.13 0.67 4.18
0.25 0.71 3.96
0.08 0.59 4.06
0.25 0.79 4.13
0.29 0.67 4.22
0.13 0.92 4.22
0.33 0.58 3.97
0.29 0.83 4.25
0.17 0.54 3.98
0.21 0.79 4.18
0.29 0.59 3.97
0.71 0.67 4.22
0.25 0.71 4.22
0.21 0.71 4.01
0.33 0.71 4.09
0.29 0.71 4.01
0.29 0.67 4.22
0.33 0.67 4.34
0.21 0.46 3.97
0.21 0.59 3.97
0.25 0.63 4.18
0.38 0.58 4.18
0.25 0.75 4.05
0.25 0.79 4.18
0.25 0.63 4.18
0.29 0.50 4.02
0.17 0.71 3.93
0.25 0.54 4.35
0.25 0.79 4.22
0.21 0.79 4.18
0.29 0.46 4.01
0.21 0.71 3.97
0.29 0.75 4.34
0.25 0.50 4.19
0.08 0.63 3.98
0.21 0.71 3.84
0.17 0.63 3.76
0.42 0.54 3.88
0.17 0.67 3.76
0.29 0.71 3.84
0.29 0.67 3.84
0.25 0.63 3.85
0.25 0.63 3.93
0.21 0.59 3.76
