45 GB	40 GB	35 GB	30 GB	
4.84e-05	4.61e-05	4.72e-05	5.44e-05	
0.315387	0.342374	0.514608	0.497255	
0.696349	0.760254	0.878766	1.02729	
0.883253	0.948684	1.13053	1.36542	
1.04126	1.13483	1.34926	1.68444	
1.16702	1.27908	1.52831	1.97086	
1.27985	1.40039	1.6969	2.17938	
1.38053	1.52389	1.88253	2.37662	
1.48006	1.62089	2.00651	2.53533	
1.57423	1.71593	2.12371	2.68892	
1.68958	1.80875	2.23124	2.82959	
1.77371	1.91127	2.33607	2.97163	
1.8615	2.00144	2.46359	3.09974	
1.94565	2.08485	2.56145	3.24183	
2.03098	2.17936	2.66418	3.35034	
2.11073	2.28229	2.75915	3.45984	
2.19153	2.37043	2.85462	3.57025	
2.27483	2.45862	2.96866	3.67632	
2.39307	2.55984	3.0658	3.77565	
2.47405	2.65802	3.17253	3.87236	
2.55618	2.74531	3.27493	3.96356	
2.32279	2.48238	2.88413	3.57168	
2.03432	2.14507	2.64108	3.19504	
1.92696	2.0351	2.49398	2.9566	
1.84711	1.92826	2.3738	2.72737	
1.80258	1.86537	2.29028	2.55741	
1.76886	1.82106	2.25194	2.44049	
1.74539	1.77279	2.17072	2.3621	
1.7231	1.76032	2.16095	2.29271	
1.7059	1.74862	2.1834	2.22353	
1.66685	1.74017	2.17422	2.17113	
1.66428	1.71639	2.17096	2.1151	
1.6558	1.71232	2.1343	2.06972	
1.64811	1.71455	2.12563	2.06201	
1.64873	1.70674	2.11368	2.04317	
1.65081	1.6892	2.14823	2.0247	
1.64961	1.68933	2.15893	1.99877	
1.64334	1.68307	2.13656	1.9763	
1.60342	1.66798	2.15322	1.96391	
1.60063	1.66376	2.15222	1.95237	
1.59632	1.68374	2.13888	1.93825	
1.62245	1.68118	2.10529	1.91667	
1.61113	1.69425	2.0858	1.85137	
1.60573	1.6921	2.07462	1.83428	
1.60565	1.70185	2.06453	1.82378	
1.59992	1.70401	2.05901	1.78713	
1.59735	1.72757	2.05541	1.77594	
1.59453	1.73997	2.04787	1.74833	
1.59525	1.75982	2.03574	1.73585	
1.59551	1.7561	1.99026	1.72999	
1.59866	1.77173	1.98355	1.73196	
1.59459	1.79788	1.97265	1.73288	
1.59992	1.82038	1.96952	1.75673	
1.60656	1.84551	1.95895	1.71737	
1.60081	1.8535	1.96825	1.72257	
1.59373	1.85106	1.9375	1.71574	
1.59875	1.85303	1.9353	1.71109	
1.60264	1.87959	1.93833	1.70571	
1.60516	1.88381	1.92847	1.71672	
1.60213	1.8939	1.92401	1.72038	
1.60638	1.87278	1.92947	1.7314	
1.57575	1.87877	1.93529	1.72461	
1.57462	1.85791	1.93164	1.71686	
1.57794	1.85627	1.9269	1.76553	
1.58446	1.85071	1.92035	1.76295	
1.59161	1.86468	1.93348	1.76456	
1.59503	1.86664	1.89673	1.77106	
1.59967	1.85855	1.88596	1.76002	
1.60626	1.83296	1.88995	1.76756	
1.60556	1.87916	1.88059	1.79252	
1.6039	1.86649	1.89132	1.79253	
1.60217	1.84503	1.89879	1.78644	
1.59585	1.82714	1.90318	1.75997	
1.59213	1.82303	1.91557	1.73853	
1.58775	1.81707	1.90377	1.74176	
1.58835	1.81739	1.88936	1.7743	
1.60298	1.81536	1.87359	1.78354	
1.60103	1.79608	1.87671	1.7841	
1.59889	1.80914	1.87136	1.76356	
1.59827	1.78809	1.86812	1.75788	
1.59639	1.79844	1.86344	1.76728	
1.60488	1.81198	1.87207	1.76879	
1.60325	1.82036	1.87139	1.77902	
1.60268	1.83127	1.88601	1.72533	
1.59618	1.83421	1.91357	1.73128	
1.59018	1.82022	1.91965	1.75817	
1.58831	1.82076	1.93788	1.78641	
1.58609	1.82802	1.96625	1.80379	
1.5787	1.85254	1.94085	1.8011	
1.58089	1.82473	1.95785	1.79139	
1.58131	1.8429	1.94568	1.77904	
1.58062	1.84397	1.93797	1.78378	
1.61831	1.84972	1.93354	1.80305	
1.61898	1.84536	1.92985	1.8167	
1.62014	1.84866	1.92462	1.80875	
1.61927	1.85528	1.95338	1.76718	
1.59964	1.86322	1.94007	1.76798	
1.60247	1.863	1.94216	1.79908	
1.60407	1.84608	1.95395	1.83282	
1.60481	1.85326	1.96929	1.84786	
1.59935	1.86559	1.97823	1.83118	
1.59454	1.85634	1.95978	1.8395	
1.59329	1.89363	1.98398	1.84497	
1.59001	1.89446	1.96366	1.85628	
1.58779	1.91208	1.95001	1.85683	
1.58912	1.93635	1.9267	1.85886	
1.58663	1.92362	1.91176	1.83148	
1.58432	1.92439	1.90166	1.82788	
1.58496	1.91017	1.92574	1.82361	
1.58347	1.90178	1.90487	1.86906	
1.58334	1.88768	1.92082	1.90129	
1.58739	1.89644	1.91646	1.92532	
1.55403	1.89875	1.9213	1.90607	
1.55799	1.90213	1.92022	1.90185	
1.56059	1.8959	1.97558	1.90241	
1.56011	1.8923	1.94361	1.91696	
1.5601	1.88443	1.95708	1.92337	
1.55845	1.90687	1.94309	1.91466	
1.56035	1.90594	1.93112	1.89903	
1.56283	1.90912	1.91652	1.89835	
1.56966	1.89087	1.94198	1.91482	
1.56753	1.91228	1.94855	1.93507	
1.56866	1.87338	1.90784	1.92939	
1.57264	1.88301	1.91113	1.93305	
1.5948	1.86948	1.90031	1.93315	
1.59192	1.85592	1.90262	1.90681	
1.59115	1.85444	1.90973	1.90597	
1.59279	1.85303	1.89697	1.94386	
1.59289	1.84513	1.88715	1.9503	
1.5962	1.84608	1.89395	1.91668	
1.59926	1.84379	1.86771	1.88396	
1.59329	1.8408	1.85647	1.85624	
1.58849	1.83264	1.86584	1.85189	
1.58131	1.82161	1.86917	1.86083	
1.57911	1.82489	1.8342	1.8513	
1.58663	1.82636	1.8342	1.84793	
1.58705	1.84573	1.83791	1.827	
1.58529	1.82272	1.86725	1.80258	
1.58929	1.84538	1.8654	1.79248	
1.58852	1.84698	1.86304	1.7921	
1.58735	1.84924	1.81902	1.79382	
1.58644	1.8423	1.81562	1.7867	
1.58505	1.86772	1.85517	1.81366	
1.58501	1.87222	1.85743	1.82052	
1.56419	1.87062	1.85864	1.81732	
1.56973	1.87371	1.86166	1.82752	
1.5737	1.88091	1.85637	1.8425	
1.57296	1.88197	1.85795	1.79964	
1.57064	1.90963	1.84207	1.79826	
1.57018	1.90814	1.84034	1.77756	
1.57984	1.93109	1.8609	1.79872	
1.58705	1.94436	1.93173	1.80058	
1.59107	1.95427	1.91487	1.83063	
1.59866	1.95677	1.92149	1.84883	
1.60346	1.95473	1.90711	1.84969	
1.60852	1.95775	1.92244	1.88086	
1.62165	1.95748	1.92006	1.90608	
1.62405	1.96142	1.92245	1.91529	
1.6156	1.95992	1.92519	1.95124	
1.61849	1.95449	1.92005	1.94198	
1.63293	1.96081	1.92367	1.92387	
1.64626	1.94061	1.92407	1.90798	
1.6455	1.95096	1.88062	1.88788	
1.64217	1.93188	1.87489	1.90021	
1.64017	1.9419	1.89356	1.89861	
1.64214	1.92626	1.8923	1.89586	
1.64106	1.90539	1.89134	1.8889	
1.64021	1.91183	1.89356	1.90528	
1.64111	1.9039	1.91338	1.90442	
1.64319	1.90463	1.90936	1.90808	
1.62603	1.87745	1.90777	1.89435	
1.61913	1.86584	1.85402	1.91727	
1.61717	1.86792	1.85545	1.90692	
1.61841	1.88007	1.84549	1.8801	
1.62141	1.87957	1.86285	1.87914	
1.62903	1.87454	1.85654	1.84728	
1.6193	1.85723	1.86485	1.83043	
1.6174	1.84192	1.85679	1.84992	
1.61635	1.83754	1.86526	1.81118	
1.6135	1.84579	1.8739	1.80183	
1.59612	1.85925	1.88288	1.80388	
1.58209	1.86984	1.8854	1.81647	
1.58962	1.83367	1.90037	1.80414	
1.59946	1.82905	1.91231	1.77154	
1.60876	1.83579	1.88764	1.79469	
1.60672	1.85385	1.8889	1.78977	
1.60502	1.8575	1.88509	1.78789	
1.60477	1.86797	1.88001	1.76385	
1.60429	1.87435	1.88496	1.76035	
1.59942	1.88104	1.92361	1.77542	
1.60421	1.87513	1.94115	1.77384	
1.60859	1.87088	1.93706	1.75714	
1.60815	1.85353	1.93786	1.75068	
1.60031	1.82664	1.95564	1.75769	
1.58964	1.82099	1.93764	1.7841	
1.57632	1.82575	1.94165	1.79955	
1.57193	1.83277	1.93113	1.80414	
1.57264	1.85864	1.90981	1.79941	
1.60803	1.85417	1.90055	1.82365	
1.60468	1.88024	1.91208	1.82734	
1.60496	1.87297	1.90091	1.85994	
1.60144	1.86676	1.89854	1.86836	
1.59643	1.88369	1.90237	1.8891	
1.59544	1.8923	1.90037	1.89217	
1.59849	1.89797	1.9175	1.87532	
1.60199	1.89308	1.92058	1.87877	
1.60962	1.88881	1.91867	1.87242	
1.61017	1.86311	1.91662	1.86912	
1.61445	1.83883	1.90402	1.88694	
1.61599	1.84474	1.87023	1.86844	
1.61672	1.85114	1.87512	1.87174	
1.61815	1.85635	1.88926	1.87697	
1.61965	1.85241	1.88673	1.90535	
1.61911	1.85513	1.8653	1.90043	
1.62275	1.85779	1.85934	1.90813	
1.62381	1.90466	1.84442	1.88977	
1.63441	1.89631	1.84119	1.8789	
1.6506	1.89824	1.84115	1.88109	
1.62909	1.88574	1.84945	1.85643	
1.639	1.85946	1.86058	1.85808	
1.6408	1.83583	1.86523	1.8275	
1.64456	1.84569	1.88175	1.81657	
1.64357	1.83561	1.87368	1.79789	
1.64319	1.85022	1.87425	1.79674	
1.6323	1.82973	1.8569	1.78995	
1.62483	1.81829	1.8506	1.78369	
1.61995	1.83811	1.8691	1.79517	
1.62545	1.84814	1.86661	1.78986	
1.62015	1.84926	1.85822	1.79342	
1.61832	1.83357	1.87978	1.78773	
1.61656	1.84827	1.87243	1.78023	
1.61625	1.87503	1.85547	1.76695	
1.61049	1.87755	1.85973	1.73292	
1.62734	1.87447	1.86875	1.72406	
1.63857	1.88788	1.87223	1.69429	
1.6468	1.83859	1.88447	1.69138	
1.64981	1.84801	1.88572	1.71275	
1.64306	1.82864	1.88573	1.70706	
1.62999	1.84942	1.86702	1.71786	
1.62567	1.8425	1.84109	1.72708	
1.62483	1.84709	1.87954	1.72772	
1.62541	1.83606	1.86959	1.72145	
1.63714	1.85646	1.87338	1.7275	
1.64381	1.86479	1.88417	1.73682	
1.65456	1.87203	1.89029	1.74278	
1.66435	1.87821	1.89071	1.74792	
1.66187	1.86537	1.88176	1.73809	
1.66307	1.86362	1.88452	1.7628	
1.66718	1.86187	1.88678	1.74759	
1.66627	1.86429	1.86634	1.80541	
1.66644	1.85767	1.84402	1.81364	
1.66728	1.8213	1.8836	1.83883	
1.69553	1.83998	1.87893	1.86935	
1.68176	1.83241	1.87882	1.87739	
