Linux 3.13.0-68-generic (ds-server2) 	07/20/2016 	_x86_64_	(24 CPU)

02:45:06 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:45:07 PM  all    1.09    0.00    1.55    6.73    0.00    0.00    0.00    0.00    0.00   90.64
02:45:08 PM  all    2.04    0.00    2.09    5.34    0.00    0.04    0.00    0.00    0.00   90.49
02:45:09 PM  all    0.46    0.00    3.01    4.77    0.00    0.00    0.00    0.00    0.00   91.76
02:45:10 PM  all    0.04    0.00    0.63    3.92    0.00    0.00    0.00    0.00    0.00   95.41
02:45:11 PM  all    0.13    0.00    1.17    2.21    0.00    0.00    0.00    0.00    0.00   96.49
02:45:12 PM  all    0.04    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.46
02:45:13 PM  all    0.04    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   99.42
02:45:14 PM  all    0.04    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.46
02:45:15 PM  all    0.08    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   99.46
02:45:16 PM  all    0.08    0.00    1.17    0.12    0.00    0.00    0.00    0.00    0.00   98.62
02:45:17 PM  all    0.04    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.46
02:45:18 PM  all    0.12    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.38
02:45:19 PM  all    0.12    0.00    1.25    0.00    0.00    0.00    0.00    0.00    0.00   98.62
02:45:20 PM  all    0.13    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.37
02:45:21 PM  all    0.08    0.00    0.58    0.12    0.00    0.00    0.00    0.00    0.00   99.21
02:45:22 PM  all    0.08    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.42
02:45:23 PM  all    0.08    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   99.46
02:45:24 PM  all    0.04    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.46
02:45:25 PM  all    0.04    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   99.38
