Linux 3.13.0-68-generic (ds-server2) 	07/21/2016 	_x86_64_	(24 CPU)

09:19:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:19:26 AM  all    0.71    0.00    3.76    2.97    0.00    0.04    0.00    0.00    0.00   92.51
09:19:27 AM  all    1.26    0.00    1.26    8.43    0.00    0.00    0.00    0.00    0.00   89.06
09:19:28 AM  all    0.54    0.00    1.67    8.69    0.00    0.04    0.00    0.00    0.00   89.06
09:19:29 AM  all    0.54    0.00    1.67    3.30    0.00    0.00    0.00    0.00    0.00   94.48
09:19:30 AM  all    0.59    0.00    0.92    3.22    0.00    0.00    0.00    0.00    0.00   95.27
09:19:31 AM  all    0.59    0.00    1.55    3.26    0.00    0.00    0.00    0.00    0.00   94.60
09:19:32 AM  all    0.54    0.00    0.88    3.31    0.00    0.00    0.00    0.00    0.00   95.27
09:19:33 AM  all    0.54    0.00    1.59    3.22    0.00    0.00    0.00    0.00    0.00   94.64
09:19:34 AM  all    0.59    0.00    0.96    3.26    0.00    0.00    0.00    0.00    0.00   95.19
09:19:35 AM  all    0.59    0.00    0.96    3.22    0.00    0.00    0.00    0.00    0.00   95.23
09:19:36 AM  all    0.54    0.00    1.71    3.22    0.00    0.00    0.00    0.00    0.00   94.52
09:19:37 AM  all    0.46    0.00    1.80    3.26    0.00    0.00    0.00    0.00    0.00   94.47
09:19:38 AM  all    0.42    0.00    0.92    3.22    0.00    0.00    0.00    0.00    0.00   95.44
09:19:39 AM  all    0.46    0.00    1.67    3.26    0.00    0.04    0.00    0.00    0.00   94.56
09:19:40 AM  all    0.46    0.00    1.59    3.23    0.00    0.00    0.00    0.00    0.00   94.72
09:19:41 AM  all    0.58    0.00    1.13    3.22    0.00    0.00    0.00    0.00    0.00   95.07
09:19:42 AM  all    0.63    0.00    1.13    3.30    0.00    0.00    0.00    0.00    0.00   94.94
09:19:43 AM  all    0.50    0.00    1.67    3.18    0.00    0.00    0.00    0.00    0.00   94.64
09:19:44 AM  all    0.63    0.00    0.96    3.34    0.00    0.00    0.00    0.00    0.00   95.07
09:19:45 AM  all    0.50    0.00    1.80    3.43    0.00    0.00    0.00    0.00    0.00   94.27
09:19:46 AM  all    0.50    0.00    0.92    3.39    0.00    0.00    0.00    0.00    0.00   95.18
09:19:47 AM  all    0.59    0.00    1.76    3.43    0.00    0.00    0.00    0.00    0.00   94.22
09:19:48 AM  all    0.46    0.00    0.96    3.35    0.00    0.00    0.00    0.00    0.00   95.23
09:19:49 AM  all    0.71    0.00    0.79    3.56    0.00    0.00    0.00    0.00    0.00   94.94
09:19:50 AM  all    0.54    0.00    1.00    3.35    0.00    0.00    0.00    0.00    0.00   95.10
09:19:51 AM  all    0.38    0.00    0.92    3.40    0.00    0.00    0.00    0.00    0.00   95.30
09:19:52 AM  all    0.67    0.00    1.71    3.47    0.00    0.00    0.00    0.00    0.00   94.15
09:19:53 AM  all    0.59    0.00    1.80    3.98    0.00    0.00    0.00    0.00    0.00   93.64
09:19:54 AM  all    0.25    0.00    1.67    3.43    0.00    0.00    0.00    0.00    0.00   94.64
09:19:55 AM  all    0.38    0.00    1.68    3.40    0.00    0.00    0.00    0.00    0.00   94.55
09:19:56 AM  all    0.50    0.00    1.51    3.44    0.00    0.00    0.00    0.00    0.00   94.55
09:19:57 AM  all    0.63    0.00    0.92    3.39    0.00    0.00    0.00    0.00    0.00   95.06
09:19:58 AM  all    0.59    0.00    1.76    3.39    0.00    0.00    0.00    0.00    0.00   94.27
09:19:59 AM  all    0.54    0.00    1.67    3.39    0.00    0.00    0.00    0.00    0.00   94.39
09:20:00 AM  all    0.59    0.00    0.88    3.39    0.00    0.00    0.00    0.00    0.00   95.14
09:20:01 AM  all    0.54    0.00    1.05    3.34    0.00    0.00    0.00    0.00    0.00   95.07
09:20:02 AM  all    0.54    0.00    1.68    3.48    0.00    0.00    0.00    0.00    0.00   94.30
09:20:03 AM  all    0.54    0.00    1.63    3.39    0.00    0.00    0.00    0.00    0.00   94.44
09:20:04 AM  all    0.46    0.00    0.96    3.52    0.00    0.00    0.00    0.00    0.00   95.06
09:20:05 AM  all    0.54    0.00    1.59    3.39    0.00    0.00    0.00    0.00    0.00   94.47
09:20:06 AM  all    0.59    0.00    0.88    3.39    0.00    0.00    0.00    0.00    0.00   95.14
