Linux 3.13.0-68-generic (ds-server2) 	10/09/2016 	_x86_64_	(24 CPU)

04:43:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:43:51 AM  all    0.80    0.00    2.76    2.18    0.00    0.04    0.00    0.00    0.00   94.22
04:43:52 AM  all    1.26    0.00    1.42    2.60    0.00    0.00    0.00    0.00    0.00   94.73
04:43:53 AM  all    1.29    0.00    1.75    2.71    0.00    0.00    0.00    0.00    0.00   94.24
04:43:54 AM  all    1.30    0.00    1.76    2.63    0.00    0.00    0.00    0.00    0.00   94.31
04:43:55 AM  all    1.38    0.00    1.59    2.59    0.00    0.00    0.00    0.00    0.00   94.45
04:43:56 AM  all    1.17    0.00    1.59    2.64    0.00    0.00    0.00    0.00    0.00   94.60
04:43:57 AM  all    1.42    0.00    1.54    2.59    0.00    0.00    0.00    0.00    0.00   94.45
04:43:58 AM  all    1.17    0.00    0.75    2.56    0.00    0.00    0.00    0.00    0.00   95.51
04:43:59 AM  all    1.38    0.00    1.67    2.63    0.00    0.00    0.00    0.00    0.00   94.32
04:44:00 AM  all    1.46    0.00    1.63    2.55    0.00    0.00    0.00    0.00    0.00   94.36
04:44:01 AM  all    1.38    0.00    1.79    2.67    0.00    0.04    0.00    0.00    0.00   94.12
04:44:02 AM  all    1.13    0.00    1.47    2.56    0.00    0.00    0.00    0.00    0.00   94.84
04:44:03 AM  all    1.46    0.00    1.42    2.75    0.00    0.00    0.00    0.00    0.00   94.37
04:44:04 AM  all    1.13    0.00    1.67    2.68    0.00    0.00    0.00    0.00    0.00   94.52
04:44:05 AM  all    1.05    0.00    0.84    2.64    0.00    0.00    0.00    0.00    0.00   95.48
04:44:06 AM  all    1.22    0.00    1.55    2.60    0.00    0.00    0.00    0.00    0.00   94.63
04:44:07 AM  all    1.39    0.00    1.89   27.01    0.00    0.00    0.00    0.00    0.00   69.72
04:44:08 AM  all    1.21    0.00    1.71   35.93    0.00    0.00    0.00    0.00    0.00   61.15
04:44:09 AM  all    1.17    0.00    1.80    4.27    0.00    0.00    0.00    0.00    0.00   92.76
04:44:10 AM  all    1.09    0.00    1.51    2.56    0.00    0.00    0.00    0.00    0.00   94.84
04:44:11 AM  all    1.17    0.00    1.59    2.72    0.00    0.00    0.00    0.00    0.00   94.52
04:44:12 AM  all    0.88    0.00    1.80    2.84    0.00    0.00    0.00    0.00    0.00   94.49
04:44:13 AM  all    1.13    0.00    0.84    2.76    0.00    0.00    0.00    0.00    0.00   95.28
04:44:14 AM  all    1.00    0.00    1.76    2.76    0.00    0.00    0.00    0.00    0.00   94.47
04:44:15 AM  all    1.17    0.00    1.51    2.64    0.00    0.00    0.00    0.00    0.00   94.68
04:44:16 AM  all    1.17    0.00    1.09    2.80    0.00    0.00    0.00    0.00    0.00   94.94
04:44:17 AM  all    1.09    0.00    1.63    2.84    0.00    0.00    0.00    0.00    0.00   94.45
04:44:18 AM  all    0.75    0.00    1.80    2.93    0.00    0.00    0.00    0.00    0.00   94.52
