Linux 3.13.0-68-generic (ds-server2) 	07/19/2016 	_x86_64_	(24 CPU)

06:36:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:36:06 PM  all    0.25    0.00    1.46    7.69    0.00    0.04    0.00    0.00    0.00   90.56
06:36:07 PM  all    1.88    0.00    1.46    6.06    0.00    0.04    0.00    0.00    0.00   90.55
06:36:08 PM  all    1.33    0.00    2.46    1.58    0.00    0.00    0.00    0.00    0.00   94.62
06:36:09 PM  all    0.50    0.00    5.00    0.13    0.00    0.00    0.00    0.00    0.00   94.37
06:36:10 PM  all    8.26    0.00    5.69   19.27    0.00    0.17    0.00    0.00    0.00   66.61
06:36:11 PM  all   16.62    0.00   15.85   21.96    0.00    0.08    0.00    0.00    0.00   45.49
06:36:12 PM  all    3.42    0.00    6.07   20.15    0.00    0.17    0.00    0.00    0.00   70.19
06:36:13 PM  all    3.44    0.00    3.95   14.59    0.00    0.00    0.00    0.00    0.00   78.02
06:36:14 PM  all   11.43    0.00    8.75   16.32    0.00    0.04    0.00    0.00    0.00   63.45
06:36:15 PM  all   12.78    0.00    9.41   22.66    0.00    0.17    0.00    0.00    0.00   54.98
06:36:16 PM  all   12.79    0.00    6.93   24.64    0.00    0.13    0.00    0.00    0.00   55.52
06:36:17 PM  all    8.92    0.00    6.23   19.37    0.00    0.04    0.00    0.00    0.00   65.44
06:36:18 PM  all   28.88    0.00    6.41    9.70    0.00    0.08    0.00    0.00    0.00   54.93
06:36:19 PM  all   12.48    0.00    5.77   18.38    0.00    0.21    0.00    0.00    0.00   63.15
06:36:20 PM  all   16.04    0.00    8.70   16.25    0.00    0.08    0.00    0.00    0.00   58.93
06:36:21 PM  all   32.54    0.00    6.21    9.70    0.00    0.13    0.00    0.00    0.00   51.43
06:36:22 PM  all    7.28    0.00   16.10   21.76    0.00    0.21    0.00    0.00    0.00   54.65
06:36:23 PM  all   14.89    0.00    8.17   22.81    0.00    0.17    0.00    0.00    0.00   53.96
06:36:24 PM  all   15.05    0.00   14.84    9.89    0.00    0.17    0.00    0.00    0.00   60.06
06:36:25 PM  all   25.57    0.00   10.40   12.47    0.00    0.25    0.00    0.00    0.00   51.31
06:36:26 PM  all   26.86    0.00    6.47   13.45    0.00    0.13    0.00    0.00    0.00   53.08
06:36:27 PM  all   39.37    0.00    5.30    6.59    0.00    0.04    0.00    0.00    0.00   48.71
06:36:28 PM  all    7.48    0.00    8.29   15.00    0.00    0.21    0.00    0.00    0.00   69.02
06:36:29 PM  all    8.07    0.00    6.75   13.54    0.00    0.38    0.00    0.00    0.00   71.26
06:36:30 PM  all   10.74    0.00    6.66   15.45    0.00    0.13    0.00    0.00    0.00   67.02
