60 GB	50 GB	5 GB	45 GB	40 GB	35 GB	30 GB	25 GB	
0.181871	0.146056	0.785434	0.158094	0.171353	0.198938	0.560794	0.747633	
0.323402	0.292966	1.67745	0.301661	0.312991	0.35863	0.991538	1.32146	
0.458128	0.422287	2.09305	0.435599	0.447476	0.506875	1.33298	1.61201	
0.58978	0.548813	2.38137	0.555983	0.578268	0.653768	1.592	1.89516	
0.75449	0.671724	2.6317	0.679711	0.707164	0.794941	1.82293	2.14968	
0.871639	0.793286	2.84165	0.799849	0.828823	0.926503	2.02005	2.38215	
0.982165	0.900727	3.02894	0.915957	0.958812	1.04735	2.19929	2.59641	
1.09043	1.00206	3.19368	1.0229	1.09571	1.17137	2.36574	2.7661	
1.19758	1.10867	3.34481	1.13561	1.21126	1.29321	2.51299	2.91628	
1.3008	1.21576	3.48356	1.24451	1.3174	1.40745	2.64744	3.05021	
1.41005	1.34456	3.61012	1.35521	1.42252	1.52324	2.77801	3.17555	
1.51628	1.44125	3.73413	1.47118	1.5299	1.63943	2.89203	3.28989	
1.62022	1.54096	3.85503	1.57914	1.64004	1.74557	2.99728	3.39746	
1.74883	1.6342	3.96616	1.68133	1.75009	1.8409	3.10939	3.50237	
1.8499	1.73144	4.07106	1.78557	1.884	1.94155	3.22046	3.60918	
1.94528	1.82058	4.18363	1.90054	1.9883	2.04306	3.3289	3.71005	
2.03654	1.91569	4.2843	1.99864	2.08052	2.1369	3.47234	3.80634	
2.13111	2.00712	4.38648	2.12208	2.18235	2.22694	3.58071	3.89773	
2.22726	2.09528	4.48494	2.21847	2.27976	2.318	3.68216	3.99367	
2.31892	2.18017	4.59156	2.33703	2.37503	2.40757	3.77515	4.09036	
2.22797	2.12575	3.90496	2.27341	2.29951	2.29918	3.34369	3.43944	
2.17242	2.06396	3.10594	2.21959	2.25478	2.22536	3.03362	2.95219	
2.15472	2.04481	2.78364	2.18135	2.21186	2.18042	2.78736	2.75735	
2.11063	2.00168	2.58647	2.15271	2.17088	2.12836	2.62298	2.56972	
2.02972	1.96625	2.42735	2.12702	2.13517	2.07155	2.48149	2.40127	
1.99581	1.93345	2.31259	2.10579	2.09884	2.02699	2.37486	2.25132	
1.96901	1.91683	2.2156	2.08767	2.06202	1.99169	2.3002	2.12757	
1.94367	1.89828	2.14202	2.0689	2.01786	1.94824	2.22849	2.04475	
1.91833	1.87695	2.08083	2.04642	2.00057	1.9103	2.18438	1.98164	
1.89428	1.85468	2.02731	2.02967	1.98884	1.88491	2.14391	1.93054	
1.87463	1.80913	1.98267	2.01099	1.97391	1.86248	2.11295	1.88804	
1.85198	1.79257	1.94354	1.98001	1.95296	1.82722	2.08892	1.86066	
1.83378	1.77451	1.91453	1.96404	1.93767	1.80581	2.06922	1.84468	
1.79427	1.7663	1.89489	1.95156	1.91305	1.78923	2.04989	1.82871	
1.78141	1.75193	1.87211	1.93814	1.87009	1.77315	2.03302	1.8059	
1.77199	1.74037	1.84653	1.91976	1.86397	1.75858	2.01918	1.78791	
1.76102	1.72772	1.83281	1.91791	1.864	1.75208	1.96945	1.77055	
1.74747	1.73151	1.81089	1.88998	1.8449	1.74727	1.9553	1.75448	
1.74287	1.73789	1.79027	1.8863	1.83028	1.74873	1.9457	1.7521	
1.73487	1.73508	1.76856	1.8651	1.82349	1.7516	1.93339	1.73734	
1.72546	1.72879	1.75897	1.86548	1.82045	1.74152	1.89269	1.71849	
1.71979	1.72966	1.75151	1.86841	1.817	1.73435	1.86017	1.71229	
1.68518	1.70052	1.74659	1.86281	1.81535	1.71368	1.8542	1.70013	
1.67655	1.6938	1.75764	1.85674	1.81806	1.70004	1.85208	1.68608	
1.67428	1.68554	1.7509	1.85594	1.81341	1.69647	1.85566	1.68084	
