Linux 3.13.0-68-generic (ds-server2) 	10/11/2016 	_x86_64_	(24 CPU)

04:42:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:42:49 PM  all    1.92    0.00    0.67    2.33    0.00    0.00    0.00    0.00    0.00   95.08
04:42:50 PM  all    1.67    0.00    0.92    1.92    0.00    0.04    0.00    0.00    0.00   95.45
04:42:51 PM  all    0.08    0.00    4.50    0.04    0.00    0.00    0.00    0.00    0.00   95.37
04:42:52 PM  all    0.12    0.00    4.67    0.00    0.00    0.00    0.00    0.00    0.00   95.21
04:42:53 PM  all    0.13    0.00    4.88    0.00    0.00    0.00    0.00    0.00    0.00   95.00
04:42:54 PM  all    0.17    0.00    4.71    0.08    0.00    0.00    0.00    0.00    0.00   95.04
04:42:55 PM  all    2.04    0.00    3.00    0.04    0.00    0.00    0.00    0.00    0.00   94.92
04:42:56 PM  all   21.66    0.00    7.62   14.66    0.00    0.13    0.00    0.00    0.00   55.93
04:42:57 PM  all   12.13    0.00    6.97   20.25    0.00    0.08    0.00    0.00    0.00   60.57
04:42:58 PM  all   10.44    0.00    8.78   16.76    0.00    0.13    0.00    0.00    0.00   63.89
04:42:59 PM  all    7.06    0.00    6.55   23.20    0.00    0.17    0.00    0.00    0.00   63.02
04:43:00 PM  all   10.98    0.00    7.28   17.09    0.00    0.25    0.00    0.00    0.00   64.39
04:43:01 PM  all   19.30    0.00    6.26   18.20    0.00    0.21    0.00    0.00    0.00   56.03
04:43:02 PM  all   11.12    0.00    9.88   26.68    0.00    0.21    0.00    0.00    0.00   52.12
04:43:03 PM  all   14.95    0.00   11.82   23.31    0.00    0.25    0.00    0.00    0.00   49.66
04:43:04 PM  all    9.87    0.00    8.46   19.52    0.00    0.26    0.00    0.00    0.00   61.90
04:43:05 PM  all    7.67    0.00    9.21   17.77    0.00    0.17    0.00    0.00    0.00   65.18
04:43:06 PM  all   23.30    0.00    6.72   13.01    0.00    0.17    0.00    0.00    0.00   56.80
04:43:07 PM  all   30.19    0.00    7.36   12.53    0.00    0.17    0.00    0.00    0.00   49.75
04:43:08 PM  all   27.92    0.00    5.19   15.44    0.00    0.25    0.00    0.00    0.00   51.20
04:43:09 PM  all    8.98    0.00   10.92    7.80    0.00    0.21    0.00    0.00    0.00   72.08
04:43:10 PM  all    9.84    0.00    8.12   19.52    0.00    0.26    0.00    0.00    0.00   62.26
04:43:11 PM  all   10.73    0.00    8.02   10.56    0.00    0.21    0.00    0.00    0.00   70.48
04:43:12 PM  all   11.90    0.00    6.59   10.96    0.00    0.17    0.00    0.00    0.00   70.38
04:43:13 PM  all   18.47    0.00    6.59   11.24    0.00    0.13    0.00    0.00    0.00   63.57
04:43:14 PM  all   12.08    0.00    6.74    6.10    0.00    0.13    0.00    0.00    0.00   74.95
04:43:15 PM  all   10.68    0.00    6.84   12.01    0.00    0.21    0.00    0.00    0.00   70.26
04:43:16 PM  all   11.03    0.00    7.44    7.52    0.00    0.13    0.00    0.00    0.00   73.88
04:43:17 PM  all   15.39    0.00    6.00    6.86    0.00    0.17    0.00    0.00    0.00   71.57
04:43:18 PM  all   18.92    0.00    5.63    6.31    0.00    0.13    0.00    0.00    0.00   69.01
04:43:19 PM  all   14.80    0.00    6.81    7.15    0.00    0.26    0.00    0.00    0.00   70.99
04:43:20 PM  all   14.58    0.00    8.34    5.14    0.00    0.13    0.00    0.00    0.00   71.81
04:43:21 PM  all   11.31    0.00    6.32    7.96    0.00    0.09    0.00    0.00    0.00   74.32
04:43:22 PM  all   11.42    0.00    7.12    6.03    0.00    0.04    0.00    0.00    0.00   75.39
04:43:23 PM  all   13.24    0.00    6.17    7.42    0.00    0.04    0.00    0.00    0.00   73.12
04:43:24 PM  all   21.22    0.00    5.87    5.24    0.00    0.08    0.00    0.00    0.00   67.58
04:43:25 PM  all   11.15    0.00    6.70    4.15    0.00    0.08    0.00    0.00    0.00   77.91
04:43:26 PM  all   21.19    0.00    7.01    5.57    0.00    0.25    0.00    0.00    0.00   65.98
04:43:27 PM  all   14.47    0.00    7.81    6.45    0.00    0.30    0.00    0.00    0.00   70.96
04:43:28 PM  all   11.46    0.00    7.19    5.43    0.00    0.13    0.00    0.00    0.00   75.79
04:43:29 PM  all   13.02    0.00    6.85    5.10    0.00    0.09    0.00    0.00    0.00   74.95
04:43:30 PM  all   17.66    0.00    6.37    4.33    0.00    0.13    0.00    0.00    0.00   71.52
04:43:31 PM  all   14.86    0.00    5.09    2.99    0.00    0.13    0.00    0.00    0.00   76.93
04:43:32 PM  all   17.40    0.00    6.82    3.13    0.00    0.08    0.00    0.00    0.00   72.57
04:43:33 PM  all   12.14    0.00    7.37    3.45    0.00    0.09    0.00    0.00    0.00   76.96
04:43:34 PM  all   13.43    0.00   11.82    3.09    0.00    0.04    0.00    0.00    0.00   71.62
04:43:35 PM  all   16.03    0.00    5.05    3.86    0.00    0.08    0.00    0.00    0.00   74.98
04:43:36 PM  all   10.62    0.00    4.84    3.02    0.00    0.13    0.00    0.00    0.00   81.39
04:43:37 PM  all   17.79    0.00    4.76    3.41    0.00    0.04    0.00    0.00    0.00   73.99
04:43:38 PM  all   18.22    0.00    5.51    3.09    0.00    0.08    0.00    0.00    0.00   73.09
04:43:39 PM  all   11.85    0.00    6.89    2.86    0.00    0.08    0.00    0.00    0.00   78.32
04:43:40 PM  all   14.36    0.00    8.80    4.13    0.00    0.08    0.00    0.00    0.00   72.63
04:43:41 PM  all   15.33    0.00    8.26    5.79    0.00    0.04    0.00    0.00    0.00   70.58
04:43:42 PM  all   17.88    0.00    7.39    5.31    0.00    0.13    0.00    0.00    0.00   69.29
04:43:43 PM  all   14.03    0.00    5.83    4.69    0.00    0.00    0.00    0.00    0.00   75.45
04:43:44 PM  all   14.49    0.00    7.08    5.04    0.00    0.13    0.00    0.00    0.00   73.26
04:43:45 PM  all   12.20    0.00    7.36    4.29    0.00    0.08    0.00    0.00    0.00   76.06
04:43:46 PM  all   12.85    0.00    8.12    5.10    0.00    0.26    0.00    0.00    0.00   73.67
04:43:47 PM  all   19.74    0.00    8.27    5.12    0.00    0.17    0.00    0.00    0.00   66.69
04:43:48 PM  all   22.68    0.00    8.72    4.87    0.00    0.08    0.00    0.00    0.00   63.65
04:43:49 PM  all   18.85    0.00    7.05    4.63    0.00    0.08    0.00    0.00    0.00   69.40
04:43:50 PM  all   11.21    0.00    4.97    2.68    0.00    0.00    0.00    0.00    0.00   81.15
04:43:51 PM  all   11.96    0.00    6.55    2.48    0.00    0.08    0.00    0.00    0.00   78.93
04:43:52 PM  all   12.96    0.00    6.29    2.42    0.00    0.04    0.00    0.00    0.00   78.29
04:43:53 PM  all   12.46    0.00    5.70    2.85    0.00    0.09    0.00    0.00    0.00   78.91
04:43:54 PM  all   17.97    0.00    7.51    2.14    0.00    0.08    0.00    0.00    0.00   72.29
04:43:55 PM  all   21.61    0.00    5.19    2.47    0.00    0.04    0.00    0.00    0.00   70.69
04:43:56 PM  all   23.75    0.00    6.77    1.81    0.00    0.08    0.00    0.00    0.00   67.59
04:43:57 PM  all   14.57    0.00    5.53    2.70    0.00    0.00    0.00    0.00    0.00   77.20
04:43:58 PM  all   10.34    0.00    7.98    2.03    0.00    0.08    0.00    0.00    0.00   79.57
04:43:59 PM  all   15.03    0.00    5.56    2.78    0.00    0.04    0.00    0.00    0.00   76.60
04:44:00 PM  all   14.68    0.00    5.58    2.66    0.00    0.04    0.00    0.00    0.00   77.03
04:44:01 PM  all   14.90    0.00    5.01    2.57    0.00    0.00    0.00    0.00    0.00   77.53
04:44:02 PM  all   18.59    0.00    6.03    2.42    0.00    0.08    0.00    0.00    0.00   72.88
04:44:03 PM  all   18.86    0.00    5.90    2.65    0.00    0.09    0.00    0.00    0.00   72.50
04:44:04 PM  all   14.60    0.00    5.66    3.32    0.00    0.00    0.00    0.00    0.00   76.42
04:44:05 PM  all   13.62    0.00    5.27    4.93    0.00    0.09    0.00    0.00    0.00   76.10
04:44:06 PM  all   14.60    0.00    5.78    4.79    0.00    0.09    0.00    0.00    0.00   74.74
04:44:07 PM  all   13.35    0.00    7.10    2.47    0.00    0.00    0.00    0.00    0.00   77.08
04:44:08 PM  all   14.38    0.00    7.09    4.89    0.00    0.17    0.00    0.00    0.00   73.47
04:44:09 PM  all   13.59    0.00    6.99    5.27    0.00    0.17    0.00    0.00    0.00   73.97
04:44:10 PM  all   18.42    0.00    7.78    4.98    0.00    0.09    0.00    0.00    0.00   68.74
