59 GB	59 GB	59 GB	59 GB	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	8	0	1.6	
0	19.2	12.8	14.4	
0	32	24	25.6	
12.8	44.8	36.8	38.4	
24	56	49.6	49.6	
36.8	68.8	60.8	62.4	
48	80	73.6	73.6	
60.8	92.8	84.8	86.4	
72	104	97.6	99.2	
84.8	116.8	108.8	110.4	
96	129.6	121.6	123.2	
108.8	140.8	132.8	134.4	
120	153.6	145.6	147.2	
132.8	164.8	158.4	158.4	
144	177.6	169.6	171.2	
156.8	188.8	182.4	182.4	
168	201.6	193.6	195.2	
180.8	214.4	206.4	208	
192	225.6	217.6	219.2	
204.8	238.4	230.4	232	
216	241.6	241.6	241.6	
228.8	243.2	241.6	241.6	
240	241.6	243.2	241.6	
240	241.6	241.6	241.6	
241.6	241.6	241.6	243.2	
240	241.6	241.6	241.6	
241.6	243.2	241.6	243.2	
240	241.6	241.6	241.6	
241.6	243.2	241.6	241.6	
240	241.6	243.2	241.6	
241.6	241.6	241.6	241.6	
240	241.6	243.2	241.6	
241.6	241.6	241.6	241.6	
240	241.6	241.6	241.6	
241.6	241.6	241.6	241.6	
240	243.2	241.6	241.6	
241.6	241.6	241.6	241.6	
240	241.6	241.6	241.6	
241.6	241.6	241.6	241.6	
240	241.6	241.6	241.6	
241.6	241.6	243.2	241.6	
240	241.6	241.6	241.6	
241.6	243.2	241.6	241.6	
240	241.6	241.6	241.6	
240	243.2	241.6	240	
241.6	241.6	241.6	241.6	
240	241.6	241.6	241.6	
241.6	241.6	243.2	241.6	
240	241.6	241.6	241.6	
241.6	241.6	241.6	241.6	
240	241.6	241.6	241.6	
241.6	243.2	241.6	241.6	
240	241.6	241.6	241.6	
241.6	243.2	241.6	241.6	
240	241.6	241.6	241.6	
241.6	241.6	241.6	243.2	
240	241.6	243.2	241.6	
241.6	241.6	241.6	241.6	
240	243.2	243.2	241.6	
241.6	241.6	241.6	241.6	
240	243.2	241.6	241.6	
241.6	241.6	241.6	241.6	
241.6	241.6	241.6	241.6	
241.6	241.6	241.6	241.6	
241.6	241.6	241.6	243.2	
240	243.2	243.2	241.6	
241.6	241.6	241.6	241.6	
240	243.2	241.6	241.6	
241.6	241.6	241.6	241.6	
240	243.2	241.6	241.6	
241.6	241.6	241.6	241.6	
