Linux 3.13.0-68-generic (ds-server2) 	10/12/2016 	_x86_64_	(24 CPU)

07:20:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:20:32 PM  all    0.71    0.00    2.58    1.46    0.00    0.00    0.00    0.00    0.00   95.25
07:20:33 PM  all    0.75    0.00    4.05    0.13    0.00    0.00    0.00    0.00    0.00   95.08
07:20:34 PM  all    3.61    0.00    4.71   11.58    0.00    0.08    0.00    0.00    0.00   80.02
07:20:35 PM  all   11.83    0.00    8.48   27.24    0.00    0.13    0.00    0.00    0.00   52.32
07:20:36 PM  all    8.51    0.00    6.84   19.52    0.00    0.09    0.00    0.00    0.00   65.05
07:20:37 PM  all    5.07    0.00    8.04   20.37    0.00    0.17    0.00    0.00    0.00   66.35
07:20:38 PM  all    9.70    0.00    8.68   22.93    0.00    0.13    0.00    0.00    0.00   58.57
07:20:39 PM  all   15.35    0.00    7.08   20.11    0.00    0.21    0.00    0.00    0.00   57.25
07:20:40 PM  all   19.24    0.00    7.82   18.78    0.00    0.34    0.00    0.00    0.00   53.82
07:20:41 PM  all   17.15    0.00    8.20   19.87    0.00    0.13    0.00    0.00    0.00   54.65
07:20:42 PM  all   23.06    0.00    5.65   18.74    0.00    0.21    0.00    0.00    0.00   52.33
07:20:43 PM  all   27.01    0.00    5.32   16.84    0.00    0.13    0.00    0.00    0.00   50.70
07:20:44 PM  all   15.91    0.00    6.94   20.02    0.00    0.13    0.00    0.00    0.00   57.00
07:20:45 PM  all   11.66    0.00    8.02   20.02    0.00    0.26    0.00    0.00    0.00   60.05
07:20:46 PM  all    8.82    0.00    7.61   18.89    0.00    0.30    0.00    0.00    0.00   64.39
07:20:47 PM  all   14.52    0.00    5.90   13.40    0.00    0.22    0.00    0.00    0.00   65.96
07:20:48 PM  all   13.85    0.00    6.65   13.94    0.00    0.30    0.00    0.00    0.00   65.26
07:20:49 PM  all   11.27    0.00    7.23   13.90    0.00    0.17    0.00    0.00    0.00   67.43
07:20:50 PM  all   10.21    0.00    7.15   13.57    0.00    0.17    0.00    0.00    0.00   68.89
07:20:51 PM  all   16.87    0.00    6.24   11.92    0.00    0.17    0.00    0.00    0.00   64.80
07:20:52 PM  all   13.76    0.00    6.48   10.56    0.00    0.17    0.00    0.00    0.00   69.02
07:20:53 PM  all   11.88    0.00    5.64   10.68    0.00    0.09    0.00    0.00    0.00   71.71
07:20:54 PM  all   11.38    0.00    5.54    9.32    0.00    0.13    0.00    0.00    0.00   73.64
07:20:55 PM  all   11.93    0.00    4.43    8.52    0.00    0.13    0.00    0.00    0.00   74.99
07:20:56 PM  all   12.67    0.00    5.09    8.73    0.00    0.17    0.00    0.00    0.00   73.34
07:20:57 PM  all   11.82    0.00    5.40    7.58    0.00    0.21    0.00    0.00    0.00   74.99
07:20:58 PM  all   13.35    0.00    5.74    6.76    0.00    0.09    0.00    0.00    0.00   74.06
07:20:59 PM  all   13.29    0.00    5.56    5.90    0.00    0.04    0.00    0.00    0.00   75.20
07:21:00 PM  all   11.05    0.00    4.84    5.78    0.00    0.17    0.00    0.00    0.00   78.16
07:21:01 PM  all   11.14    0.00    4.02    5.83    0.00    0.13    0.00    0.00    0.00   78.89
07:21:02 PM  all   12.20    0.00    4.29    5.23    0.00    0.04    0.00    0.00    0.00   78.23
07:21:03 PM  all   12.98    0.00    3.79    4.64    0.00    0.08    0.00    0.00    0.00   78.51
07:21:04 PM  all    9.27    0.00    2.66    2.99    0.00    0.04    0.00    0.00    0.00   85.03
07:21:05 PM  all    7.02    0.00    2.77    1.72    0.00    0.00    0.00    0.00    0.00   88.48
07:21:06 PM  all    7.78    0.00    2.86    2.44    0.00    0.00    0.00    0.00    0.00   86.93
07:21:07 PM  all    6.38    0.00    2.06    5.20    0.00    0.00    0.00    0.00    0.00   86.36
07:21:08 PM  all    5.99    0.00    2.05    5.07    0.00    0.00    0.00    0.00    0.00   86.88
07:21:09 PM  all    5.79    0.00    2.14    4.41    0.00    0.13    0.00    0.00    0.00   87.54
07:21:10 PM  all    6.08    0.00    2.31    4.99    0.00    0.13    0.00    0.00    0.00   86.50
07:21:11 PM  all    5.96    0.00    2.02    5.04    0.00    0.00    0.00    0.00    0.00   86.98
07:21:12 PM  all    7.28    0.00    1.94    5.05    0.00    0.00    0.00    0.00    0.00   85.74
07:21:13 PM  all    7.52    0.00    1.85    5.42    0.00    0.00    0.00    0.00    0.00   85.20
07:21:14 PM  all    5.97    0.00    1.64    5.30    0.00    0.00    0.00    0.00    0.00   87.09
07:21:15 PM  all    0.71    0.00    0.71    6.58    0.00    0.04    0.00    0.00    0.00   91.95
07:21:16 PM  all    0.46    0.00    0.50    5.36    0.00    0.00    0.00    0.00    0.00   93.68
07:21:17 PM  all    0.59    0.00    0.50    8.09    0.00    0.00    0.00    0.00    0.00   90.82
07:21:18 PM  all    0.42    0.00    0.54    7.95    0.00    0.00    0.00    0.00    0.00   91.09
07:21:19 PM  all    0.46    0.00    0.59    7.15    0.00    0.00    0.00    0.00    0.00   91.81
07:21:20 PM  all    0.46    0.00    0.42    7.75    0.00    0.04    0.00    0.00    0.00   91.33
07:21:21 PM  all    0.38    0.00    0.46    7.41    0.00    0.00    0.00    0.00    0.00   91.76
07:21:22 PM  all    0.63    0.00    0.67    7.75    0.00    0.00    0.00    0.00    0.00   90.95
07:21:23 PM  all    0.38    0.00    0.54    6.86    0.00    0.00    0.00    0.00    0.00   92.21
07:21:24 PM  all    0.29    0.00    0.42    6.83    0.00    0.00    0.00    0.00    0.00   92.45
07:21:25 PM  all    0.34    0.00    0.46    7.63    0.00    0.00    0.00    0.00    0.00   91.58
07:21:26 PM  all    0.54    0.00    0.59    7.08    0.00    0.08    0.00    0.00    0.00   91.71
07:21:27 PM  all    0.67    0.00    0.63    4.60    0.00    0.00    0.00    0.00    0.00   94.10
07:21:28 PM  all    0.42    0.00    0.50    6.95    0.00    0.04    0.00    0.00    0.00   92.09
07:21:29 PM  all    0.33    0.00    0.59    5.73    0.00    0.00    0.00    0.00    0.00   93.34
07:21:30 PM  all    0.38    0.00    0.46    7.08    0.00    0.00    0.00    0.00    0.00   92.08
07:21:31 PM  all    0.29    0.00    0.54    7.88    0.00    0.00    0.00    0.00    0.00   91.29
07:21:32 PM  all    0.92    0.00    0.54    7.78    0.00    0.04    0.00    0.00    0.00   90.72
07:21:33 PM  all    0.54    0.00    0.80    8.46    0.00    0.00    0.00    0.00    0.00   90.20
07:21:34 PM  all    0.42    0.00    0.54    7.99    0.00    0.00    0.00    0.00    0.00   91.05
07:21:35 PM  all    0.29    0.00    0.50    5.53    0.00    0.00    0.00    0.00    0.00   93.68
07:21:36 PM  all    0.29    0.00    0.50    7.15    0.00    0.00    0.00    0.00    0.00   92.05
07:21:37 PM  all    0.71    0.00    0.42    6.04    0.00    0.04    0.00    0.00    0.00   92.79
07:21:38 PM  all    0.29    0.00    0.54    5.74    0.00    0.00    0.00    0.00    0.00   93.43
07:21:39 PM  all    0.33    0.00    0.71    5.98    0.00    0.00    0.00    0.00    0.00   92.97
07:21:40 PM  all    0.29    0.00    0.54    6.53    0.00    0.00    0.00    0.00    0.00   92.63
07:21:41 PM  all    0.25    0.00    0.38    7.76    0.00    0.00    0.00    0.00    0.00   91.61
07:21:42 PM  all    0.67    0.00    0.50    7.53    0.00    0.04    0.00    0.00    0.00   91.25
07:21:43 PM  all    0.29    0.00    0.42    8.04    0.00    0.00    0.00    0.00    0.00   91.24
07:21:44 PM  all    0.29    0.00    0.34    8.01    0.00    0.00    0.00    0.00    0.00   91.37
07:21:45 PM  all    0.38    0.00    0.50    8.07    0.00    0.00    0.00    0.00    0.00   91.05
07:21:46 PM  all    0.29    0.00    0.46    6.54    0.00    0.04    0.00    0.00    0.00   92.67
07:21:47 PM  all    0.75    0.00    0.59    6.74    0.00    0.00    0.00    0.00    0.00   91.92
07:21:48 PM  all    0.25    0.00    0.59    6.56    0.00    0.00    0.00    0.00    0.00   92.60
07:21:49 PM  all    0.38    0.00    0.59    7.86    0.00    0.00    0.00    0.00    0.00   91.18
07:21:50 PM  all    0.29    0.00    0.38    7.42    0.00    0.00    0.00    0.00    0.00   91.90
07:21:51 PM  all    0.25    0.00    0.54    6.62    0.00    0.00    0.00    0.00    0.00   92.59
07:21:52 PM  all    0.79    0.00    0.59    6.86    0.00    0.00    0.00    0.00    0.00   91.76
07:21:53 PM  all    0.29    0.00    0.50    8.08    0.00    0.00    0.00    0.00    0.00   91.13
07:21:54 PM  all    0.25    0.00    0.42    8.08    0.00    0.04    0.00    0.00    0.00   91.21
07:21:55 PM  all    0.25    0.00    0.46    8.04    0.00    0.00    0.00    0.00    0.00   91.24
07:21:56 PM  all    0.33    0.00    0.50    8.07    0.00    0.04    0.00    0.00    0.00   91.05
07:21:57 PM  all    0.25    0.00    0.46    8.12    0.00    0.04    0.00    0.00    0.00   91.12
07:21:58 PM  all    0.59    0.00    0.50    8.08    0.00    0.00    0.00    0.00    0.00   90.83
07:21:59 PM  all    0.29    0.00    0.54    5.77    0.00    0.00    0.00    0.00    0.00   93.39
