Linux 3.13.0-68-generic (ds-server2) 	10/14/2016 	_x86_64_	(24 CPU)

12:27:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:27:40 AM  all    2.13    0.00    0.21    1.71    0.00    0.00    0.00    0.00    0.00   95.95
12:27:41 AM  all    4.21    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   95.67
12:27:42 AM  all    4.21    0.00    0.33    3.71    0.00    0.04    0.00    0.00    0.00   91.71
12:27:43 AM  all    4.22    0.00    0.08    3.97    0.00    0.00    0.00    0.00    0.00   91.73
12:27:44 AM  all    3.55    0.00    0.79    3.84    0.00    0.00    0.00    0.00    0.00   91.82
12:27:45 AM  all    1.04    0.00    3.29    0.08    0.00    0.00    0.00    0.00    0.00   95.58
12:27:46 AM  all    0.54    0.00    3.79    0.00    0.00    0.00    0.00    0.00    0.00   95.67
12:27:47 AM  all    0.75    0.00    3.58    0.00    0.00    0.00    0.00    0.00    0.00   95.67
12:27:48 AM  all    1.79    0.00    2.58    0.00    0.00    0.00    0.00    0.00    0.00   95.63
12:27:49 AM  all    1.92    0.00    2.42    0.00    0.00    0.00    0.00    0.00    0.00   95.67
12:27:50 AM  all    1.79    0.00    1.54    1.13    0.00    0.00    0.00    0.00    0.00   95.54
12:27:51 AM  all    0.13    0.00    4.54    0.00    0.00    0.00    0.00    0.00    0.00   95.33
