5 GB	30 GB	25 GB	20 GB	15 GB	10 GB	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	6.4	0	0	
11.2	6.4	0	16	0	6.4	
32	14.4	11.2	32	9.6	20.8	
51.2	19.2	25.6	46.4	22.4	33.6	
68.8	27.2	41.6	59.2	36.8	48	
88	36.8	56	73.6	51.2	60.8	
107.2	43.2	68.8	88	64	73.6	
124.8	54.4	83.2	102.4	76.8	88	
145.6	59.2	97.6	115.2	89.6	104	
163.2	65.6	110.4	126.4	104	115.2	
182.4	68.8	121.6	140.8	116.8	128	
203.2	76.8	136	155.2	124.8	140.8	
220.8	81.6	150.4	169.6	139.2	155.2	
238.4	86.4	160	182.4	150.4	169.6	
259.2	94.4	169.6	198.4	164.8	184	
276.8	100.8	184	212.8	177.6	198.4	
296	105.6	200	224	193.6	212.8	
315.2	112	212.8	238.4	206.4	225.6	
332.8	118.4	225.6	254.4	219.2	236.8	
353.6	123.2	240	268.8	230.4	251.2	
372.8	128	254.4	275.2	244.8	265.6	
379.2	126.4	268.8	278.4	259.2	272	
377.6	126.4	270.4	276.8	262.4	272	
377.6	124.8	270.4	276.8	262.4	273.6	
377.6	126.4	268.8	276.8	260.8	273.6	
379.2	123.2	268.8	276.8	259.2	273.6	
377.6	121.6	268.8	278.4	262.4	275.2	
379.2	115.2	268.8	276.8	264	275.2	
377.6	118.4	268.8	276.8	262.4	272	
379.2	116.8	267.2	280	262.4	273.6	
374.4	120	270.4	280	260.8	275.2	
366.4	118.4	270.4	280	265.6	276.8	
360	118.4	270.4	278.4	265.6	275.2	
355.2	121.6	273.6	281.6	272	273.6	
345.6	120	278.4	280	270.4	273.6	
340.8	121.6	278.4	278.4	272	273.6	
334.4	121.6	278.4	281.6	270.4	273.6	
326.4	123.2	278.4	281.6	270.4	273.6	
321.6	121.6	280	280	270.4	276.8	
312	121.6	280	278.4	273.6	276.8	
307.2	124.8	280	276.8	273.6	275.2	
302.4	123.2	275.2	275.2	272	273.6	
310.4	120	275.2	268.8	270.4	267.2	
300.8	126.4	272	265.6	265.6	262.4	
296	121.6	265.6	260.8	260.8	257.6	
288	120	260.8	257.6	257.6	257.6	
281.6	123.2	257.6	251.2	251.2	251.2	
276.8	123.2	251.2	248	243.2	246.4	
268.8	121.6	246.4	243.2	240	243.2	
260.8	124.8	243.2	238.4	233.6	238.4	
259.2	123.2	238.4	232	232	233.6	
259.2	128	232	228.8	232	227.2	
259.2	129.6	227.2	224	224	225.6	
259.2	128	224	217.6	212.8	220.8	
259.2	129.6	219.2	211.2	208	214.4	
260.8	126.4	214.4	203.2	203.2	209.6	
257.6	129.6	208	198.4	196.8	203.2	
260.8	128	203.2	195.2	192	201.6	
259.2	129.6	198.4	188.8	188.8	208	
260.8	129.6	192	187.2	184	203.2	
257.6	129.6	185.6	184	177.6	196.8	
257.6	129.6	185.6	180.8	176	195.2	
244.8	131.2	182.4	187.2	172.8	196.8	
252.8	128	179.2	182.4	172.8	196.8	
251.2	129.6	177.6	184	172.8	196.8	
251.2	129.6	184	195.2	171.2	192	
252.8	129.6	184	212.8	169.6	195.2	
252.8	131.2	187.2	236.8	172.8	198.4	
252.8	131.2	187.2	259.2	174.4	198.4	
254.4	129.6	187.2	291.2	174.4	200	
254.4	128	188.8	324.8	172.8	196.8	
252.8	124.8	188.8	358.4	168	198.4	
254.4	124.8	192	395.2	171.2	198.4	
252.8	126.4	192	428.8	172.8	198.4	
254.4	128	190.4	464	174.4	198.4	
251.2	131.2	192	499.2	172.8	203.2	
254.4	136	190.4	534.4	172.8	203.2	
251.2	134.4	188.8	568	172.8	198.4	
252.8	137.6	192	603.2	171.2	196.8	
251.2	144	190.4	635.2	171.2	196.8	
252.8	145.6	192	670.4	174.4	198.4	
256	152	195.2	700.8	171.2	196.8	
256	155.2	195.2	728	169.6	196.8	
249.6	153.6	203.2	764.8	169.6	196.8	
251.2	156.8	206.4	793.6	171.2	196.8	
248	161.6	206.4	804.8	179.2	195.2	
249.6	163.2	203.2	816	206.4	193.6	
248	169.6	203.2	824	235.2	188.8	
248	171.2	208	836.8	260.8	188.8	
248	176	214.4	838.4	294.4	188.8	
246.4	185.6	211.2	840	316.8	190.4	
248	185.6	212.8	838.4	347.2	192	
248	190.4	209.6	835.2	379.2	188.8	
248	190.4	222.4	835.2	417.6	188.8	
248	195.2	248	835.2	451.2	188.8	
254.4	195.2	270.4	840	484.8	184	
252.8	192	304	840	518.4	185.6	
254.4	196.8	334.4	838.4	553.6	187.2	
254.4	198.4	363.2	836.8	587.2	177.6	
257.6	208	398.4	836.8	619.2	176	
256	208	433.6	838.4	651.2	176	
251.2	204.8	464	843.2	697.6	177.6	
251.2	203.2	497.6	844.8	732.8	177.6	
252.8	203.2	524.8	843.2	763.2	177.6	
251.2	209.6	558.4	848	793.6	177.6	
254.4	212.8	584	860.8	827.2	180.8	
251.2	217.6	622.4	867.2	838.4	180.8	
252.8	214.4	656	868.8	843.2	180.8	
251.2	224	680	865.6	851.2	180.8	
251.2	228.8	707.2	867.2	852.8	180.8	
252.8	225.6	742.4	868.8	854.4	190.4	
251.2	228.8	777.6	862.4	851.2	187.2	
251.2	224	812.8	867.2	849.6	192	
252.8	225.6	835.2	865.6	838.4	195.2	
251.2	220.8	846.4	864	838.4	195.2	
246.4	220.8	856	864	840	193.6	
249.6	222.4	857.6	862.4	844.8	192	
248	222.4	865.6	864	844.8	193.6	
248	220.8	868.8	867.2	843.2	193.6	
246.4	209.6	872	867.2	843.2	195.2	
248	206.4	870.4	865.6	838.4	201.6	
252.8	212.8	870.4	865.6	827.2	200	
252.8	217.6	868.8	867.2	820.8	198.4	
254.4	222.4	867.2	868.8	828.8	196.8	
254.4	211.2	865.6	867.2	827.2	195.2	
254.4	212.8	867.2	864	819.2	200	
254.4	203.2	867.2	852.8	812.8	206.4	
252.8	203.2	867.2	852.8	816	206.4	
254.4	196.8	872	859.2	816	209.6	
254.4	196.8	873.6	857.6	814.4	212.8	
252.8	195.2	875.2	856	825.6	204.8	
254.4	198.4	873.6	862.4	832	206.4	
254.4	203.2	872	859.2	832	201.6	
254.4	203.2	868.8	862.4	838.4	201.6	
256	198.4	868.8	865.6	827.2	201.6	
259.2	198.4	868.8	865.6	828.8	203.2	
259.2	195.2	868.8	865.6	825.6	201.6	
268.8	201.6	870.4	867.2	824	201.6	
270.4	200	870.4	865.6	827.2	201.6	
267.2	196.8	872	878.4	828.8	201.6	
267.2	200	872	880	832	200	
264	204.8	873.6	881.6	832	200	
260.8	198.4	873.6	876.8	836.8	203.2	
259.2	203.2	873.6	872	836.8	206.4	
259.2	209.6	875.2	867.2	840	209.6	
259.2	204.8	875.2	867.2	841.6	212.8	
260.8	206.4	873.6	875.2	844.8	204.8	
260.8	211.2	872	876.8	840	206.4	
260.8	209.6	872	868.8	838.4	208	
259.2	212.8	872	868.8	838.4	212.8	
260.8	217.6	872	870.4	828.8	216	
260.8	212.8	872	870.4	828.8	214.4	
259.2	211.2	875.2	864	824	214.4	
259.2	211.2	876.8	859.2	830.4	212.8	
257.6	222.4	875.2	860.8	843.2	214.4	
254.4	225.6	878.4	856	838.4	214.4	
252.8	233.6	880	843.2	836.8	217.6	
244.8	233.6	876.8	828.8	836.8	222.4	
241.6	236.8	875.2	835.2	836.8	224	
244.8	238.4	872	822.4	838.4	222.4	
244.8	248	872	816	832	222.4	
243.2	246.4	870.4	809.6	838.4	225.6	
243.2	252.8	875.2	806.4	840	232	
243.2	248	872	811.2	832	230.4	
244.8	251.2	868.8	817.6	828.8	228.8	
243.2	260.8	859.2	817.6	824	227.2	
243.2	262.4	856	820.8	816	230.4	
