60 GB	50 GB	45 GB	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	8	0	
0	17.6	1.6	
0	30.4	9.6	
8	41.6	19.2	
17.6	52.8	28.8	
30.4	59.2	38.4	
41.6	70.4	49.6	
52.8	81.6	59.2	
64	94.4	68.8	
73.6	105.6	78.4	
83.2	118.4	86.4	
96	129.6	96	
107.2	140.8	105.6	
120	152	115.2	
131.2	161.6	124.8	
142.4	171.2	134.4	
152	182.4	144	
163.2	192	153.6	
174.4	203.2	163.2	
184	212.8	172.8	
195.2	216	182.4	
204.8	217.6	190.4	
214.4	214.4	192	
217.6	214.4	190.4	
217.6	214.4	190.4	
214.4	217.6	190.4	
214.4	217.6	188.8	
212.8	217.6	188.8	
211.2	216	188.8	
214.4	214.4	188.8	
214.4	211.2	190.4	
211.2	211.2	190.4	
209.6	209.6	190.4	
208	209.6	190.4	
208	211.2	190.4	
206.4	211.2	192	
206.4	211.2	195.2	
206.4	212.8	196.8	
204.8	211.2	198.4	
206.4	212.8	196.8	
204.8	212.8	196.8	
206.4	212.8	198.4	
206.4	214.4	200	
204.8	214.4	201.6	
206.4	212.8	203.2	
208	214.4	204.8	
206.4	212.8	209.6	
208	211.2	209.6	
208	211.2	211.2	
204.8	212.8	212.8	
204.8	212.8	211.2	
204.8	211.2	211.2	
204.8	212.8	212.8	
203.2	212.8	212.8	
201.6	211.2	214.4	
200	212.8	212.8	
200	212.8	209.6	
196.8	212.8	209.6	
196.8	214.4	208	
195.2	214.4	211.2	
195.2	214.4	212.8	
193.6	214.4	212.8	
193.6	214.4	212.8	
193.6	216	212.8	
192	217.6	216	
192	217.6	214.4	
192	216	211.2	
190.4	217.6	212.8	
190.4	216	214.4	
