60 GB	50 GB	45 GB	
0.594921	0.54467	0.800664	
1.04409	1.32266	1.82859	
1.42624	2.59082	3.01825	
1.71619	2.99985	3.59237	
1.97471	3.27487	3.97037	
2.18912	3.52653	4.22089	
2.39841	3.7421	4.49077	
2.559	3.94423	4.7474	
2.69482	4.09348	4.94357	
2.8237	4.24754	5.1592	
2.93873	4.38186	5.46053	
3.05711	4.4983	5.65625	
3.17233	4.59974	5.81826	
3.27428	4.69915	5.96135	
3.37023	4.79144	6.06556	
3.47017	4.88162	6.17742	
3.562	4.9743	6.29495	
3.66262	5.06176	6.41383	
3.75491	5.14747	6.51965	
3.8416	5.22953	6.62087	
3.36333	4.77047	5.92888	
2.98791	4.0837	4.99199	
2.70078	2.90558	3.92889	
2.49551	2.57563	3.51689	
2.31823	2.38628	3.25344	
2.18944	2.21987	3.10475	
2.06997	2.09444	2.92825	
1.99049	1.97841	2.75974	
1.9368	1.90735	2.66088	
1.89416	1.83265	2.53952	
1.86474	1.78129	2.32726	
1.82646	1.74337	2.24736	
1.78968	1.72639	2.17678	
1.77072	1.70983	2.12063	
1.77393	1.69721	2.11968	
1.75881	1.68954	2.11452	
1.75859	1.68631	2.08142	
1.74239	1.6789	2.05156	
1.7318	1.67917	2.03616	
1.72521	1.68297	2.03763	
1.71823	1.67308	2.02864	
1.69705	1.66462	2.02727	
1.69021	1.66556	1.99127	
1.6809	1.67957	1.91948	
1.67621	1.67472	1.93942	
1.6721	1.67586	1.92752	
1.66239	1.67405	1.91309	
1.66206	1.67119	1.90724	
1.79814	1.67587	1.90088	
1.78971	1.68243	1.88938	
1.79024	1.69712	1.90681	
1.78776	1.70577	1.86789	
1.79021	1.70043	1.85617	
1.78691	1.70486	1.88489	
1.76573	1.71693	1.89042	
1.7652	1.72684	1.87531	
1.75522	1.7228	1.87987	
1.75509	1.72867	1.87981	
1.75668	1.73053	1.86756	
1.74829	1.72586	1.84173	
1.74527	1.7297	1.82547	
1.739	1.73082	1.81809	
1.72507	1.71958	1.81955	
1.724	1.71588	1.81255	
