Linux 3.13.0-68-generic (ds-server2) 	07/22/2016 	_x86_64_	(24 CPU)

08:56:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:56:40 PM  all    0.29    0.00    1.38    3.75    0.00    0.00    0.00    0.00    0.00   94.58
08:56:41 PM  all    1.75    0.00    0.25    2.21    0.00    0.00    0.00    0.00    0.00   95.79
08:56:42 PM  all    1.29    0.00    1.96    2.21    0.00    0.04    0.00    0.00    0.00   94.50
08:56:43 PM  all    5.18    0.00    4.80   23.15    0.00    0.04    0.00    0.00    0.00   66.84
08:56:44 PM  all    3.38    0.00    5.50   29.43    0.00    0.13    0.00    0.00    0.00   61.56
08:56:45 PM  all    1.89    0.00    2.31   11.53    0.00    0.08    0.00    0.00    0.00   84.18
08:56:46 PM  all    2.35    0.00    2.98    9.96    0.00    0.04    0.00    0.00    0.00   84.66
08:56:47 PM  all    1.94    0.00    2.19   10.91    0.00    0.04    0.00    0.00    0.00   84.92
08:56:48 PM  all    2.20    0.00    3.63   10.39    0.00    0.17    0.00    0.00    0.00   83.61
08:56:49 PM  all    7.28    0.00    4.81   25.84    0.00    0.21    0.00    0.00    0.00   61.86
08:56:50 PM  all    7.28    0.00    7.45   33.25    0.00    0.38    0.00    0.00    0.00   51.64
08:56:51 PM  all    2.87    0.00    2.91   10.63    0.00    0.04    0.00    0.00    0.00   83.55
08:56:52 PM  all    3.22    0.00    2.97    9.92    0.00    0.00    0.00    0.00    0.00   83.90
08:56:53 PM  all    3.05    0.00    2.79    9.94    0.00    0.08    0.00    0.00    0.00   84.14
08:56:54 PM  all    2.71    0.00    3.13   10.24    0.00    0.04    0.00    0.00    0.00   83.88
08:56:55 PM  all    3.48    0.00    2.04    9.89    0.00    0.04    0.00    0.00    0.00   84.54
08:56:56 PM  all    3.69    0.00    5.04   10.83    0.00    0.13    0.00    0.00    0.00   80.31
08:56:57 PM  all    3.93    0.00    2.57   10.85    0.00    0.04    0.00    0.00    0.00   82.61
08:56:58 PM  all    4.80    0.00    2.97   10.07    0.00    0.08    0.00    0.00    0.00   82.07
08:56:59 PM  all    3.73    0.00    3.85    9.95    0.00    0.08    0.00    0.00    0.00   82.39
08:57:00 PM  all    4.41    0.00    2.29   10.34    0.00    0.08    0.00    0.00    0.00   82.87
08:57:01 PM  all    6.18    0.00    3.53    9.21    0.00    0.08    0.00    0.00    0.00   81.00
08:57:02 PM  all    5.12    0.00    5.96    9.13    0.00    0.04    0.00    0.00    0.00   79.75
08:57:03 PM  all    6.00    0.00    2.20   10.78    0.00    0.13    0.00    0.00    0.00   80.90
08:57:04 PM  all    5.68    0.00    4.11    8.78    0.00    0.08    0.00    0.00    0.00   81.34
08:57:05 PM  all    6.75    0.00    3.27    8.71    0.00    0.13    0.00    0.00    0.00   81.14
08:57:06 PM  all    5.74    0.00    5.91    8.02    0.00    0.04    0.00    0.00    0.00   80.28
08:57:07 PM  all    5.37    0.00    1.92   10.66    0.00    0.09    0.00    0.00    0.00   81.97
08:57:08 PM  all   11.02    0.00    3.62    8.00    0.00    0.09    0.00    0.00    0.00   77.29
08:57:09 PM  all    6.51    0.00    2.45    6.64    0.00    0.08    0.00    0.00    0.00   84.31
08:57:10 PM  all    9.37    0.00    7.26    8.31    0.00    0.04    0.00    0.00    0.00   75.02
