Linux 3.13.0-68-generic (ds-server2) 	07/22/2016 	_x86_64_	(24 CPU)

08:45:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:45:27 PM  all    2.25    0.00    0.58    1.88    0.00    0.08    0.00    0.00    0.00   95.21
08:45:28 PM  all    1.33    0.00    2.79    0.58    0.00    0.00    0.00    0.00    0.00   95.29
08:45:29 PM  all    3.21    0.00    7.70   29.18    0.00    0.30    0.00    0.00    0.00   59.62
08:45:30 PM  all    3.25    0.00    5.64   33.48    0.00    0.34    0.00    0.00    0.00   57.29
08:45:31 PM  all    2.40    0.00    2.57   10.54    0.00    0.00    0.00    0.00    0.00   84.49
08:45:32 PM  all    2.16    0.00    3.05   10.69    0.00    0.00    0.00    0.00    0.00   84.10
08:45:33 PM  all    5.18    0.00    2.85   10.70    0.00    0.04    0.00    0.00    0.00   81.23
08:45:34 PM  all    5.12    0.00    3.82   10.66    0.00    0.08    0.00    0.00    0.00   80.32
08:45:35 PM  all    5.72    0.00    6.92   26.74    0.00    0.26    0.00    0.00    0.00   60.36
08:45:36 PM  all   11.90    0.00    7.41   35.82    0.00    0.21    0.00    0.00    0.00   44.67
08:45:37 PM  all    5.27    0.00    4.17    9.95    0.00    0.04    0.00    0.00    0.00   80.57
08:45:38 PM  all    3.07    0.00    3.41   10.07    0.00    0.00    0.00    0.00    0.00   83.44
08:45:39 PM  all    7.95    0.00    2.79    9.09    0.00    0.08    0.00    0.00    0.00   80.09
08:45:40 PM  all    3.36    0.00    2.93    8.67    0.00    0.00    0.00    0.00    0.00   85.03
08:45:41 PM  all    3.12    0.00    3.33    9.35    0.00    0.00    0.00    0.00    0.00   84.21
08:45:42 PM  all    4.36    0.00    3.82    9.81    0.00    0.08    0.00    0.00    0.00   81.93
08:45:43 PM  all    3.89    0.00    2.69    9.69    0.00    0.09    0.00    0.00    0.00   83.65
08:45:44 PM  all    4.74    0.00    2.96    9.14    0.00    0.00    0.00    0.00    0.00   83.16
08:45:45 PM  all    7.61    0.00    3.93    9.22    0.00    0.04    0.00    0.00    0.00   79.19
08:45:46 PM  all    4.72    0.00    3.79    9.23    0.00    0.09    0.00    0.00    0.00   82.18
08:45:47 PM  all    4.61    0.00    2.70    7.95    0.00    0.08    0.00    0.00    0.00   84.66
08:45:48 PM  all    5.55    0.00    3.81    8.60    0.00    0.04    0.00    0.00    0.00   81.99
08:45:49 PM  all    5.56    0.00    4.51    8.55    0.00    0.04    0.00    0.00    0.00   81.34
08:45:50 PM  all    6.48    0.00    4.36    8.69    0.00    0.04    0.00    0.00    0.00   80.42
08:45:51 PM  all    7.03    0.00    4.15    8.59    0.00    0.04    0.00    0.00    0.00   80.19
08:45:52 PM  all    5.75    0.00    4.01    7.72    0.00    0.09    0.00    0.00    0.00   82.44
08:45:53 PM  all    6.72    0.00    3.79    7.28    0.00    0.13    0.00    0.00    0.00   82.09
08:45:54 PM  all    8.68    0.00    5.17    8.22    0.00    0.08    0.00    0.00    0.00   77.85
08:45:55 PM  all   10.21    0.00    4.41    7.98    0.00    0.08    0.00    0.00    0.00   77.31
08:45:56 PM  all   10.75    0.00    4.20    7.85    0.00    0.13    0.00    0.00    0.00   77.08
08:45:57 PM  all    8.07    0.00    4.50    6.75    0.00    0.04    0.00    0.00    0.00   80.63
08:45:58 PM  all   26.55    0.00    4.60   11.13    0.00    0.26    0.00    0.00    0.00   57.47
08:45:59 PM  all   40.32    0.00    8.77    9.91    0.00    0.17    0.00    0.00    0.00   40.83
08:46:00 PM  all   17.08    0.00    4.35    9.72    0.00    0.13    0.00    0.00    0.00   68.72
08:46:01 PM  all   18.48    0.00    4.78    8.92    0.00    0.08    0.00    0.00    0.00   67.74
08:46:02 PM  all   20.02    0.00    6.01    9.69    0.00    0.13    0.00    0.00    0.00   64.16
08:46:03 PM  all   23.31    0.00    7.24    9.71    0.00    0.17    0.00    0.00    0.00   59.58
08:46:04 PM  all   25.10    0.00    7.01    9.04    0.00    0.17    0.00    0.00    0.00   58.68
08:46:05 PM  all   22.97    0.00    5.27    8.09    0.00    0.25    0.00    0.00    0.00   63.42
08:46:06 PM  all   25.27    0.00    6.33    9.66    0.00    0.08    0.00    0.00    0.00   58.65
08:46:07 PM  all   28.86    0.00    6.95    9.26    0.00    0.25    0.00    0.00    0.00   54.67
08:46:08 PM  all   39.01    0.00    7.77    8.58    0.00    0.13    0.00    0.00    0.00   44.52
08:46:09 PM  all   24.53    0.00    9.19    6.87    0.00    0.17    0.00    0.00    0.00   59.25
08:46:10 PM  all   53.97    0.00   10.13    7.20    0.00    0.25    0.00    0.00    0.00   28.45
08:46:11 PM  all   29.58    0.00    8.55    4.97    0.00    0.08    0.00    0.00    0.00   56.81
08:46:12 PM  all   54.15    0.00   10.97    6.43    0.00    0.26    0.00    0.00    0.00   28.20
08:46:13 PM  all   53.73    0.00   10.03    6.13    0.00    0.21    0.00    0.00    0.00   29.89
08:46:14 PM  all   47.90    0.00    9.40    5.20    0.00    0.17    0.00    0.00    0.00   37.33
08:46:15 PM  all   58.81    0.00    9.67    4.77    0.00    0.21    0.00    0.00    0.00   26.53
08:46:16 PM  all   46.82    0.00    9.91    4.66    0.00    0.08    0.00    0.00    0.00   38.53
08:46:17 PM  all   51.64    0.00    9.02    3.75    0.00    0.13    0.00    0.00    0.00   35.46
08:46:18 PM  all   60.42    0.00   10.27    4.01    0.00    0.26    0.00    0.00    0.00   25.05
08:46:19 PM  all   49.07    0.00    9.33    5.05    0.00    0.08    0.00    0.00    0.00   36.47
08:46:20 PM  all   51.20    0.00   10.00    4.16    0.00    0.17    0.00    0.00    0.00   34.47
08:46:21 PM  all   55.75    0.00    9.77    3.73    0.00    0.08    0.00    0.00    0.00   30.66
08:46:22 PM  all   49.14    0.00    9.89    3.68    0.00    0.09    0.00    0.00    0.00   37.20
08:46:23 PM  all   47.47    0.00   10.07    3.31    0.00    0.25    0.00    0.00    0.00   38.89
08:46:24 PM  all   44.90    0.00    8.85    4.45    0.00    0.04    0.00    0.00    0.00   41.76
08:46:25 PM  all   53.41    0.00   11.24    4.51    0.00    0.21    0.00    0.00    0.00   30.62
08:46:26 PM  all   49.21    0.00    9.27    4.06    0.00    0.09    0.00    0.00    0.00   37.38
08:46:27 PM  all   53.95    0.00   10.53    4.10    0.00    0.17    0.00    0.00    0.00   31.25
08:46:28 PM  all   24.80    0.00    9.43    4.80    0.00    0.04    0.00    0.00    0.00   60.93
08:46:29 PM  all   62.87    0.00    8.07    3.48    0.00    0.08    0.00    0.00    0.00   25.49
08:46:30 PM  all   49.47    0.00    8.96    4.99    0.00    0.21    0.00    0.00    0.00   36.36
08:46:31 PM  all   45.85    0.00    9.88    4.73    0.00    0.04    0.00    0.00    0.00   39.50
08:46:32 PM  all   59.71    0.00    9.32    4.70    0.00    0.13    0.00    0.00    0.00   26.14
08:46:33 PM  all   61.73    0.00   10.10    3.65    0.00    0.08    0.00    0.00    0.00   24.44
08:46:34 PM  all   48.61    0.00   10.94    4.22    0.00    0.08    0.00    0.00    0.00   36.15
08:46:35 PM  all   59.44    0.00   11.21    3.37    0.00    0.13    0.00    0.00    0.00   25.86
08:46:36 PM  all   49.30    0.00   10.11    4.50    0.00    0.13    0.00    0.00    0.00   35.97
08:46:37 PM  all   52.58    0.00    9.48    4.28    0.00    0.13    0.00    0.00    0.00   33.53
08:46:38 PM  all   63.80    0.00   10.66    2.94    0.00    0.13    0.00    0.00    0.00   22.47
08:46:39 PM  all   41.13    0.00    9.48    4.32    0.00    0.04    0.00    0.00    0.00   45.03
08:46:40 PM  all   60.01    0.00   10.71    3.22    0.00    0.17    0.00    0.00    0.00   25.90
08:46:41 PM  all   52.22    0.00    9.47    3.84    0.00    0.17    0.00    0.00    0.00   34.30
08:46:42 PM  all   43.32    0.00   10.71    4.49    0.00    0.04    0.00    0.00    0.00   41.44
08:46:43 PM  all   55.82    0.00   10.83    4.18    0.00    0.13    0.00    0.00    0.00   29.03
08:46:44 PM  all   41.86    0.00    9.70    4.16    0.00    0.13    0.00    0.00    0.00   44.16
08:46:45 PM  all   49.96    0.00   10.85    3.30    0.00    0.09    0.00    0.00    0.00   35.81
08:46:46 PM  all   47.68    0.00   11.06    3.28    0.00    0.04    0.00    0.00    0.00   37.94
08:46:47 PM  all   58.41    0.00    9.14    3.52    0.00    0.04    0.00    0.00    0.00   28.89
08:46:48 PM  all   54.85    0.00    9.87    4.09    0.00    0.13    0.00    0.00    0.00   31.05
08:46:49 PM  all   49.28    0.00   10.29    4.25    0.00    0.09    0.00    0.00    0.00   36.10
08:46:50 PM  all   39.77    0.00   10.23    3.35    0.00    0.08    0.00    0.00    0.00   46.56
08:46:51 PM  all   48.09    0.00   10.04    1.62    0.00    0.09    0.00    0.00    0.00   40.17
08:46:52 PM  all   48.67    0.00    9.44    2.45    0.00    0.13    0.00    0.00    0.00   39.31
08:46:53 PM  all   51.38    0.00   11.55    3.45    0.00    0.00    0.00    0.00    0.00   33.62
08:46:54 PM  all   32.33    0.00    9.69    4.84    0.00    0.08    0.00    0.00    0.00   53.06
08:46:55 PM  all   52.11    0.00   10.44    4.10    0.00    0.13    0.00    0.00    0.00   33.22
08:46:56 PM  all   74.26    0.00    9.73    2.86    0.00    0.09    0.00    0.00    0.00   13.06
08:46:57 PM  all   67.87    0.00    9.29    3.03    0.00    0.13    0.00    0.00    0.00   19.68
08:46:58 PM  all   43.16    0.00    9.13    3.11    0.00    0.17    0.00    0.00    0.00   44.43
08:46:59 PM  all   52.96    0.00    8.90    2.69    0.00    0.08    0.00    0.00    0.00   35.36
08:47:00 PM  all   49.83    0.00    9.38    4.20    0.00    0.13    0.00    0.00    0.00   36.46
08:47:01 PM  all   50.36    0.00   10.64    3.89    0.00    0.13    0.00    0.00    0.00   34.99
08:47:02 PM  all   49.43    0.00    9.29    3.63    0.00    0.25    0.00    0.00    0.00   37.39
08:47:03 PM  all   53.89    0.00   10.01    3.81    0.00    0.09    0.00    0.00    0.00   32.21
08:47:04 PM  all   53.38    0.00   11.33    3.21    0.00    0.13    0.00    0.00    0.00   31.95
08:47:05 PM  all   54.35    0.00    9.55    3.52    0.00    0.08    0.00    0.00    0.00   32.48
08:47:06 PM  all   46.29    0.00   10.39    4.26    0.00    0.17    0.00    0.00    0.00   38.88
08:47:07 PM  all   51.81    0.00   11.48    4.05    0.00    0.21    0.00    0.00    0.00   32.44
08:47:08 PM  all   53.64    0.00   10.99    3.79    0.00    0.04    0.00    0.00    0.00   31.54
08:47:09 PM  all   57.36    0.00    8.94    3.15    0.00    0.00    0.00    0.00    0.00   30.55
08:47:10 PM  all   62.37    0.00   10.57    2.81    0.00    0.08    0.00    0.00    0.00   24.16
08:47:11 PM  all   67.46    0.00    8.94    3.04    0.00    0.13    0.00    0.00    0.00   20.44
08:47:12 PM  all   51.75    0.00   10.09    3.93    0.00    0.04    0.00    0.00    0.00   34.17
08:47:13 PM  all   54.62    0.00   10.66    3.69    0.00    0.17    0.00    0.00    0.00   30.86
08:47:14 PM  all   57.58    0.00   11.00    3.48    0.00    0.09    0.00    0.00    0.00   27.85
08:47:15 PM  all   57.75    0.00   10.13    3.01    0.00    0.08    0.00    0.00    0.00   29.03
08:47:16 PM  all   45.79    0.00    8.87    3.53    0.00    0.04    0.00    0.00    0.00   41.76
08:47:17 PM  all   60.35    0.00    9.90    3.50    0.00    0.17    0.00    0.00    0.00   26.08
08:47:18 PM  all   51.93    0.00    9.38    3.65    0.00    0.04    0.00    0.00    0.00   35.00
08:47:19 PM  all   72.48    0.00    9.56    3.03    0.00    0.17    0.00    0.00    0.00   14.76
08:47:20 PM  all   67.93    0.00    9.96    2.32    0.00    0.08    0.00    0.00    0.00   19.70
08:47:21 PM  all   67.36    0.00    9.43    2.38    0.00    0.08    0.00    0.00    0.00   20.74
08:47:22 PM  all   57.51    0.00    7.47    3.30    0.00    0.17    0.00    0.00    0.00   31.55
08:47:23 PM  all   49.34    0.00    9.17    3.35    0.00    0.13    0.00    0.00    0.00   38.00
08:47:24 PM  all   42.59    0.00    9.06    3.50    0.00    0.13    0.00    0.00    0.00   44.72
08:47:25 PM  all   63.17    0.00   10.35    2.95    0.00    0.13    0.00    0.00    0.00   23.40
08:47:26 PM  all   28.70    0.00   10.35    4.42    0.00    0.08    0.00    0.00    0.00   56.44
08:47:27 PM  all   63.21    0.00   10.88    3.53    0.00    0.13    0.00    0.00    0.00   22.26
08:47:28 PM  all   66.86    0.00    9.37    2.95    0.00    0.21    0.00    0.00    0.00   20.60
08:47:29 PM  all   49.53    0.00    9.45    3.73    0.00    0.08    0.00    0.00    0.00   37.20
08:47:30 PM  all   76.47    0.00    9.07    2.78    0.00    0.13    0.00    0.00    0.00   11.56
08:47:31 PM  all   42.52    0.00    9.00    3.68    0.00    0.21    0.00    0.00    0.00   44.59
08:47:32 PM  all   57.29    0.00    9.57    2.66    0.00    0.08    0.00    0.00    0.00   30.40
08:47:33 PM  all   59.25    0.00   10.47    2.90    0.00    0.13    0.00    0.00    0.00   27.25
08:47:34 PM  all   47.44    0.00   10.76    3.99    0.00    0.13    0.00    0.00    0.00   37.69
08:47:35 PM  all   64.79    0.00   10.35    2.80    0.00    0.08    0.00    0.00    0.00   21.98
08:47:36 PM  all   73.46    0.00   10.49    2.72    0.00    0.17    0.00    0.00    0.00   13.16
08:47:37 PM  all   61.89    0.00    8.58    2.77    0.00    0.17    0.00    0.00    0.00   26.59
08:47:38 PM  all   36.40    0.00    9.54    2.76    0.00    0.04    0.00    0.00    0.00   51.26
08:47:39 PM  all   70.93    0.00   10.11    2.80    0.00    0.08    0.00    0.00    0.00   16.06
08:47:40 PM  all   61.86    0.00    9.32    3.47    0.00    0.13    0.00    0.00    0.00   25.21
08:47:41 PM  all   70.21    0.00    9.79    3.21    0.00    0.13    0.00    0.00    0.00   16.67
08:47:42 PM  all   50.74    0.00    9.89    2.88    0.00    0.04    0.00    0.00    0.00   36.45
08:47:43 PM  all   70.81    0.00   10.10    2.50    0.00    0.13    0.00    0.00    0.00   16.46
08:47:44 PM  all   50.65    0.00    7.71    2.18    0.00    0.08    0.00    0.00    0.00   39.37
08:47:45 PM  all   64.98    0.00   10.06    2.33    0.00    0.04    0.00    0.00    0.00   22.58
08:47:46 PM  all   63.47    0.00   10.72    3.35    0.00    0.08    0.00    0.00    0.00   22.37
08:47:47 PM  all   60.40    0.00    9.81    3.42    0.00    0.21    0.00    0.00    0.00   26.16
08:47:48 PM  all   66.30    0.00    9.60    2.57    0.00    0.08    0.00    0.00    0.00   21.44
08:47:49 PM  all   66.00    0.00   11.12    2.60    0.00    0.09    0.00    0.00    0.00   20.20
08:47:50 PM  all   40.98    0.00    6.73    2.46    0.00    0.00    0.00    0.00    0.00   49.83
08:47:51 PM  all   55.24    0.00    8.24    2.28    0.00    0.08    0.00    0.00    0.00   34.15
08:47:52 PM  all   63.11    0.00    9.01    3.51    0.00    0.04    0.00    0.00    0.00   24.32
08:47:53 PM  all   64.22    0.00    8.92    2.87    0.00    0.17    0.00    0.00    0.00   23.81
08:47:54 PM  all   64.46    0.00    9.15    2.92    0.00    0.08    0.00    0.00    0.00   23.38
08:47:55 PM  all   46.07    0.00   10.51    3.50    0.00    0.13    0.00    0.00    0.00   39.79
