09/07/2015 (24 CPU)
  
%usr %sys %iowait
3.12 1.08 0.00
0.96 1.83 1.58
2.75 0.75 0.00
2.80 0.04 0.04
0.04 0.08 0.00
0.75 0.21 1.54
1.04 0.25 3.22
0.84 0.29 3.22
0.88 0.17 3.26
1.42 0.08 3.30
0.50 0.79 4.34
0.25 0.67 4.26
0.42 0.83 4.17
0.25 0.75 4.44
0.33 0.59 4.48
0.21 0.79 4.21
0.21 0.88 4.55
0.42 0.71 4.85
0.92 0.63 4.09
0.25 0.92 4.67
0.33 0.75 4.60
0.25 0.54 4.35
0.38 0.92 4.71
0.38 0.88 4.88
0.21 0.88 4.38
0.38 0.75 3.96
0.38 0.83 4.88
0.38 0.71 4.38
0.29 0.67 4.26
0.21 0.63 4.60
0.33 0.75 4.52
0.25 0.75 4.34
0.33 0.75 4.05
0.33 0.79 3.55
0.71 0.67 3.47
0.17 0.75 3.43
0.42 0.63 3.51
0.21 0.96 3.38
0.33 0.63 3.68
0.29 0.79 3.54
0.29 0.75 3.51
0.38 0.75 4.01
0.29 0.67 3.60
0.38 0.71 3.59
0.33 0.71 3.92
0.29 0.67 4.68
0.33 0.67 4.97
0.25 0.63 4.43
0.33 0.50 4.48
0.38 0.59 4.94
0.29 0.71 4.43
0.37 0.87 4.87
0.29 0.71 4.51
0.21 0.88 4.92
0.25 0.63 4.43
0.33 0.63 4.89
0.29 0.67 4.81
0.29 0.54 4.72
0.21 0.63 4.43
0.25 0.67 4.94
0.42 0.63 4.43
0.25 0.42 4.90
0.25 0.67 4.56
0.33 0.54 4.94
0.25 0.83 4.38
0.29 0.63 4.85
0.71 0.92 4.60
0.33 0.63 4.68
0.25 0.71 4.43
0.25 0.75 4.89
0.29 0.58 4.39
0.21 0.75 4.60
0.29 0.67 4.84
0.38 0.67 4.85
0.13 0.67 4.56
0.25 0.59 4.35
0.33 0.67 5.10
0.29 0.54 4.69
0.17 0.67 4.64
0.21 0.54 4.44
0.21 0.54 4.94
0.21 0.88 4.51
0.38 0.67 4.84
0.25 0.59 4.56
0.34 0.42 4.82
0.21 0.75 4.47
0.29 0.75 5.01
0.21 0.67 4.56
0.21 0.67 4.64
0.25 0.88 4.38
0.38 0.63 4.55
0.21 0.75 4.43
0.42 0.59 4.68
0.29 0.79 4.47
0.25 0.59 4.56
0.21 0.71 4.02
0.25 0.92 4.97
0.25 0.67 4.35
0.29 0.84 4.34
