09/07/2015 (24 CPU)
  
%usr %sys %iowait
3.25 1.12 0.00
1.00 1.75 1.50
4.38 0.54 0.08
1.42 0.75 0.38
0.21 0.04 0.00
1.17 0.33 2.72
1.13 0.29 3.01
1.04 0.21 3.34
0.88 0.38 3.22
1.59 0.59 4.64
1.09 1.13 8.29
0.58 1.09 9.15
0.42 1.05 8.99
0.46 1.42 8.68
0.46 1.09 8.60
0.50 1.09 9.14
0.54 1.00 9.11
0.50 1.00 8.24
1.00 0.96 8.73
0.67 0.92 8.74
0.54 1.00 8.48
0.42 1.17 8.48
0.42 1.09 8.77
0.42 0.96 8.87
0.42 1.30 8.20
0.50 1.17 8.27
0.42 0.88 8.29
0.54 1.00 8.65
0.42 1.09 8.65
0.46 1.00 8.58
0.42 1.00 8.95
0.46 0.92 8.91
0.42 1.00 8.81
0.38 1.09 8.52
0.88 0.96 8.79
0.59 0.79 8.95
0.38 1.00 8.44
0.42 0.88 9.00
0.42 0.96 8.57
0.46 0.92 8.41
0.46 0.92 8.99
0.46 1.00 8.49
0.54 0.88 8.48
0.46 0.88 8.87
0.46 1.00 8.69
0.42 0.88 8.79
0.42 1.00 8.70
0.33 1.13 8.70
0.38 1.09 8.54
0.42 1.17 8.36
0.33 1.13 8.61
0.33 1.30 8.16
0.38 1.25 8.49
0.42 1.09 8.57
0.38 1.05 8.58
0.46 0.96 8.29
0.38 1.17 8.70
0.50 1.29 8.27
0.38 1.00 8.58
0.42 1.09 8.53
0.46 1.05 8.45
0.46 1.00 8.11
0.38 1.09 8.65
0.46 1.13 8.23
0.42 1.05 8.03
0.33 1.09 8.16
0.84 1.17 8.23
0.38 1.00 8.50
0.46 1.09 8.06
0.42 1.09 8.45
0.46 1.04 8.27
0.50 1.13 8.27
0.54 1.09 8.74
0.42 1.13 8.19
0.42 1.13 8.44
0.38 1.21 8.18
0.46 1.09 8.86
0.67 1.09 7.47
0.75 0.88 5.51
0.59 0.84 5.73
0.71 0.92 5.75
0.59 0.92 5.60
0.71 1.00 5.92
0.63 1.00 5.73
0.58 1.09 5.80
0.63 0.92 5.59
0.63 0.84 5.65
0.75 1.00 5.77
0.63 0.84 5.77
0.67 0.88 5.85
0.88 0.79 4.60
4.67 0.08 0.00
1.04 0.13 0.08
0.50 0.21 0.00
