0 restore_end page_write
0 0 0
0 0 3375
0 0 3494
0 0 3361
0 0 3607
0 0 3609
0 0 3507
0 0 3557
0 0 3557
0 0 3708
0 0 3565
0 0 3588
0 0 3544
0 0 3855
0 0 3510
0 0 3520
0 0 3499
0 0 3553
0 0 3553
0 0 3505
0 0 3556
0 0 3599
0 0 3510
0 0 3522
0 0 3674
0 0 3623
0 0 3607
0 0 3480
0 0 3582
0 0 3818
0 0 3563
0 0 3550
0 0 3426
0 0 3556
0 0 4255
0 0 4624
1421 0 23173
4572 0 26926
8310 0 21014
12335 0 18008
16280 0 16620
19441 91 11197
22202 128 9385
24720 118 9194
27457 121 9649
30104 121 8986
30607 154 2130
30607 175 0
30607 169 0
30607 169 0
30607 164 0
31717 159 5229
31791 163 646
31869 159 595
31938 164 591
32020 165 667
32091 161 589
32159 165 606
32222 165 635
32293 163 634
32355 159 580
32439 167 646
32511 160 524
32595 161 571
32660 161 551
32738 166 584
32800 163 623
32867 164 564
32935 161 549
32996 159 622
33067 165 609
33140 161 622
33201 160 547
33271 163 622
33338 161 617
33405 162 559
33471 163 599
33537 161 601
33607 161 518
33687 162 591
33759 161 703
33842 177 715
33911 164 631
33981 164 566
34052 161 590
34123 164 599
34208 163 626
34290 162 686
34369 159 661
34445 163 648
34516 160 599
34590 158 600
34675 158 606
34737 159 611
34808 162 543
34880 160 568
34939 156 637
35020 164 634
35081 163 606
35152 160 639
35223 158 614
35297 162 570
35358 158 589
35429 159 591
35493 157 624
35572 159 667
35645 157 607
35709 160 689
35780 158 577
35839 159 544
35901 157 574
35988 181 635
36059 161 604
36129 158 695
36212 160 741
36287 163 586
36358 161 596
36437 159 696
36499 159 551
36571 161 615
36635 159 606
36698 159 536
36772 159 569
36843 159 602
36915 160 610
36985 161 576
37052 161 557
37130 160 617
37199 163 545
37257 161 553
37327 160 632
37410 164 653
37487 159 578
37574 160 649
37646 157 596
37723 159 666
37794 158 637
37863 162 530
37936 160 598
38007 163 707
38080 160 653
