45 GB	40 GB	35 GB	30 GB	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	3.2	3.2	3.2	
3.2	8	8	8	
8	12.8	12.8	12.8	
12.8	16	17.6	17.6	
16	20.8	22.4	22.4	
20.8	25.6	27.2	27.2	
25.6	30.4	32	32	
28.8	33.6	36.8	36.8	
33.6	38.4	41.6	41.6	
38.4	43.2	46.4	44.8	
41.6	48	51.2	49.6	
46.4	52.8	56	54.4	
49.6	57.6	60.8	59.2	
54.4	62.4	65.6	64	
59.2	67.2	70.4	68.8	
62.4	72	75.2	73.6	
67.2	76.8	80	78.4	
72	80	84.8	83.2	
76.8	84.8	89.6	88	
80	89.6	94.4	92.8	
84.8	91.2	96	94.4	
86.4	91.2	96	94.4	
84.8	91.2	96	94.4	
84.8	94.4	96	92.8	
86.4	92.8	96	92.8	
84.8	92.8	96	92.8	
84.8	92.8	96	92.8	
86.4	94.4	96	92.8	
86.4	94.4	96	92.8	
84.8	94.4	96	94.4	
86.4	92.8	96	94.4	
86.4	92.8	96	94.4	
86.4	92.8	96	94.4	
86.4	91.2	96	94.4	
86.4	91.2	96	94.4	
88	89.6	96	94.4	
86.4	89.6	96	92.8	
86.4	91.2	96	92.8	
84.8	91.2	96	92.8	
86.4	91.2	96	92.8	
86.4	91.2	96	92.8	
84.8	89.6	96	92.8	
86.4	89.6	96	92.8	
86.4	88	96	94.4	
84.8	88	96	94.4	
86.4	86.4	96	94.4	
81.6	86.4	96	94.4	
76.8	86.4	96	94.4	
72	86.4	96	92.8	
68.8	86.4	96	92.8	
64	88	96	92.8	
59.2	88	96	92.8	
56	88	96	92.8	
51.2	89.6	96	92.8	
46.4	89.6	96	92.8	
41.6	91.2	96	92.8	
38.4	91.2	96	94.4	
33.6	91.2	96	94.4	
30.4	91.2	96	94.4	
25.6	91.2	96	94.4	
20.8	91.2	96	94.4	
22.4	92.8	96	92.8	
22.4	91.2	96	92.8	
22.4	89.6	96	92.8	
22.4	91.2	96	92.8	
22.4	92.8	96	92.8	
27.2	91.2	96	92.8	
32	91.2	96	92.8	
36.8	91.2	96	94.4	
40	91.2	96	94.4	
44.8	91.2	96	94.4	
49.6	91.2	96	94.4	
54.4	91.2	96	92.8	
59.2	89.6	96	92.8	
62.4	89.6	96	92.8	
67.2	89.6	96	92.8	
70.4	89.6	96	92.8	
75.2	89.6	96	92.8	
